Entity,Code,Year,"Gross enrolment ratio, tertiary, both sexes (%) (%)"
Afghanistan,AFG,1970,0.76816999912262
Afghanistan,AFG,1971,0.923940002918243
Afghanistan,AFG,1972,0.952409982681274
Afghanistan,AFG,1973,1.09745001792908
Afghanistan,AFG,1974,1.02620005607605
Afghanistan,AFG,1975,1.08011996746063
Afghanistan,AFG,1976,1.22264003753662
Afghanistan,AFG,1977,1.35827004909515
Afghanistan,AFG,1978,1.74661004543304
Afghanistan,AFG,1979,1.88179004192352
Afghanistan,AFG,1982,1.74412000179291
Afghanistan,AFG,1986,2.20429992675781
Afghanistan,AFG,1987,1.74343001842499
Afghanistan,AFG,1990,2.27316999435425
Afghanistan,AFG,2003,1.25683999061584
Afghanistan,AFG,2004,1.25602996349335
Afghanistan,AFG,2009,3.9033899307251
Afghanistan,AFG,2011,3.75598001480103
Afghanistan,AFG,2014,8.66279983520508
Albania,ALB,1971,13.9085903167725
Albania,ALB,1972,14.9286098480225
Albania,ALB,1978,5.83171987533569
Albania,ALB,1981,5.18966007232666
Albania,ALB,1983,5.92632007598877
Albania,ALB,1984,6.56026983261108
Albania,ALB,1985,7.02623987197876
Albania,ALB,1986,7.22159004211426
Albania,ALB,1987,7.32742023468018
Albania,ALB,1988,7.73881006240845
Albania,ALB,1989,8.14988994598389
Albania,ALB,1990,8.36911010742188
Albania,ALB,1991,8.85993003845215
Albania,ALB,1992,9.29417037963867
Albania,ALB,1993,11.1887397766113
Albania,ALB,1994,10.6477499008179
Albania,ALB,1995,10.2203397750854
Albania,ALB,1996,10.9630498886108
Albania,ALB,1997,12.7337598800659
Albania,ALB,1998,13.5947599411011
Albania,ALB,1999,14.8050403594971
Albania,ALB,2000,15.6037302017212
Albania,ALB,2001,15.9749603271484
Albania,ALB,2002,16.4317092895508
Albania,ALB,2003,16.8055591583252
Albania,ALB,2004,20.0555400848389
Albania,ALB,2005,23.3111000061035
Albania,ALB,2006,26.6204395294189
Albania,ALB,2007,30.6536693572998
Albania,ALB,2008,32.0778007507324
Albania,ALB,2009,33.400749206543
Albania,ALB,2010,44.5406494140625
Albania,ALB,2011,49.6703987121582
Albania,ALB,2012,58.5654907226563
Albania,ALB,2013,62.5477600097656
Albania,ALB,2014,62.7068481445313
Algeria,DZA,1987,8.99711036682129
Algeria,DZA,1988,8.81952953338623
Algeria,DZA,1990,10.24524974823
Algeria,DZA,1991,10.9618101119995
Algeria,DZA,1992,11.0942602157593
Algeria,DZA,1993,10.9375
Algeria,DZA,1994,10.4201498031616
Algeria,DZA,1995,10.1052904129028
Algeria,DZA,1996,11.3620595932007
Algeria,DZA,1999,13.6502504348755
Algeria,DZA,2001,15.5634603500366
Algeria,DZA,2002,17.2721099853516
Algeria,DZA,2003,18.4730701446533
Algeria,DZA,2004,19.0433597564697
Algeria,DZA,2005,20.7614707946777
Algeria,DZA,2006,21.2300395965576
Algeria,DZA,2007,23.4881896972656
Algeria,DZA,2009,29.8187198638916
Algeria,DZA,2010,29.8345603942871
Algeria,DZA,2011,31.2025909423828
Algeria,DZA,2012,32.231330871582
Algeria,DZA,2013,33.9657592773438
Algeria,DZA,2014,34.5938110351563
Angola,AGO,1988,0.565559983253479
Angola,AGO,1989,0.54654997587204
Angola,AGO,1990,0.568279981613159
Angola,AGO,1991,0.572730004787445
Angola,AGO,1992,0.535279989242554
Angola,AGO,1998,0.598010003566742
Angola,AGO,1999,0.545960009098053
Angola,AGO,2002,0.796679973602295
