Entity,Code,Year,Don't drink (%)
"10,000 or less (income in pounds)",,2016,29.4
"10,000-15,000 (income in pounds)",,2016,23.3
"15,000-20,000 (income in pounds)",,2016,19.6
"20,000-25,000 (income in pounds)",,2016,13.2
"30,000-40,000 (income in pounds)",,2016,13.2
"40,000+ (income in pounds)",,2016,9
Both (16 to 24),,2005,19
Both (16 to 24),,2006,20.8
Both (16 to 24),,2007,21
Both (16 to 24),,2008,20.8
Both (16 to 24),,2009,23.1
Both (16 to 24),,2010,27
Both (16 to 24),,2011,22.6
Both (16 to 24),,2012,24
Both (16 to 24),,2013,27.1
Both (16 to 24),,2014,24.7
Both (16 to 24),,2015,26.5
Both (16 to 24),,2016,26.8
Both (25 to 44),,2005,15.5
Both (25 to 44),,2006,15.3
Both (25 to 44),,2007,15.4
Both (25 to 44),,2008,16.5
Both (25 to 44),,2009,17.4
Both (25 to 44),,2010,18.5
Both (25 to 44),,2011,18.2
Both (25 to 44),,2012,21.4
Both (25 to 44),,2013,20.1
Both (25 to 44),,2014,22.2
Both (25 to 44),,2015,21.7
Both (25 to 44),,2016,20.1
Both (45 to 64),,2005,15.5
Both (45 to 64),,2006,15.9
Both (45 to 64),,2007,17
Both (45 to 64),,2008,17
Both (45 to 64),,2009,18.1
Both (45 to 64),,2010,16.9
Both (45 to 64),,2011,16.2
Both (45 to 64),,2012,18.8
Both (45 to 64),,2013,16.7
Both (45 to 64),,2014,14.3
Both (45 to 64),,2015,17.2
Both (45 to 64),,2016,16.3
Both (65 and over),,2005,29.4
Both (65 and over),,2006,27.4
Both (65 and over),,2007,27.4
Both (65 and over),,2008,29.8
Both (65 and over),,2009,29.8
Both (65 and over),,2010,29.5
Both (65 and over),,2011,30.3
Both (65 and over),,2012,28.9
Both (65 and over),,2013,26.6
Both (65 and over),,2014,25.5
Both (65 and over),,2015,24.4
Both (65 and over),,2016,25.1
Both (All aged 16+),,2005,18.8
Both (All aged 16+),,2006,18.7
Both (All aged 16+),,2007,19.1
Both (All aged 16+),,2008,20
Both (All aged 16+),,2009,21
Both (All aged 16+),,2010,21.4
Both (All aged 16+),,2011,20.7
Both (All aged 16+),,2012,22.5
Both (All aged 16+),,2013,21.3
Both (All aged 16+),,2014,20.8
Both (All aged 16+),,2015,21.5
Both (All aged 16+),,2016,20.9
Cohabiting,,2016,13.1
Females (16 to 24),,2005,20.4
Females (16 to 24),,2006,22.2
Females (16 to 24),,2007,23.2
Females (16 to 24),,2008,22.7
Females (16 to 24),,2009,24
Females (16 to 24),,2010,27.4
Females (16 to 24),,2011,22.4
Females (16 to 24),,2012,25.4
Females (16 to 24),,2013,29.7
Females (16 to 24),,2014,27.7
Females (16 to 24),,2015,29.7
Females (16 to 24),,2016,27.7
Females (25 to 44),,2005,18.2
Females (25 to 44),,2006,19.1
Females (25 to 44),,2007,18.9
Females (25 to 44),,2008,20.4
Females (25 to 44),,2009,20.2
Females (25 to 44),,2010,22.1
Females (25 to 44),,2011,21.1
Females (25 to 44),,2012,24.9
Females (25 to 44),,2013,23.8
Females (25 to 44),,2014,25
Females (25 to 44),,2015,24.4
Females (25 to 44),,2016,23.1
Females (45 to 64),,2005,19.8
Females (45 to 64),,2006,20.4
Females (45 to 64),,2007,21.4
Females (45 to 64),,2008,20.2
Females (45 to 64),,2009,21.2
Females (45 to 64),,2010,20.2
Females (45 to 64),,2011,19.8
Females (45 to 64),,2012,21.9
Females (45 to 64),,2013,18.3
Females (45 to 64),,2014,17.7
Females (45 to 64),,2015,20.4
Females (45 to 64),,2016,18
Females (65 and over),,2005,37.2
Females (65 and over),,2006,35.6
Females (65 and over),,2007,35.1
Females (65 and over),,2008,37.9
Females (65 and over),,2009,37.6
Females (65 and over),,2010,36.9
Females (65 and over),,2011,37.9
Females (65 and over),,2012,35.2
Females (65 and over),,2013,31.4
Females (65 and over),,2014,30.1
Females (65 and over),,2015,29.5
Females (65 and over),,2016,32.9
Females (All aged 16+),,2005,23.1
Females (All aged 16+),,2006,23.5
Females (All aged 16+),,2007,23.7
Females (All aged 16+),,2008,24.5
Females (All aged 16+),,2009,24.9
Females (All aged 16+),,2010,25.4
Females (All aged 16+),,2011,24.7
Females (All aged 16+),,2012,26.3
Females (All aged 16+),,2013,24.6
Females (All aged 16+),,2014,24.2
Females (All aged 16+),,2015,25
Females (All aged 16+),,2016,24.4
Males (16 to 24),,2005,17.4
Males (16 to 24),,2006,19.2
Males (16 to 24),,2007,18.8
Males (16 to 24),,2008,18.8
Males (16 to 24),,2009,22.2
Males (16 to 24),,2010,26.5
Males (16 to 24),,2011,22.8
Males (16 to 24),,2012,22.7
Males (16 to 24),,2013,24.5
Males (16 to 24),,2014,21.9
Males (16 to 24),,2015,23.5
Males (16 to 24),,2016,25.9
Males (25 to 44),,2005,12.3
Males (25 to 44),,2006,11
Males (25 to 44),,2007,11.4
Males (25 to 44),,2008,11.9
Males (25 to 44),,2009,14.1
Males (25 to 44),,2010,14.6
Males (25 to 44),,2011,14.9
Males (25 to 44),,2012,17.8
Males (25 to 44),,2013,16.4
Males (25 to 44),,2014,19.4
Males (25 to 44),,2015,18.8
Males (25 to 44),,2016,17.1
Males (45 to 64),,2005,10.9
Males (45 to 64),,2006,10.9
Males (45 to 64),,2007,12.1
Males (45 to 64),,2008,13.5
Males (45 to 64),,2009,14.7
Males (45 to 64),,2010,13.3
Males (45 to 64),,2011,12.3
Males (45 to 64),,2012,15.6
Males (45 to 64),,2013,15
Males (45 to 64),,2014,10.8
Males (45 to 64),,2015,13.9
Males (45 to 64),,2016,14.4
Males (65 and over),,2005,19.3
Males (65 and over),,2006,17
Males (65 and over),,2007,17.7
Males (65 and over),,2008,19.6
Males (65 and over),,2009,20.1
Males (65 and over),,2010,20.5
Males (65 and over),,2011,20.9
Males (65 and over),,2012,21.3
Males (65 and over),,2013,21
Males (65 and over),,2014,20
Males (65 and over),,2015,18.4
Males (65 and over),,2016,15.9
Males (All aged 16+),,2005,13.9
Males (All aged 16+),,2006,13.2
Males (All aged 16+),,2007,13.8
Males (All aged 16+),,2008,14.8
Males (All aged 16+),,2009,16.5
Males (All aged 16+),,2010,16.8
Males (All aged 16+),,2011,16.2
Males (All aged 16+),,2012,18.5
Males (All aged 16+),,2013,18
Males (All aged 16+),,2014,17.1
Males (All aged 16+),,2015,17.8
Males (All aged 16+),,2016,17.3
Married,,2016,18.8
Single,,2016,25.1
Widowed/Divorced/Separated,,2016,28
