Entity,Code,Year,15.2.1 - Proportion of forest area with a long-term management plan (%) - AG_LND_FRSTMGT (%)
Africa,,2000,9.60616
Africa,,2005,11.06996
Africa,,2010,20.63546
Albania,ALB,2000,100
Albania,ALB,2005,100
Albania,ALB,2010,100
Algeria,DZA,2000,53.7049
Algeria,DZA,2005,68.8802
Algeria,DZA,2010,88.807
Americas,,2000,28.90845
Americas,,2005,30.2858
Americas,,2010,32.51937
Angola,AGO,2000,0
Angola,AGO,2005,0
Angola,AGO,2010,0
Asia,,2000,45.0911
Asia,,2005,60.80765
Asia,,2010,64.73376
"Asia, Central",,2000,86.86224
"Asia, Central",,2005,89.60619
"Asia, Central",,2010,89.40788
Australia,AUS,2000,19.6979
Australia,AUS,2005,20.0013
Australia,AUS,2010,21.2867
Australia and New Zealand,,2000,23.61251
Australia and New Zealand,,2005,23.9622
Australia and New Zealand,,2010,24.57273
Austria,AUT,2000,50
Austria,AUT,2005,50
Austria,AUT,2010,50.0129
Bangladesh,BGD,2010,60.4022
Belarus,BLR,2000,100
Belarus,BLR,2005,100
Belarus,BLR,2010,100
Belgium,BEL,2000,43.4587
Belgium,BEL,2005,49.0633
Belgium,BEL,2010,53.113
Benin,BEN,2000,19.7589
Benin,BEN,2005,24.9428
Benin,BEN,2010,38.1715
Bhutan,BTN,2000,5.858
Bhutan,BTN,2005,7.856
Bhutan,BTN,2010,9.7876
Bolivia,BOL,2000,11.02
Bolivia,BOL,2005,14.9198
Bolivia,BOL,2010,18.1831
Brazil,BRA,2000,2.7728
Brazil,BRA,2005,3.0786
Brazil,BRA,2010,5.8791
Bulgaria,BGR,2000,100
Bulgaria,BGR,2005,100
Bulgaria,BGR,2010,100
Burkina Faso,BFA,2000,4.1453
Burkina Faso,BFA,2005,6.3372
Burkina Faso,BFA,2010,10.6213
Cameroon,CMR,2010,39.4005
Caribbean,,2000,27.80648
Caribbean,,2005,43.17918
Caribbean,,2010,80.31908
Caucasus and Central Asia,,2000,54.59257
Caucasus and Central Asia,,2005,56.31713
Caucasus and Central Asia,,2010,56.98095
Central African Republic,CAF,2000,0.834
Central African Republic,CAF,2005,2.9312
Central African Republic,CAF,2010,16.5008
Central America,,2000,2.01744
Central America,,2005,1.92423
Central America,,2010,2.57066
Central and Southern Asia,,2000,41.62645
Central and Southern Asia,,2005,43.89425
Central and Southern Asia,,2010,45.72746
Chile,CHL,2005,0.0076
Chile,CHL,2010,0.0123
China,CHN,2000,30.2732
China,CHN,2005,58.9126
China,CHN,2010,62.119
Congo,COG,2000,0
Congo,COG,2005,1.1882
Congo,COG,2010,24.1712
Cote d'Ivoire,CIV,2000,75.04
Cote d'Ivoire,CIV,2005,68.26
Cote d'Ivoire,CIV,2010,61.47
Croatia,HRV,2000,73.0504
Croatia,HRV,2005,75.3022
Croatia,HRV,2010,77.5521
Cuba,CUB,2000,29.4867
Cuba,CUB,2005,44.2714
Cuba,CUB,2010,81.6725
Cyprus,CYP,2000,61.6514
Cyprus,CYP,2005,61.9267
Cyprus,CYP,2010,61.9302
Czech Republic,CZE,2000,100
Czech Republic,CZE,2005,100
Czech Republic,CZE,2010,100
Democratic Republic of Congo,COD,2005,0.7194
Democratic Republic of Congo,COD,2010,4.2761
Denmark,DNK,2000,52.2634
Denmark,DNK,2005,47.5655
Denmark,DNK,2010,46.6912
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,81.74242
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,82.19487
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,82.67913
Developing regions,,2000,19.93775
Developing regions,,2005,25.5037
Developing regions,,2010,30.25249
Eastern Africa,,2000,14.36423
Eastern Africa,,2005,14.554
Eastern Africa,,2010,27.6556
Eastern Asia,,2000,33.01728
Eastern Asia,,2005,56.95707
Eastern Asia,,2010,63.03023
Eastern Asia (excluding Japan),,2000,25.59315
Eastern Asia (excluding Japan),,2005,52.17644
Eastern Asia (excluding Japan),,2010,58.90724
Eastern Europe,,2000,99.55702
Eastern Europe,,2005,99.61681
Eastern Europe,,2010,99.63426
Eastern and South-Eastern Asia,,2000,44.89268
Eastern and South-Eastern Asia,,2005,64.44558
Eastern and South-Eastern Asia,,2010,68.86735
Egypt,EGY,2000,0.678
Egypt,EGY,2005,1.9403
Egypt,EGY,2010,6.2857
El Salvador,SLV,2000,0.6928
El Salvador,SLV,2005,0.9061
El Salvador,SLV,2010,1.0453
Equatorial Guinea,GNQ,2000,0
Equatorial Guinea,GNQ,2005,0
Equatorial Guinea,GNQ,2010,0
Eritrea,ERI,2000,2.5825
Eritrea,ERI,2005,2.619
Eritrea,ERI,2010,2.6567
Estonia,EST,2000,54.8373
Estonia,EST,2005,68.5169
Estonia,EST,2010,69.0122
Europe,,2000,96.21552
Europe,,2005,96.29701
Europe,,2010,96.38561
Europe and Northern America,,2000,88.60114
