Entity,Code,Year,Gini  coefficient (before taxes and transfers) (0-1 scale),Gini coefficient (income after taxes and transfers) (0-1 scale)
Australia,AUS,2012,0.463,0.326
Australia,AUS,2014,0.483,0.337
Austria,AUT,2004,0.462,0.269
Austria,AUT,2005,0.468,0.261
Austria,AUT,2006,0.481,0.268
Austria,AUT,2007,0.487,0.285
Austria,AUT,2008,0.492,0.281
Austria,AUT,2009,0.506,0.289
Austria,AUT,2010,0.497,0.28
Austria,AUT,2011,0.497,0.282
Austria,AUT,2012,0.495,0.276
Austria,AUT,2013,0.497,0.28
Belgium,BEL,2004,0.504,0.288
Belgium,BEL,2005,0.491,0.278
Belgium,BEL,2006,0.482,0.27
Belgium,BEL,2007,0.477,0.28
Belgium,BEL,2008,0.477,0.269
Belgium,BEL,2009,0.481,0.275
Belgium,BEL,2010,0.486,0.27
Belgium,BEL,2011,0.488,0.272
Belgium,BEL,2012,0.488,0.268
Belgium,BEL,2013,0.494,0.268
Canada,CAN,2006,0.434,0.316
Canada,CAN,2007,0.435,0.318
Canada,CAN,2008,0.432,0.316
Canada,CAN,2009,0.441,0.318
Canada,CAN,2010,0.443,0.316
Canada,CAN,2011,0.436,0.314
Canada,CAN,2012,0.438,0.321
Canada,CAN,2013,0.44,0.322
Chile,CHL,2009,0.513,0.48
Chile,CHL,2011,0.502,0.471
Chile,CHL,2013,0.498,0.465
Czech Republic,CZE,2004,0.468,0.268
Czech Republic,CZE,2005,0.462,0.261
Czech Republic,CZE,2006,0.461,0.261
Czech Republic,CZE,2007,0.451,0.257
Czech Republic,CZE,2008,0.445,0.26
Czech Republic,CZE,2009,0.447,0.258
Czech Republic,CZE,2010,0.452,0.262
Czech Republic,CZE,2011,0.458,0.259
Czech Republic,CZE,2012,0.455,0.256
Czech Republic,CZE,2013,0.463,0.262
Denmark,DNK,2011,0.433,0.251
Denmark,DNK,2012,0.436,0.249
Denmark,DNK,2013,0.442,0.254
Estonia,EST,2004,0.508,0.349
Estonia,EST,2005,0.487,0.338
Estonia,EST,2006,0.481,0.342
Estonia,EST,2007,0.451,0.316
Estonia,EST,2008,0.46,0.32
Estonia,EST,2009,0.483,0.321
Estonia,EST,2010,0.492,0.326
Estonia,EST,2011,0.487,0.332
Estonia,EST,2012,0.489,0.338
Estonia,EST,2013,0.513,0.361
Finland,FIN,1987,0.393,0.209
Finland,FIN,1988,0.4,0.213
Finland,FIN,1989,0.407,0.217
Finland,FIN,1990,0.404,0.215
Finland,FIN,1991,0.413,0.212
Finland,FIN,1992,0.444,0.211
Finland,FIN,1993,0.474,0.214
Finland,FIN,1994,0.486,0.215
Finland,FIN,1995,0.483,0.22
Finland,FIN,1996,0.485,0.224
Finland,FIN,1997,0.487,0.235
Finland,FIN,1998,0.483,0.243
