Entity,Code,Year,Discriminatory attitudes towards people living with HIV - Total No to question 1 (%)
Afghanistan,AFG,2016,60.2
Albania,ALB,2016,64.1
Angola,AGO,2016,51
Armenia,ARM,2016,73
Belize,BLZ,2016,30.8
Benin,BEN,2016,55.4
Bolivia,BOL,2016,44.7
Bosnia and Herzegovina,BIH,2016,57.1
Botswana,BWA,2016,13.2
Burkina Faso,BFA,2016,62.3
Burundi,BDI,2016,25.5
Cambodia,KHM,2016,19.4
Cameroon,CMR,2016,40.5
Central African Republic,CAF,2016,32.6
Comoros,COM,2016,55.8
Congo,COG,2016,35.4
Cote d'Ivoire,CIV,2016,44.5
Cuba,CUB,2016,16.4
Democratic Republic of Congo,COD,2016,49.2
Dominican Republic,DOM,2016,49.3
Ethiopia,ETH,2016,59.9
Gabon,GAB,2016,25.3
Gambia,GMB,2016,51
Ghana,GHA,2016,67.7
Guatemala,GTM,2016,60.6
Guinea,GIN,2016,80.1
Haiti,HTI,2016,57.7
Honduras,HND,2016,44.9
Indonesia,IDN,2016,62.8
Jamaica,JAM,2016,71
Kazakhstan,KAZ,2016,64.8
Kenya,KEN,2016,11.9
Kyrgyzstan,KGZ,2016,57.2
Laos,LAO,2016,53.5
Lesotho,LSO,2016,13.9
Liberia,LBR,2016,52.7
Malawi,MWI,2016,14.9
Mali,MLI,2016,45.8
Moldova,MDA,2016,70.8
Mongolia,MNG,2016,75.6
Montenegro,MNE,2016,52
Mozambique,MOZ,2016,28
Namibia,NAM,2016,13
Nepal,NPL,2016,28.3
Niger,NER,2016,71.5
Nigeria,NGA,2016,46.8
Pakistan,PAK,2016,49
Rwanda,RWA,2016,9.9
Saint Vincent and the Grenadines,VCT,2016,84.2
Senegal,SEN,2016,51.7
Sierra Leone,SLE,2016,53.4
Swaziland,SWZ,2016,12.5
Tanzania,TZA,2016,26.8
Timor,TLS,2016,63.2
Togo,TGO,2016,45.8
Uganda,UGA,2016,26.2
Ukraine,UKR,2016,65.1
Zambia,ZMB,2016,18
Zimbabwe,ZWE,2016,17.8
