Entity,Code,Year,Share of drinkers who "binged" on heaviest day of drinking in last week (%)
"10,000 or less (income in pounds)",,2016,23.8
"10,000-15,000 (income in pounds)",,2016,26
"15,000-20,000 (income in pounds)",,2016,29.8
"20,000-25,000 (income in pounds)",,2016,25.8
"30,000-40,000 (income in pounds)",,2016,29.7
"40,000+ (income in pounds)",,2016,28.2
Both (16 to 24),,2005,48.8
Both (16 to 24),,2006,48.4
Both (16 to 24),,2007,48.1
Both (16 to 24),,2008,47
Both (16 to 24),,2009,46.4
Both (16 to 24),,2010,42.9
Both (16 to 24),,2011,39.7
Both (16 to 24),,2012,39.3
Both (16 to 24),,2013,39.8
Both (16 to 24),,2014,41.2
Both (16 to 24),,2015,42.8
Both (16 to 24),,2016,37.3
Both (25 to 44),,2005,36.3
Both (25 to 44),,2006,38.5
Both (25 to 44),,2007,38.8
Both (25 to 44),,2008,35.3
Both (25 to 44),,2009,35.2
Both (25 to 44),,2010,35.1
Both (25 to 44),,2011,32.5
Both (25 to 44),,2012,33.3
Both (25 to 44),,2013,33.5
Both (25 to 44),,2014,34.8
Both (25 to 44),,2015,35.1
Both (25 to 44),,2016,32.5
Both (45 to 64),,2005,24
Both (45 to 64),,2006,24.2
Both (45 to 64),,2007,27
Both (45 to 64),,2008,24.9
Both (45 to 64),,2009,24.7
Both (45 to 64),,2010,23.1
Both (45 to 64),,2011,23.4
Both (45 to 64),,2012,23
Both (45 to 64),,2013,24.8
Both (45 to 64),,2014,26.6
Both (45 to 64),,2015,29.4
Both (45 to 64),,2016,28.2
Both (65 and over),,2005,7.5
Both (65 and over),,2006,7.6
Both (65 and over),,2007,9.5
Both (65 and over),,2008,8.1
Both (65 and over),,2009,6.4
Both (65 and over),,2010,8
Both (65 and over),,2011,7.5
Both (65 and over),,2012,8.3
Both (65 and over),,2013,8.9
Both (65 and over),,2014,9.2
Both (65 and over),,2015,11.6
Both (65 and over),,2016,10.3
Both (All aged 16+),,2005,28.6
Both (All aged 16+),,2006,29.2
Both (All aged 16+),,2007,30.6
Both (All aged 16+),,2008,28
Both (All aged 16+),,2009,27.2
Both (All aged 16+),,2010,26.3
Both (All aged 16+),,2011,25.1
Both (All aged 16+),,2012,25.6
Both (All aged 16+),,2013,26.1
Both (All aged 16+),,2014,27.2
Both (All aged 16+),,2015,29.1
Both (All aged 16+),,2016,26.8
Cohabiting,,2016,37.1
Females (16 to 24),,2005,47.6
Females (16 to 24),,2006,47.1
Females (16 to 24),,2007,45.6
Females (16 to 24),,2008,45.5
Females (16 to 24),,2009,48.3
Females (16 to 24),,2010,37.1
Females (16 to 24),,2011,37.3
Females (16 to 24),,2012,35.2
Females (16 to 24),,2013,36.6
Females (16 to 24),,2014,40.5
Females (16 to 24),,2015,37.7
Females (16 to 24),,2016,40.5
Females (25 to 44),,2005,32.5
Females (25 to 44),,2006,34.9
Females (25 to 44),,2007,36.3
Females (25 to 44),,2008,34.1
Females (25 to 44),,2009,31.7
Females (25 to 44),,2010,34
Females (25 to 44),,2011,29
Females (25 to 44),,2012,27
Females (25 to 44),,2013,30
Females (25 to 44),,2014,33.2
Females (25 to 44),,2015,35.1
Females (25 to 44),,2016,31.3
Females (45 to 64),,2005,20.2
Females (45 to 64),,2006,20.3
Females (45 to 64),,2007,21.1
Females (45 to 64),,2008,21.6
Females (45 to 64),,2009,19
Females (45 to 64),,2010,18.9
Females (45 to 64),,2011,20.3
Females (45 to 64),,2012,19
Females (45 to 64),,2013,21
Females (45 to 64),,2014,21.2
Females (45 to 64),,2015,27.2
Females (45 to 64),,2016,25
Females (65 and over),,2005,5.3
