Entity,Code,Year,Hydropower (%)
Africa,,1966,9.596344421865677
Africa,,1967,3.2544087584296166
Africa,,1968,15.253119328444974
Africa,,1969,15.893877425539205
Africa,,1970,25.452515674564392
Africa,,1971,-4.5784775162816205
Africa,,1972,15.482967163689555
Africa,,1973,-0.11105875850296876
Africa,,1974,17.73416086141417
Africa,,1975,5.100896065786786
Africa,,1976,10.797813511866106
Africa,,1977,10.332966316216762
Africa,,1978,2.221947085681064
Africa,,1979,2.593306743771562
Africa,,1980,-2.6438891575097045
Africa,,1981,5.0994291227837385
Africa,,1982,0.5276596326227123
Africa,,1983,-6.4232484161992565
Africa,,1984,-0.8414929588777098
Africa,,1985,9.574954845857775
Africa,,1986,3.4284073927479453
Africa,,1987,-4.0741905442545745
Africa,,1988,9.247566736970603
Africa,,1989,5.005124988327725
Africa,,1990,1.7361964422746068
Africa,,1991,5.932843432111468
Africa,,1992,-4.602025133756282
Africa,,1993,-2.0355659893877665
Africa,,1994,1.6116811576096568
Africa,,1995,3.772530202444657
Africa,,1996,4.262388575530585
Africa,,1997,2.4649007893773334
Africa,,1998,4.388849987193355
Africa,,1999,6.045128246439901
Africa,,2000,6.453424310730549
Africa,,2001,7.466591911359877
Africa,,2002,5.339022708876318
Africa,,2003,-2.7105269514417163
Africa,,2004,5.469681970030549
Africa,,2005,1.8994977771856991
Africa,,2006,3.564579463450257
Africa,,2007,3.360787322543368
Africa,,2008,1.9054297221537508
Africa,,2009,2.68011776711079
Africa,,2010,7.684050087351202
Africa,,2011,2.816790127114377
Africa,,2012,0.45221046720298474
Africa,,2013,6.057149032532405
Africa,,2014,5.17107261600569
Africa,,2015,-2.8175540437499924
Africa,,2016,-2.978308504178817
Africa,,2017,6.7610146732004495
Africa,,2018,6.632467727950009
Algeria,DZA,1966,-7.865168539325862
Algeria,DZA,1967,12.195121951219523
Algeria,DZA,1968,36.956521739130444
Algeria,DZA,1969,-34.92063492063493
Algeria,DZA,1970,60.97560975609757
Algeria,DZA,1971,-43.93939393939393
Algeria,DZA,1972,52.702702702702695
Algeria,DZA,1973,51.327433628318595
Algeria,DZA,1974,-33.91812865497076
Algeria,DZA,1975,-34.51327433628318
Algeria,DZA,1976,17.567567567567565
Algeria,DZA,1977,-29.885057471264375
Algeria,DZA,1978,-4.91803278688524
Algeria,DZA,1979,13.793103448275868
Algeria,DZA,1980,-12.121212121212121
Algeria,DZA,1981,41.37931034482758
Algeria,DZA,1982,31.70731707317076
Algeria,DZA,1983,-50.92592592592593
Algeria,DZA,1984,94.33962264150946
Algeria,DZA,1985,41.916202912621344
Algeria,DZA,1986,-61.30030966106356
Algeria,DZA,1987,99.60000010606561
Algeria,DZA,1988,-63.32665330838807
Algeria,DZA,1989,23.49726876250231
Algeria,DZA,1990,-40.2654874351766
Algeria,DZA,1991,117.0370391224604
Algeria,DZA,1992,-32.081911602558456
Algeria,DZA,1993,77.38693403725713
Algeria,DZA,1994,-52.97450409324078
Algeria,DZA,1995,16.26506123531284
Algeria,DZA,1996,-30.051814373203044
Algeria,DZA,1997,-44.44444589939095
Algeria,DZA,1998,186.66667570188474
Algeria,DZA,1999,-5.581395912914234
Algeria,DZA,2000,-73.39901519657502
Algeria,DZA,2001,27.777779141790138
Algeria,DZA,2002,-17.391306297151875
Algeria,DZA,2003,364.9122966164918
Algeria,DZA,2004,-5.283019125945754
Algeria,DZA,2005,121.23506031512612
Algeria,DZA,2006,-60.8139745295645
Algeria,DZA,2007,3.8602951294008037
Algeria,DZA,2008,25.221237899741556
Algeria,DZA,2009,20.84805724893881
Algeria,DZA,2010,-49.41520548316765
Algeria,DZA,2011,118.49711276507944
Algeria,DZA,2012,2.9100521275242652
Algeria,DZA,2013,-74.55012836823323
Algeria,DZA,2014,94.94949630223446
Algeria,DZA,2015,-24.870466356836975
Algeria,DZA,2016,-50.34482901554909
Algeria,DZA,2017,-22.222222904228406
Algeria,DZA,2018,108.92857720648612
Argentina,ARG,1966,1.4598540145985606
Argentina,ARG,1967,2.1582733812949506
Argentina,ARG,1968,17.957746478873272
