Entity,Code,Year,Oil (%)
Africa,,1965,46.17059376038879
Africa,,1966,48.378844371151054
Africa,,1967,47.48801645365399
Africa,,1968,47.529928298838776
Africa,,1969,47.17781936920263
Africa,,1970,48.081544878472485
Africa,,1971,50.013843446072826
Africa,,1972,50.96138986368499
Africa,,1973,50.96308973904613
Africa,,1974,50.15516878228138
Africa,,1975,49.54291190174981
Africa,,1976,50.539982856367196
Africa,,1977,50.85267676398018
Africa,,1978,51.513648388266084
Africa,,1979,50.3551075755856
Africa,,1980,49.511964218041115
Africa,,1981,47.270933880647654
Africa,,1982,46.38451443575628
Africa,,1983,46.67267144388306
Africa,,1984,46.081533841980104
Africa,,1985,45.40420564911933
Africa,,1986,43.678679095171475
Africa,,1987,44.501090873886014
Africa,,1988,43.44632689769321
Africa,,1989,44.91846344805213
Africa,,1990,44.126565297115114
Africa,,1991,44.485804240406246
Africa,,1992,44.733993972073065
Africa,,1993,45.08638908905711
Africa,,1994,44.81430079170934
Africa,,1995,44.586517365157505
Africa,,1996,44.521998795960975
Africa,,1997,44.86186127286637
Africa,,1998,45.244715925339285
Africa,,1999,45.48884423142645
Africa,,2000,44.6908279702564
Africa,,2001,43.5532275024751
Africa,,2002,43.83296786997214
Africa,,2003,42.93337671354772
Africa,,2004,41.95226373496174
Africa,,2005,43.75437672437043
Africa,,2006,43.26588888386505
Africa,,2007,43.166897478839665
Africa,,2008,42.83743995991793
Africa,,2009,43.59428390363445
Africa,,2010,44.26174015233087
Africa,,2011,42.88657186111141
Africa,,2012,43.71951191047852
Africa,,2013,44.041414114417044
Africa,,2014,43.477734915484945
Africa,,2015,43.68807466161099
Africa,,2016,42.998147894619365
Africa,,2017,42.8212164197858
Africa,,2018,41.45651459481755
Algeria,DZA,1965,62.407537621085375
Algeria,DZA,1966,68.17458601873977
Algeria,DZA,1967,67.3973683306819
Algeria,DZA,1968,66.89969295887546
Algeria,DZA,1969,63.741778255656534
Algeria,DZA,1970,66.56189874665829
Algeria,DZA,1971,69.26216762995834
Algeria,DZA,1972,67.69111275611195
Algeria,DZA,1973,62.05767803677139
Algeria,DZA,1974,62.19857594568865
Algeria,DZA,1975,57.828681810824065
