Entity,Code,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018))  ((score))"
Albania,ALB,2000,400.65
Albania,ALB,2005,399.32
Albania,ALB,2010,402.75
Albania,ALB,2015,436.73
Algeria,DZA,2005,390.17
Algeria,DZA,2015,375.14
Argentina,ARG,1995,377.66
Argentina,ARG,2000,409.87
Argentina,ARG,2005,405.44
Argentina,ARG,2010,413.27
Argentina,ARG,2015,429.38
Argentina (Buenos Aires),,2015,414.19
Armenia,ARM,2005,482.68
Armenia,ARM,2010,469.07
Australia,AUS,1970,484
Australia,AUS,1975,505.47
Australia,AUS,1980,331.55
Australia,AUS,1985,475.87
Australia,AUS,1990,488.69
Australia,AUS,1995,501.93
Australia,AUS,2000,508.87
Australia,AUS,2005,504.44
Australia,AUS,2010,509.98
Australia,AUS,2015,509.22
Austria,AUT,1995,529.96
Austria,AUT,2000,529.67
Austria,AUT,2005,516.5
Austria,AUT,2010,512.93
Austria,AUT,2015,519.54
Azerbaijan,AZE,2005,503.38
Azerbaijan,AZE,2010,453.14
Bahrain,BHR,2005,400.18
Bahrain,BHR,2010,419.25
Bahrain,BHR,2015,452.36
Belgium,BEL,2000,531.37
Belgium,BEL,2005,535.22
Belgium,BEL,2010,534.58
Belgium,BEL,2015,529.11
Belgium Flemish,,1970,486.32
Belgium Flemish,,1975,472.07
Belgium Flemish,,1980,351.03
Belgium Flemish,,1985,497.95
Belgium Flemish,,1990,521
Belgium Flemish,,1995,534.88
Belgium Flemish,,2000,548.24
Belgium Flemish,,2005,542.39
Belgium Flemish,,2010,547.13
Belgium Flemish,,2015,541.15
Belgium French,,1970,191.17
Belgium French,,1975,305.11
Belgium French,,1980,298.52
Belgium French,,1985,479.97
Belgium French,,1990,491.49
Belgium French,,1995,500.39
Benin,BEN,2005,279.03
Bolivia,BOL,1995,370.4
Bosnia and Herzegovina,BIH,2005,460.77
Botswana,BWA,2000,350.84
Botswana,BWA,2005,356.04
Botswana,BWA,2010,393.9
Botswana,BWA,2015,398.47
Brazil,BRA,1990,270.08
Brazil,BRA,1995,370.59
Brazil,BRA,2000,359.78
Brazil,BRA,2005,397.54
Brazil,BRA,2010,407.67
Brazil,BRA,2015,408.76
Bulgaria,BGR,1995,521.85
Bulgaria,BGR,2000,497.77
Bulgaria,BGR,2005,474.23
Bulgaria,BGR,2010,451.6
Bulgaria,BGR,2015,490.67
Burkina Faso,BFA,1995,334.21
Burkina Faso,BFA,2005,296.88
Burundi,BDI,2000,337.04
Burundi,BDI,2010,332.33
Cameroon,CMR,1995,351.96
Cameroon,CMR,2005,336.64
Canada,CAN,1985,482.16
Canada,CAN,1990,494.64
Canada,CAN,1995,512.25
Canada,CAN,2000,518.2
Canada,CAN,2005,518.69
Canada,CAN,2010,519.08
Canada,CAN,2015,519.69
Canada (Alberta),,1990,502.56
Canada (Alberta),,2005,504.24
Canada (Alberta),,2010,503.89
Canada (British Colombia),,1980,393.05
Canada (British Colombia),,1985,470.9
Canada (British Colombia),,1990,472.09
Canada (British Colombia),,1995,485.07
Canada (British Colombia),,2000,495.16
Canada (British Colombia),,2005,510.8
Canada (Nova Scotia),,1990,468.44
Canada (Ontario),,1980,425.71
Canada (Ontario),,1985,484.12
Canada (Ontario),,1990,485.24
Canada (Ontario),,1995,492.77
Canada (Ontario),,2000,481.5
Canada (Ontario),,2005,516.39
Canada (Ontario),,2010,515.45
Canada (Ontario),,2015,517.91
Canada (Quebec),,1990,505.31
Canada (Quebec),,2000,505.78
Canada (Quebec),,2005,523.87
Canada (Quebec),,2010,529.81
Canada (Quebec),,2015,539.36
Chad,TCD,2005,287.21
Chad,TCD,2010,300.46
Chile,CHL,1970,340.61
Chile,CHL,1975,332.81
Chile,CHL,1980,330.36
Chile,CHL,1985,332.04
Chile,CHL,1990,349.23
Chile,CHL,1995,351.9
Chile,CHL,2000,371.98
