Entity,Code,Year,Solar (kilowatt-hours)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.059706543445986596
Africa,,2001,0.0782281470851297
Africa,,2002,0.09521376359796477
Africa,,2003,0.10227960785235392
Africa,,2004,0.11511796743841622
Africa,,2005,0.12696385892701637
Africa,,2006,0.14542179687902468
Africa,,2007,0.1738641266016498
Africa,,2008,0.22626659675139527
Africa,,2009,0.2802125689619217
Africa,,2010,0.5668387365967994
Africa,,2011,1.1364501996541698
Africa,,2012,1.3308323981116563
Africa,,2013,1.9315042355043954
Africa,,2014,4.170248656867174
Africa,,2015,7.9413847521898475
Africa,,2016,10.65465186661321
Africa,,2017,13.981621727881233
Africa,,2018,18.62243828631356
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.6656299271756956
Algeria,DZA,2011,1.3005896792231526
Algeria,DZA,2012,1.8811182794778514
Algeria,DZA,2013,1.973339308075511
Algeria,DZA,2014,4.056488067002364
Algeria,DZA,2015,3.8419143523459534
Algeria,DZA,2016,15.899406813642084
Algeria,DZA,2017,32.04512761603325
Algeria,DZA,2018,37.5779602024723
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.001241591104456091
Argentina,ARG,1999,0.0018752406285134505
Argentina,ARG,2000,0.0025707059748854115
Argentina,ARG,2001,0.003035730765103552
Argentina,ARG,2002,0.0032715354811315754
Argentina,ARG,2003,0.0044885790800252056
Argentina,ARG,2004,0.004773823132079394
Argentina,ARG,2005,0.005472167228035894
Argentina,ARG,2006,0.006038483074573683
Argentina,ARG,2007,0.007209404293921985
Argentina,ARG,2008,0.00943051397205589
Argentina,ARG,2009,0.0049412345922980015
Argentina,ARG,2010,0.005516969874804381
Argentina,ARG,2011,0.10279208712487901
Argentina,ARG,2012,0.5150954992216501
Argentina,ARG,2013,0.9401039776282112
Argentina,ARG,2014,0.9840494371218163
Argentina,ARG,2015,0.8970279073708648
Argentina,ARG,2016,0.8633016254481936
Argentina,ARG,2017,0.9832859671802809
Argentina,ARG,2018,6.414390028854174
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.8343768904531969
Australia,AUS,1992,1.8297955775198256
Australia,AUS,1993,2.1826423950462988
Australia,AUS,1994,2.572586840833755
Australia,AUS,1995,3.093308527760796
Australia,AUS,1996,3.7038004541206226
Australia,AUS,1997,4.386680781530429
Australia,AUS,1998,5.040308224027546
Australia,AUS,1999,5.686720258143496
Australia,AUS,2000,6.4781378110684
Australia,AUS,2001,7.423807982287054
Australia,AUS,2002,7.907894061130871
Australia,AUS,2003,8.475121887484713
Australia,AUS,2004,9.656624174044268
Australia,AUS,2005,10.961108725407602
Australia,AUS,2006,12.500192114391503
Australia,AUS,2007,14.311632455536431
Australia,AUS,2008,17.172125700356272
Australia,AUS,2009,35.11538866213048
Australia,AUS,2010,116.12541771563981
Australia,AUS,2011,238.72507381932735
Australia,AUS,2012,277.12925363910233
Australia,AUS,2013,435.3789226222318
Australia,AUS,2014,552.2791552852178
Australia,AUS,2015,655.1457197647501
Australia,AUS,2016,810.6988766500433
Australia,AUS,2017,958.555173673378
Australia,AUS,2018,1276.9044017041533
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.33344884059807406
Austria,AUT,1994,0.3311410909777275
Austria,AUT,1995,0.3293589799749687
Austria,AUT,1996,0.32820881142429537
Austria,AUT,1997,0.6551918959292917
