Entity,Code,Year,Children (13-15) who reported being bullied (%)
Afghanistan,AFG,2015,48.1
Albania,ALB,2015,43.3
Algeria,DZA,2015,52
Antigua and Barbuda,ATG,2015,25
Argentina,ARG,2015,25
Armenia,ARM,2015,10
Australia,AUS,2015,39.6
Austria,AUT,2015,41
Azerbaijan,AZE,2015,36
Bahamas,BHS,2015,44.3
Bangladesh,BGD,2015,64.5
Barbados,BRB,2015,13
Belarus,BLR,2015,25.8
Belgium,BEL,2015,37
Belize,BLZ,2015,31
Benin,BEN,2015,42
Bhutan,BTN,2015,29.6
Bolivia,BOL,2015,30
Botswana,BWA,2015,52
Brazil,BRA,2015,31.6
Brunei,BRN,2015,31.1
Bulgaria,BGR,2015,23.7
Burkina Faso,BFA,2015,40.6
Burundi,BDI,2015,70.3
Cambodia,KHM,2015,22
Cameroon,CMR,2015,53.3
Canada,CAN,2015,32
Cape Verde,CPV,2015,22.4
Central African Republic,CAF,2015,50.8
Chad,TCD,2015,56.6
Chile,CHL,2015,15
China,CHN,2015,29
Colombia,COL,2015,32
Comoros,COM,2015,29.2
Congo,COG,2015,48.5
Costa Rica,CRI,2015,19
Cote d'Ivoire,CIV,2015,53.3
Croatia,HRV,2015,16
Cuba,CUB,2015,27.8
Cyprus,CYP,2015,33
Czech Republic,CZE,2015,16
Democratic Republic of Congo,COD,2015,54.8
Denmark,DNK,2015,17
Dominican Republic,DOM,2015,26.6
Ecuador,ECU,2015,29
Egypt,EGY,2015,70
El Salvador,SLV,2015,30.8
Estonia,EST,2015,37
Ethiopia,ETH,2015,50.2
Fiji,FJI,2015,42
Finland,FIN,2015,28
France,FRA,2015,32
Gambia,GMB,2015,44.6
Georgia,GEO,2015,38.9
Germany,DEU,2015,30
Ghana,GHA,2015,62
Greece,GRC,2015,29
Guatemala,GTM,2015,36.2
Guinea,GIN,2015,45.6
Guinea-Bissau,GNB,2015,46.5
Guyana,GUY,2015,38
Honduras,HND,2015,32
Hungary,HUN,2015,24
Iceland,ISL,2015,16
India,IND,2015,40.3
Indonesia,IDN,2015,50
Iran,IRN,2015,27.5
Iraq,IRQ,2015,28
Ireland,IRL,2015,26
Israel,ISR,2015,37.7
Italy,ITA,2015,9
Jamaica,JAM,2015,40
Japan,JPN,2015,36.8
Jordan,JOR,2015,41
Kazakhstan,KAZ,2015,41
Kenya,KEN,2015,57
Kiribati,KIR,2015,37
Korea,,2015,36
Kuwait,KWT,2015,28
Kyrgyzstan,KGZ,2015,33.3
Laos,LAO,2015,27.5
Latvia,LVA,2015,43
Lebanon,LBN,2015,25
Lesotho,LSO,2015,51.1
Liberia,LBR,2015,50.2
Libya,LBY,2015,35
Lithuania,LTU,2015,52
Luxembourg,LUX,2015,28
Macedonia,MKD,2015,20
Madagascar,MDG,2015,38.2
Malawi,MWI,2015,45
Malaysia,MYS,2015,21
Maldives,MDV,2015,37
Mali,MLI,2015,46
Malta,MLT,2015,27.2
Mauritania,MRT,2015,47
Mauritius,MUS,2015,36
Mexico,MEX,2015,29.1
Moldova,MDA,2015,38.3
Mongolia,MNG,2015,31
Montenegro,MNE,2015,25.9
Morocco,MAR,2015,1
Mozambique,MOZ,2015,47.5
Myanmar,MMR,2015,19
Namibia,NAM,2015,52
Nepal,NPL,2015,42.7
Netherlands,NLD,2015,21
New Zealand,NZL,2015,23.3
Nicaragua,NIC,2015,25.7
Niger,NER,2015,52.6
Nigeria,NGA,2015,49.8
Norway,NOR,2015,23
Oman,OMN,2015,47
Pakistan,PAK,2015,41
Palestine,PSE,2015,56
Panama,PAN,2015,22
Papua New Guinea,PNG,2015,56.9
Paraguay,PRY,2015,39.8
Peru,PER,2015,47
Philippines,PHL,2015,48
Poland,POL,2015,24
Portugal,PRT,2015,37
Qatar,QAT,2015,42
Romania,ROU,2015,41
Russia,RUS,2015,33
Rwanda,RWA,2015,57.8
Saint Lucia,LCA,2015,25
Samoa,WSM,2015,74
Saudi Arabia,SAU,2015,36.2
Senegal,SEN,2015,38.4
Serbia,SRB,2015,34.7
Seychelles,SYC,2015,51
Sierra Leone,SLE,2015,45.3
Slovakia,SVK,2015,25
Slovenia,SVN,2015,20
Solomon Islands,SLB,2015,67
South Africa,ZAF,2015,37.4
Spain,ESP,2015,14
Sri Lanka,LKA,2015,38
Sudan,SDN,2015,40.7
Suriname,SUR,2015,26
Swaziland,SWZ,2015,32
Sweden,SWE,2015,11
Switzerland,CHE,2015,34
Syria,SYR,2015,40.9
Tajikistan,TJK,2015,7
Tanzania,TZA,2015,28
Thailand,THA,2015,27
Timor,TLS,2015,54
Togo,TGO,2015,47.5
Tonga,TON,2015,50
Trinidad and Tobago,TTO,2015,15
Tunisia,TUN,2015,31
Turkey,TUR,2015,33.1
Turkmenistan,TKM,2015,46.6
Uganda,UGA,2015,46
Ukraine,UKR,2015,41
United Arab Emirates,ARE,2015,23
United Kingdom,GBR,2015,25
United States,USA,2015,26
Uruguay,URY,2015,19
Uzbekistan,UZB,2015,44.1
Vanuatu,VUT,2015,67
Venezuela,VEN,2015,35
Vietnam,VNM,2015,26
Yemen,YEM,2015,41
Zambia,ZMB,2015,65
Zimbabwe,ZWE,2015,61
