Entity,Code,Year,Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no) (1=yes; 0=no)
Afghanistan,AFG,2015,0
Albania,ALB,2009,1
Albania,ALB,2011,1
Albania,ALB,2013,1
Albania,ALB,2015,1
Algeria,DZA,2009,1
Algeria,DZA,2011,1
Algeria,DZA,2013,1
Algeria,DZA,2015,1
Angola,AGO,2009,1
Angola,AGO,2011,1
Angola,AGO,2013,1
Angola,AGO,2015,1
Antigua and Barbuda,ATG,2015,1
Armenia,ARM,2009,1
Armenia,ARM,2011,1
Armenia,ARM,2013,1
Armenia,ARM,2015,1
Bahamas,BHS,2015,0
Bahrain,BHR,2015,1
Bangladesh,BGD,2009,1
Bangladesh,BGD,2011,1
Bangladesh,BGD,2013,1
Bangladesh,BGD,2015,1
Barbados,BRB,2015,0
Belarus,BLR,2009,0
Belarus,BLR,2011,0
Belarus,BLR,2013,0
Belarus,BLR,2015,0
Belgium,BEL,2009,0
Belgium,BEL,2011,0
Belgium,BEL,2013,0
Belgium,BEL,2015,0
Belize,BLZ,2015,1
Bhutan,BTN,2015,1
Bolivia,BOL,2009,1
Bolivia,BOL,2011,1
Bolivia,BOL,2013,1
Bolivia,BOL,2015,1
Bosnia and Herzegovina,BIH,2009,1
Bosnia and Herzegovina,BIH,2011,1
Bosnia and Herzegovina,BIH,2013,1
Bosnia and Herzegovina,BIH,2015,1
Botswana,BWA,2009,0
Botswana,BWA,2011,0
Botswana,BWA,2013,1
Botswana,BWA,2015,1
Brazil,BRA,2009,1
Brazil,BRA,2011,1
Brazil,BRA,2013,1
Brazil,BRA,2015,1
Burkina Faso,BFA,2009,1
Burkina Faso,BFA,2011,1
Burkina Faso,BFA,2013,1
Burkina Faso,BFA,2015,1
Burundi,BDI,2009,1
Burundi,BDI,2011,1
Burundi,BDI,2013,1
Burundi,BDI,2015,1
Cambodia,KHM,2009,1
Cambodia,KHM,2011,1
Cambodia,KHM,2013,1
Cambodia,KHM,2015,1
Canada,CAN,2009,1
Canada,CAN,2011,1
Canada,CAN,2013,1
Canada,CAN,2015,1
Cape Verde,CPV,2015,1
Chad,TCD,2009,1
Chad,TCD,2011,1
Chad,TCD,2013,1
Chad,TCD,2015,1
Colombia,COL,2009,1
Colombia,COL,2011,1
Colombia,COL,2013,1
Colombia,COL,2015,1
Congo,COG,2009,1
Congo,COG,2011,1
Congo,COG,2013,1
Congo,COG,2015,1
Costa Rica,CRI,2009,0
Costa Rica,CRI,2011,0
Costa Rica,CRI,2013,0
Costa Rica,CRI,2015,0
Cyprus,CYP,2015,1
Democratic Republic of Congo,COD,2009,1
Democratic Republic of Congo,COD,2011,1
Democratic Republic of Congo,COD,2013,1
Democratic Republic of Congo,COD,2015,1
Dominica,DMA,2015,1
Dominican Republic,DOM,2009,1
Dominican Republic,DOM,2011,1
Dominican Republic,DOM,2013,1
Dominican Republic,DOM,2015,1
Ecuador,ECU,2009,1
Ecuador,ECU,2011,1
Ecuador,ECU,2013,1
Ecuador,ECU,2015,1
Egypt,EGY,2011,0
Egypt,EGY,2013,0
Egypt,EGY,2015,1
Equatorial Guinea,GNQ,2015,1
Estonia,EST,2009,1
Estonia,EST,2011,1
Estonia,EST,2013,1
Estonia,EST,2015,1
Ethiopia,ETH,2009,1
Ethiopia,ETH,2011,1
Ethiopia,ETH,2013,1
Ethiopia,ETH,2015,1
Fiji,FJI,2009,1
Fiji,FJI,2011,1
Fiji,FJI,2013,1
Fiji,FJI,2015,1
Gambia,GMB,2015,1
Ghana,GHA,2009,1
Ghana,GHA,2011,1
Ghana,GHA,2013,1
Ghana,GHA,2015,1
Grenada,GRD,2015,1
Guinea-Bissau,GNB,2015,0
Guyana,GUY,2015,1
Honduras,HND,2009,1
Honduras,HND,2011,1
Honduras,HND,2013,1
Honduras,HND,2015,1
Hungary,HUN,2009,1
Hungary,HUN,2011,1
Hungary,HUN,2013,1
Hungary,HUN,2015,1
India,IND,2009,1
India,IND,2011,1
India,IND,2013,1
India,IND,2015,1
Indonesia,IDN,2009,0
Indonesia,IDN,2011,0
Indonesia,IDN,2013,0
Indonesia,IDN,2015,0
Iraq,IRQ,2015,1
Jamaica,JAM,2009,0
Jamaica,JAM,2011,0
Jamaica,JAM,2013,1
Jamaica,JAM,2015,1
Japan,JPN,2009,1
Japan,JPN,2011,1
Japan,JPN,2013,1
Japan,JPN,2015,1
Jordan,JOR,2009,0
Jordan,JOR,2011,0
Jordan,JOR,2013,0
Jordan,JOR,2015,0
Kazakhstan,KAZ,2009,1
Kazakhstan,KAZ,2011,1
Kazakhstan,KAZ,2013,1
Kazakhstan,KAZ,2015,1
Kenya,KEN,2009,1
Kenya,KEN,2011,1
Kenya,KEN,2013,1
Kenya,KEN,2015,1
Kiribati,KIR,2015,0
Kosovo,OWID_KOS,2009,1
Kosovo,OWID_KOS,2011,1
Kosovo,OWID_KOS,2013,1
Kosovo,OWID_KOS,2015,1
Kuwait,KWT,2009,1
Kuwait,KWT,2011,1
Kuwait,KWT,2013,1
Kuwait,KWT,2015,1
Kyrgyzstan,KGZ,2009,1
Kyrgyzstan,KGZ,2011,1
Kyrgyzstan,KGZ,2013,1
Kyrgyzstan,KGZ,2015,1
Latvia,LVA,2009,0
Latvia,LVA,2011,0
Latvia,LVA,2013,0
Latvia,LVA,2015,0
Lesotho,LSO,2009,1
Lesotho,LSO,2011,1
Lesotho,LSO,2013,1
Lesotho,LSO,2015,1
Libya,LBY,2015,1
Macedonia,MKD,2009,1
Macedonia,MKD,2011,1
Macedonia,MKD,2013,1
Macedonia,MKD,2015,1
Madagascar,MDG,2009,1
Madagascar,MDG,2011,1
Madagascar,MDG,2013,1
Madagascar,MDG,2015,1
Malawi,MWI,2009,1
Malawi,MWI,2011,1
Malawi,MWI,2013,1
Malawi,MWI,2015,1
Malaysia,MYS,2009,1
Malaysia,MYS,2011,1
Malaysia,MYS,2013,1
Malaysia,MYS,2015,1
Maldives,MDV,2015,1
Mali,MLI,2009,1
Mali,MLI,2011,1
Mali,MLI,2013,1
Mali,MLI,2015,1
Malta,MLT,2015,1
Marshall Islands,MHL,2015,1
Mauritius,MUS,2009,1
Mauritius,MUS,2011,1
Mauritius,MUS,2013,1
Mauritius,MUS,2015,1
Mexico,MEX,2009,1
Mexico,MEX,2011,1
Mexico,MEX,2013,1
Mexico,MEX,2015,1
Moldova,MDA,2009,1
Moldova,MDA,2011,1
Moldova,MDA,2013,1
Moldova,MDA,2015,1
Mongolia,MNG,2009,1
Mongolia,MNG,2011,1
Mongolia,MNG,2013,1
Mongolia,MNG,2015,1
Montenegro,MNE,2009,0
Montenegro,MNE,2011,0
Montenegro,MNE,2013,0
Montenegro,MNE,2015,0
Myanmar,MMR,2015,1
Namibia,NAM,2009,1
Namibia,NAM,2011,1
Namibia,NAM,2013,1
Namibia,NAM,2015,1
Nepal,NPL,2009,1
Nepal,NPL,2011,1
Nepal,NPL,2013,1
Nepal,NPL,2015,1
Netherlands,NLD,2009,1
Netherlands,NLD,2011,1
Netherlands,NLD,2013,1
Netherlands,NLD,2015,1
New Zealand,NZL,2009,1
New Zealand,NZL,2011,1
New Zealand,NZL,2013,1
New Zealand,NZL,2015,1
Nicaragua,NIC,2009,1
Nicaragua,NIC,2011,1
Nicaragua,NIC,2013,1
Nicaragua,NIC,2015,1
Niger,NER,2009,1
Niger,NER,2011,1
Niger,NER,2013,1
Niger,NER,2015,1
Nigeria,NGA,2009,1
Nigeria,NGA,2011,1
Nigeria,NGA,2013,1
Nigeria,NGA,2015,1
Oman,OMN,2009,1
Oman,OMN,2011,1
Oman,OMN,2013,1
Oman,OMN,2015,1
Pakistan,PAK,2009,1
Pakistan,PAK,2011,1
Pakistan,PAK,2013,1
Pakistan,PAK,2015,1
Palau,PLW,2015,1
Palestine,PSE,2009,1
Palestine,PSE,2011,1
Palestine,PSE,2013,1
Palestine,PSE,2015,1
Panama,PAN,2009,1
Panama,PAN,2011,1
