Entity,Code,Year,World population,World population supported without synthetic fertilizer,World population fed by synthetic fertilizer
World,OWID_WRL,1900,1650000000,1650000000,0
World,OWID_WRL,1901,1659947572,1659947572,0
World,OWID_WRL,1902,1669996608,1669996608,0
World,OWID_WRL,1903,1680114897,1680114897,0
World,OWID_WRL,1904,1690269397,1690269397,0
World,OWID_WRL,1905,1700426220,1700426220,0
World,OWID_WRL,1906,1710550627,1710550627,0
World,OWID_WRL,1907,1720607035,1720607035,0
World,OWID_WRL,1908,1730559024,1730559024,0
World,OWID_WRL,1909,1740369356,,
World,OWID_WRL,1910,1750000000,1741250000,8750000
World,OWID_WRL,1911,1759443033,,
World,OWID_WRL,1912,1768814621,,
World,OWID_WRL,1913,1778264825,,
World,OWID_WRL,1914,1787947089,,
World,OWID_WRL,1915,1798018386,,
World,OWID_WRL,1916,1808639504,,
World,OWID_WRL,1917,1819975472,,
World,OWID_WRL,1918,1832196157,,
World,OWID_WRL,1919,1845477011,,
World,OWID_WRL,1920,1860000000,,
World,OWID_WRL,1921,1875909155,,
World,OWID_WRL,1922,1893171642,,
World,OWID_WRL,1923,1911708727,,
World,OWID_WRL,1924,1931439861,,
World,OWID_WRL,1925,1952282002,,
World,OWID_WRL,1926,1974148984,,
World,OWID_WRL,1927,1996950908,,
World,OWID_WRL,1928,2020593592,,
World,OWID_WRL,1929,2044978045,,
World,OWID_WRL,1930,2070000000,1966500000,103500000
World,OWID_WRL,1931,2095524322,,
World,OWID_WRL,1932,2121306518,,
World,OWID_WRL,1933,2147063356,,
World,OWID_WRL,1934,2172497229,,
World,OWID_WRL,1935,2197296392,,
World,OWID_WRL,1936,2221135654,,
World,OWID_WRL,1937,2243677560,,
World,OWID_WRL,1938,2264574084,,
World,OWID_WRL,1939,2283468864,,
World,OWID_WRL,1940,2300000000,2139000000,161000000
World,OWID_WRL,1941,2314055062,,
World,OWID_WRL,1942,2326540535,,
World,OWID_WRL,1943,2338643871,,
World,OWID_WRL,1944,2351580095,,
World,OWID_WRL,1945,2366593074,,
World,OWID_WRL,1946,2384963558,,
World,OWID_WRL,1947,2408024366,,
World,OWID_WRL,1948,2437183278,,
World,OWID_WRL,1949,2473954492,,
World,OWID_WRL,1950,2536274721,2333372743,202901977.7
World,OWID_WRL,1951,2583816786,,
World,OWID_WRL,1952,2630584384,,
World,OWID_WRL,1953,2677230358,,
World,OWID_WRL,1954,2724302468,,
World,OWID_WRL,1955,2772242535,2467295856,304946678.9
World,OWID_WRL,1956,2821383444,,
World,OWID_WRL,1957,2871952278,,
World,OWID_WRL,1958,2924081243,,
World,OWID_WRL,1959,2977824686,,
World,OWID_WRL,1960,3033212527,2638894898,394317628.5
World,OWID_WRL,1961,3090305279,,
World,OWID_WRL,1962,3149244245,,
World,OWID_WRL,1963,3210271352,,
World,OWID_WRL,1964,3273670772,,
World,OWID_WRL,1965,3339592688,,
World,OWID_WRL,1966,3408121405,,
World,OWID_WRL,1967,3479053821,,
World,OWID_WRL,1968,3551880700,,
World,OWID_WRL,1969,3625905514,,
World,OWID_WRL,1970,3700577650,2812439014,888138636
World,OWID_WRL,1971,3775790900,,
World,OWID_WRL,1972,3851545181,,
World,OWID_WRL,1973,3927538695,,
World,OWID_WRL,1974,4003448151,,
World,OWID_WRL,1975,4079087198,,
World,OWID_WRL,1976,4154287594,,
World,OWID_WRL,1977,4229201257,,
World,OWID_WRL,1978,4304377112,,
World,OWID_WRL,1979,4380585755,,
World,OWID_WRL,1980,4458411534,3120888074,1337523460
World,OWID_WRL,1981,4537845777,,
World,OWID_WRL,1982,4618776168,,
World,OWID_WRL,1983,4701530843,,
World,OWID_WRL,1984,4786483862,,
World,OWID_WRL,1985,4873781796,,
World,OWID_WRL,1986,4963633228,,
World,OWID_WRL,1987,5055636132,,
World,OWID_WRL,1988,5148556956,,
World,OWID_WRL,1989,5240735117,,
World,OWID_WRL,1990,5330943460,3198566076,2132377384
World,OWID_WRL,1991,5418758803,,
World,OWID_WRL,1992,5504401149,,
World,OWID_WRL,1993,5588094837,,
World,OWID_WRL,1994,5670319703,,
World,OWID_WRL,1995,5751474416,,
World,OWID_WRL,1996,5831565020,,
World,OWID_WRL,1997,5910566295,,
World,OWID_WRL,1998,5988846103,,
World,OWID_WRL,1999,6066867391,,
World,OWID_WRL,2000,6145006989,3441203914,2703803075
World,OWID_WRL,2001,6223412158,,
World,OWID_WRL,2002,6302149639,,
World,OWID_WRL,2003,6381408987,,
World,OWID_WRL,2004,6461370865,,
World,OWID_WRL,2005,6542159383,,
World,OWID_WRL,2006,6623847913,,
World,OWID_WRL,2007,6706418593,,
World,OWID_WRL,2008,6789771253,3530681052,3259090201
World,OWID_WRL,2009,6873741054,,
World,OWID_WRL,2010,6958169159,,
World,OWID_WRL,2011,7043008586,,
World,OWID_WRL,2012,7128176935,,
World,OWID_WRL,2013,7213426452,,
World,OWID_WRL,2014,7298453033,,
World,OWID_WRL,2015,7383008820,3839164586,3543844234
