Entity,Code,Year,Renewables (terawatt-hours)
Africa,,1966,3.605903585369994
Africa,,1967,1.340221103360001
Africa,,1968,6.4859205462899965
Africa,,1969,7.789247509900008
Africa,,1970,14.456289989479984
Africa,,1971,-2.8307413487199824
Africa,,1972,10.52966609181999
Africa,,1973,-0.07404333702999111
Africa,,1974,13.922219839270014
Africa,,1975,4.7022707447799945
Africa,,1976,10.513502287509993
Africa,,1977,11.121504964109988
Africa,,1978,2.65191634043002
Africa,,1979,3.1608617596999835
Africa,,1980,-3.27377963939999
Africa,,1981,6.2059892723799805
Africa,,1982,0.7191269893300074
Africa,,1983,-8.236315990999984
Africa,,1984,-0.9972481933000097
Africa,,1985,11.462606118710013
Africa,,1986,5.4874633098199865
Africa,,1987,-5.485847344580009
Africa,,1988,11.854486900370006
Africa,,1989,7.035526911120002
Africa,,1990,2.8739188634600055
Africa,,1991,8.954813902000012
Africa,,1992,-7.2814387952000175
Africa,,1993,-2.8903537281799743
Africa,,1994,2.121687602479966
Africa,,1995,6.203758754680024
Africa,,1996,7.2520391321199895
Africa,,1997,4.32812157283999
Africa,,1998,8.170261068370024
Africa,,1999,10.524076236989998
Africa,,2000,14.401194597350013
Africa,,2001,15.609492761179979
Africa,,2002,11.318383744750008
Africa,,2003,-4.926693808080017
Africa,,2004,13.494242503259983
Africa,,2005,4.495596259370075
Africa,,2006,10.56732910249994
Africa,,2007,6.969792697370025
Africa,,2008,5.95104757718002
Africa,,2009,8.410206180949956
Africa,,2010,23.00203926147003
Africa,,2011,9.523692142120012
Africa,,2012,3.0946963055499737
Africa,,2013,20.855626965159956
Africa,,2014,25.792779550830062
Africa,,2015,9.340429811999968
Africa,,2016,0.7544214342100304
Africa,,2017,29.98857148303989
Africa,,2018,34.84303203566009
Algeria,DZA,1966,-0.0814100000000002
Algeria,DZA,1967,0.11630000000000007
Algeria,DZA,1968,0.3954200000000001
Algeria,DZA,1969,-0.5117200000000002
Algeria,DZA,1970,0.5815000000000001
Algeria,DZA,1971,-0.6745399999999999
Algeria,DZA,1972,0.45357000000000003
Algeria,DZA,1973,0.6745400000000001
Algeria,DZA,1974,-0.6745400000000001
Algeria,DZA,1975,-0.45357000000000003
Algeria,DZA,1976,0.15118999999999994
Algeria,DZA,1977,-0.3023800000000001
Algeria,DZA,1978,-0.03488999999999998
Algeria,DZA,1979,0.09304000000000001
Algeria,DZA,1980,-0.09304000000000001
Algeria,DZA,1981,0.2791199999999999
Algeria,DZA,1982,0.3023800000000003
Algeria,DZA,1983,-0.6396500000000003
Algeria,DZA,1984,0.5815000000000001
Algeria,DZA,1985,0.5021100030699999
Algeria,DZA,1986,-1.04210526612
Algeria,DZA,1987,0.6552631587000001
Algeria,DZA,1988,-0.83157894797
Algeria,DZA,1989,0.11315789964
Algeria,DZA,1990,-0.23947369053000012
Algeria,DZA,1991,0.41578947980000014
Algeria,DZA,1992,-0.24736842528000014
Algeria,DZA,1993,0.40526315517
Algeria,DZA,1994,-0.49210526068
Algeria,DZA,1995,0.07105263601000006
Algeria,DZA,1996,-0.15263158502000007
Algeria,DZA,1997,-0.15789474152
Algeria,DZA,1998,0.3684210596700001
Algeria,DZA,1999,-0.03157895063000005
Algeria,DZA,2000,-0.39210526392
Algeria,DZA,2001,0.039473685379999984
Algeria,DZA,2002,-0.03157895062999999
Algeria,DZA,2003,0.5473684271900001
Algeria,DZA,2004,-0.036842107130000024
Algeria,DZA,2005,0.8007894766300001
Algeria,DZA,2006,-0.8886842134400001
Algeria,DZA,2007,0.022105268930000088
