Entity,Code,Year,Variable:Recycling - MUNW (tonnes)
Czech Republic,CZE,2006,200600
Czech Republic,CZE,2007,276080
Czech Republic,CZE,2008,279850
Czech Republic,CZE,2009,352790
Czech Republic,CZE,2010,451770
Czech Republic,CZE,2011,495700
Czech Republic,CZE,2012,665280
Czech Republic,CZE,2013,685920
Czech Republic,CZE,2014,736020
Czech Republic,CZE,2015,850910
Denmark,DNK,1993,203000
Denmark,DNK,1994,479000
Denmark,DNK,1995,391000
Denmark,DNK,1996,800000
Denmark,DNK,1997,662000
Denmark,DNK,1998,710000
Denmark,DNK,1999,820000
Denmark,DNK,2000,755000
Denmark,DNK,2001,787000
Denmark,DNK,2002,796000
Denmark,DNK,2003,926000
Denmark,DNK,2004,934000
Denmark,DNK,2005,977000
Denmark,DNK,2006,977000
Denmark,DNK,2007,1149000
Denmark,DNK,2008,1559000
Denmark,DNK,2009,1310000
Denmark,DNK,2010,1248500
Denmark,DNK,2011,1187000
Denmark,DNK,2012,1135000
Denmark,DNK,2013,1152000
Denmark,DNK,2014,1198000
Denmark,DNK,2015,1223000
Estonia,EST,1995,0
Estonia,EST,1996,0
Estonia,EST,1997,0
Estonia,EST,1998,0
Estonia,EST,1999,0
Estonia,EST,2000,12800
Estonia,EST,2001,15310
Estonia,EST,2002,10610
Estonia,EST,2003,76820
Estonia,EST,2004,142250
Estonia,EST,2005,121460
Estonia,EST,2006,70270
Estonia,EST,2007,122350
Estonia,EST,2008,77510
Estonia,EST,2009,51830
Estonia,EST,2010,40660
Estonia,EST,2011,58170
Estonia,EST,2012,52390
Estonia,EST,2013,48860
Estonia,EST,2014,124600
Estonia,EST,2015,117390
Finland,FIN,1994,700000
Finland,FIN,1995,548920
Finland,FIN,1996,546690
Finland,FIN,1997,598750
Finland,FIN,1998,624790
Finland,FIN,1999,650820
Finland,FIN,2000,676850
Finland,FIN,2001,627910
Finland,FIN,2002,620730
Finland,FIN,2003,632040
Finland,FIN,2004,638700
Finland,FIN,2005,652000
Finland,FIN,2006,676880
Finland,FIN,2007,695240
Finland,FIN,2008,714640
Finland,FIN,2009,615060
Finland,FIN,2010,495000
Finland,FIN,2011,592000
Finland,FIN,2012,589000
Finland,FIN,2013,510410
Finland,FIN,2014,474330
Finland,FIN,2015,770310
France,FRA,1993,1927000
France,FRA,1995,2481000
France,FRA,1996,2653000
France,FRA,1997,3048000
France,FRA,1998,3523000
France,FRA,1999,3822000
France,FRA,2000,4045000
France,FRA,2001,4410000
France,FRA,2002,4715000
France,FRA,2003,4725000
France,FRA,2004,4970000
France,FRA,2005,5365000
France,FRA,2006,5661000
France,FRA,2007,5964000
France,FRA,2008,5972000
France,FRA,2009,6004000
France,FRA,2010,6143000
France,FRA,2011,7220000
France,FRA,2012,7217000
France,FRA,2013,7320000
France,FRA,2014,7436000
France,FRA,2015,7433000
Germany,DEU,1993,8628000
Germany,DEU,1995,13384470
Germany,DEU,1996,15042780
Germany,DEU,1997,16432919.999999998
Germany,DEU,1998,16527550
Germany,DEU,1999,19897950
Germany,DEU,2000,20143950
Germany,DEU,2001,19631950
Germany,DEU,2002,22015000
Germany,DEU,2003,21425000
Germany,DEU,2004,19587000
Germany,DEU,2005,20734000
Germany,DEU,2006,21195000
Germany,DEU,2007,22555000
Germany,DEU,2008,22752000
Germany,DEU,2009,22204000
Germany,DEU,2010,22476000
Germany,DEU,2011,23135000
Germany,DEU,2012,23596000
Germany,DEU,2013,23091000
Germany,DEU,2014,24302000
Germany,DEU,2015,24414000
Greece,GRC,1990,178700
Greece,GRC,1992,225900
Greece,GRC,1995,195000
Greece,GRC,1996,230000
Greece,GRC,1997,327600
Greece,GRC,1998,331300
Greece,GRC,1999,346100
Greece,GRC,2000,359000
Greece,GRC,2001,370000
Greece,GRC,2002,375000
Greece,GRC,2003,382000
Greece,GRC,2004,481010
Greece,GRC,2005,543240
Greece,GRC,2006,551000
Greece,GRC,2007,904620
Greece,GRC,2008,796980
Greece,GRC,2009,936000
Greece,GRC,2010,872000
Greece,GRC,2011,832000
Greece,GRC,2012,869000
Hungary,HUN,1990,0
Hungary,HUN,1994,0
Hungary,HUN,1995,58760
Hungary,HUN,1996,59780
Hungary,HUN,1997,62030
Hungary,HUN,1998,61530
Hungary,HUN,1999,61120
Hungary,HUN,2000,56290
Hungary,HUN,2001,56920
Hungary,HUN,2002,67290
Hungary,HUN,2003,116990
Hungary,HUN,2004,501000
Hungary,HUN,2005,403000
Hungary,HUN,2006,432000
Hungary,HUN,2007,490000
Hungary,HUN,2008,607000
Hungary,HUN,2009,576000
Hungary,HUN,2010,641000
Hungary,HUN,2011,654000
Hungary,HUN,2012,832000
Hungary,HUN,2013,799000
Hungary,HUN,2014,923000
Hungary,HUN,2015,963000
Iceland,ISL,1995,7000
Iceland,ISL,1996,9000
Iceland,ISL,1997,8000
Iceland,ISL,1998,11000
Iceland,ISL,1999,14000
Iceland,ISL,2000,17000
Iceland,ISL,2001,18000
Iceland,ISL,2002,19000
Iceland,ISL,2003,20000
Iceland,ISL,2004,23000
Iceland,ISL,2008,35960
Iceland,ISL,2009,20620
Iceland,ISL,2010,23850
Iceland,ISL,2011,32060.000000000004
Iceland,ISL,2012,39160
Iceland,ISL,2013,41760
Iceland,ISL,2014,37180
Ireland,IRL,1995,124000
Ireland,IRL,1996,130000
Ireland,IRL,1997,150000
Ireland,IRL,1998,161020
Ireland,IRL,1999,205000
Ireland,IRL,2000,253800
Ireland,IRL,2001,283550
Ireland,IRL,2002,462910
Ireland,IRL,2003,650000
Ireland,IRL,2004,835490
Ireland,IRL,2005,898000
Ireland,IRL,2006,1064340
Ireland,IRL,2007,1081150
Ireland,IRL,2008,976860
Ireland,IRL,2009,902170
Ireland,IRL,2010,910000
Ireland,IRL,2011,861000
Ireland,IRL,2012,828500
Israel,ISR,2014,728700
Israel,ISR,2015,803800
Italy,ITA,1995,930000
Italy,ITA,1996,1199000
Italy,ITA,1997,1874000
Italy,ITA,1998,2235000
Italy,ITA,1999,2595000
Italy,ITA,2000,2888000
Italy,ITA,2001,3513000
Italy,ITA,2002,2727000
Italy,ITA,2003,3108000
Italy,ITA,2004,3509000
Italy,ITA,2005,3683000
Italy,ITA,2006,3813000
Italy,ITA,2007,5536000
Italy,ITA,2008,4631000
Italy,ITA,2009,6042000
Italy,ITA,2010,6107000
Italy,ITA,2011,7149000
Italy,ITA,2012,7177000
Italy,ITA,2013,7335000
Italy,ITA,2014,7732000
Italy,ITA,2015,7649000
Japan,JPN,1990,2668870
Japan,JPN,1991,3100000
Japan,JPN,1992,3727750
Japan,JPN,1993,4115380
Japan,JPN,1994,4701000
Japan,JPN,1995,5100000
Japan,JPN,1996,5465000
Japan,JPN,1997,5860000
Japan,JPN,1998,6491000
Japan,JPN,1999,7032000
Japan,JPN,2000,7860000
Japan,JPN,2001,8247000
Japan,JPN,2002,8638000
Japan,JPN,2003,9157000
Japan,JPN,2004,9400000
Japan,JPN,2005,10026000
Japan,JPN,2006,10204000
Japan,JPN,2007,10304000
Japan,JPN,2008,9776000
Japan,JPN,2009,9502000
Japan,JPN,2010,9446000
Japan,JPN,2011,9156000
Japan,JPN,2012,9127000
Japan,JPN,2013,9117000
Japan,JPN,2014,8972000
Korea,,1990,1423500
Korea,,1991,2476890
Korea,,1992,2157880
Korea,,1993,2640050
Korea,,1994,3258360
Korea,,1995,4012000
Korea,,1996,4775660
Korea,,1997,5076060
Korea,,1998,5682000
Korea,,1999,6348810
Korea,,2000,6996000
Korea,,2001,7636530
Korea,,2002,8011000
Korea,,2003,8372370.000000001
Korea,,2004,8975000
Korea,,2005,9944000
Korea,,2008,11096000
Korea,,2009,11112000
Korea,,2010,10753000
Korea,,2011,10412000
Korea,,2012,10436000
Korea,,2013,10432000
Korea,,2014,10586000
Latvia,LVA,2001,0
Latvia,LVA,2002,3120
Latvia,LVA,2003,13650
Latvia,LVA,2004,24680
Latvia,LVA,2005,26290
Latvia,LVA,2006,28990
Latvia,LVA,2007,38350
Latvia,LVA,2008,42750
Latvia,LVA,2009,55530
Latvia,LVA,2010,59630
Latvia,LVA,2011,62150
Latvia,LVA,2012,83530
Latvia,LVA,2013,142000
Latvia,LVA,2014,170000
Latvia,LVA,2015,182000
Lithuania,LTU,1995,0
Lithuania,LTU,1996,0
Lithuania,LTU,1997,0
Lithuania,LTU,1998,0
Lithuania,LTU,1999,0
Lithuania,LTU,2000,0
Lithuania,LTU,2001,0
Lithuania,LTU,2002,0
Lithuania,LTU,2003,0
Lithuania,LTU,2004,13680
Lithuania,LTU,2005,13980
Lithuania,LTU,2006,14400
Lithuania,LTU,2007,29400
Lithuania,LTU,2008,39800
Lithuania,LTU,2009,37070
Lithuania,LTU,2010,43370
Lithuania,LTU,2011,244120
Lithuania,LTU,2012,261209
Lithuania,LTU,2013,261310.99999999997
Lithuania,LTU,2014,267886
Lithuania,LTU,2015,298172
Luxembourg,LUX,1995,31470
Luxembourg,LUX,1996,37370
Luxembourg,LUX,1997,45800
Luxembourg,LUX,1998,52490
Luxembourg,LUX,1999,51890
Luxembourg,LUX,2000,61620
Luxembourg,LUX,2001,66390
Luxembourg,LUX,2002,66430
Luxembourg,LUX,2003,70580
Luxembourg,LUX,2004,72150
Luxembourg,LUX,2005,80100
Luxembourg,LUX,2006,83990
Luxembourg,LUX,2007,86020
Luxembourg,LUX,2008,88970
Luxembourg,LUX,2009,89300
Luxembourg,LUX,2010,92716
Luxembourg,LUX,2011,97586
Luxembourg,LUX,2012,96410
Luxembourg,LUX,2013,94560
Luxembourg,LUX,2014,99060
Luxembourg,LUX,2015,101490
Mexico,MEX,1991,143730
Mexico,MEX,1992,517500
Mexico,MEX,1993,662000
Mexico,MEX,1994,694600
Mexico,MEX,1995,719000
Mexico,MEX,1996,753200
Mexico,MEX,1997,689800
Mexico,MEX,1998,720000
Mexico,MEX,1999,729400
Mexico,MEX,2000,724300
Mexico,MEX,2001,742100
Mexico,MEX,2002,780470
Mexico,MEX,2003,820500
Mexico,MEX,2004,895000
Mexico,MEX,2005,1150000
Mexico,MEX,2006,1176000
Mexico,MEX,2007,1202200
Mexico,MEX,2008,1346800
Mexico,MEX,2009,1500000
Mexico,MEX,2010,1695000
Mexico,MEX,2011,1980000
Mexico,MEX,2012,2100000
Netherlands,NLD,1991,578000
Netherlands,NLD,1993,1225000
Netherlands,NLD,1994,1253000
Netherlands,NLD,1995,1295000
Netherlands,NLD,1996,1437000
Netherlands,NLD,1997,1604000
Netherlands,NLD,1998,1710000
Netherlands,NLD,1999,1822000
Netherlands,NLD,2000,1899000
Netherlands,NLD,2001,1917000
Netherlands,NLD,2002,2022000
Netherlands,NLD,2003,2039000
Netherlands,NLD,2004,2183000
Netherlands,NLD,2005,2142000
Netherlands,NLD,2006,2247000
Netherlands,NLD,2007,2388000
Netherlands,NLD,2008,2450000
Netherlands,NLD,2009,2384000
Netherlands,NLD,2010,2354000
Netherlands,NLD,2011,2291000
Netherlands,NLD,2012,2196000
Netherlands,NLD,2013,2112000
Netherlands,NLD,2014,2112000
Netherlands,NLD,2015,2179000
Norway,NOR,1990,100000
Norway,NOR,1992,176200
Norway,NOR,1993,230000
Norway,NOR,1994,265100
Norway,NOR,1995,321600
Norway,NOR,1996,467000
Norway,NOR,1997,547600
Norway,NOR,1998,482000
Norway,NOR,1999,579000
Norway,NOR,2000,606000
Norway,NOR,2001,496340
Norway,NOR,2002,559690
Norway,NOR,2003,575890
Norway,NOR,2004,475000
Norway,NOR,2005,519000
Norway,NOR,2006,574000
Norway,NOR,2007,642000
Norway,NOR,2008,669510
Norway,NOR,2009,619820
Norway,NOR,2010,608760
Norway,NOR,2011,598000
Norway,NOR,2012,620000
Norway,NOR,2013,589680
Norway,NOR,2014,566970
Norway,NOR,2015,571500
Poland,POL,1995,0
Poland,POL,1996,0
Poland,POL,1997,0
Poland,POL,1998,13000
Poland,POL,1999,18000
Poland,POL,2000,13000
Poland,POL,2001,147000
Poland,POL,2002,116000
Poland,POL,2003,145000
Poland,POL,2004,243000
Poland,POL,2005,367000
Poland,POL,2006,487000
Poland,POL,2007,580000
Poland,POL,2008,895000
Poland,POL,2009,1421000
Poland,POL,2010,1783000
Poland,POL,2011,1173000
Poland,POL,2012,1244000
Poland,POL,2013,1499000
Poland,POL,2014,2180000
Poland,POL,2015,2867000
Portugal,PRT,1995,40010
Portugal,PRT,1996,53510
Portugal,PRT,1997,67050
Portugal,PRT,1998,81790
Portugal,PRT,1999,108680
Portugal,PRT,2000,157290
Portugal,PRT,2001,189560
Portugal,PRT,2002,212660
Portugal,PRT,2003,226940
Portugal,PRT,2004,319570
Portugal,PRT,2005,405780
Portugal,PRT,2006,475350
Portugal,PRT,2007,527900
Portugal,PRT,2008,566650
Portugal,PRT,2009,648210
Portugal,PRT,2010,619350
Portugal,PRT,2011,594790
Portugal,PRT,2012,549480
Portugal,PRT,2013,594120
Portugal,PRT,2014,764670
Slovakia,SVK,1997,36420
Slovakia,SVK,1998,29630
Slovakia,SVK,1999,29340
Slovakia,SVK,2000,36200
Slovakia,SVK,2002,34840
Slovakia,SVK,2003,47110
Slovakia,SVK,2004,45550
Slovakia,SVK,2005,13790
Slovakia,SVK,2006,13570
Slovakia,SVK,2007,38900
Slovakia,SVK,2008,59650
Slovakia,SVK,2009,72450
Slovakia,SVK,2010,98150
Slovakia,SVK,2011,103900
Slovakia,SVK,2012,139500
Slovakia,SVK,2013,107890
Slovakia,SVK,2014,88420
Slovakia,SVK,2015,136230
Slovenia,SVN,1995,21050
Slovenia,SVN,1996,54070
Slovenia,SVN,1997,53840
Slovenia,SVN,1998,89680
Slovenia,SVN,1999,50160
Slovenia,SVN,2000,46940
Slovenia,SVN,2001,13950
Slovenia,SVN,2002,62170
Slovenia,SVN,2003,92080
Slovenia,SVN,2004,182650
Slovenia,SVN,2005,168630
Slovenia,SVN,2006,145460
Slovenia,SVN,2007,216900
Slovenia,SVN,2008,189870
Slovenia,SVN,2009,189140
Slovenia,SVN,2010,203210
Slovenia,SVN,2011,258300
Slovenia,SVN,2012,270240
Slovenia,SVN,2013,239050
Slovenia,SVN,2014,258820
Slovenia,SVN,2015,430040
Spain,ESP,2008,3898390
Spain,ESP,2009,3810970
Spain,ESP,2010,4174670
Spain,ESP,2011,3782460
Spain,ESP,2012,4277340
Spain,ESP,2013,3284300
Spain,ESP,2014,3525500
Spain,ESP,2015,3392500
Sweden,SWE,1990,400000
Sweden,SWE,1994,637000
Sweden,SWE,1995,685000
Sweden,SWE,1996,810000
Sweden,SWE,1997,923000
Sweden,SWE,1998,1046000
Sweden,SWE,1999,1094000
Sweden,SWE,2000,1091000
Sweden,SWE,2001,1135200
Sweden,SWE,2002,1294820
Sweden,SWE,2003,1313760
Sweden,SWE,2004,1384760
Sweden,SWE,2005,1474280
Sweden,SWE,2006,1657520
Sweden,SWE,2007,1591180
Sweden,SWE,2008,1520470
Sweden,SWE,2009,1604400
Sweden,SWE,2010,1414410
Sweden,SWE,2011,1405970
Sweden,SWE,2012,1403480
Sweden,SWE,2013,1443390
Sweden,SWE,2014,1418150
Sweden,SWE,2015,1416850
Switzerland,CHE,1990,910600
Switzerland,CHE,1991,951200
Switzerland,CHE,1992,986680
Switzerland,CHE,1993,1020230
Switzerland,CHE,1994,1160510
Switzerland,CHE,1995,1240380
Switzerland,CHE,1996,1315680
Switzerland,CHE,1997,1349410
Switzerland,CHE,1998,1406410
Switzerland,CHE,1999,1445240
Switzerland,CHE,2000,1500000
Switzerland,CHE,2001,1584000
Switzerland,CHE,2002,1578000
Switzerland,CHE,2003,1596000
Switzerland,CHE,2004,1640000
Switzerland,CHE,2005,1730000
Switzerland,CHE,2006,1785000
Switzerland,CHE,2007,1855000
Switzerland,CHE,2008,1893000
Switzerland,CHE,2009,1871000
Switzerland,CHE,2010,1878000
Switzerland,CHE,2011,1895000
Switzerland,CHE,2012,1939000
Switzerland,CHE,2013,1919000
Switzerland,CHE,2014,1960000
Switzerland,CHE,2015,1924000
Turkey,TUR,1994,0
Turkey,TUR,1995,0
Turkey,TUR,1996,0
Turkey,TUR,1997,0
Turkey,TUR,1998,0
Turkey,TUR,1999,0
Turkey,TUR,2000,0
Turkey,TUR,2001,0
Turkey,TUR,2002,0
Turkey,TUR,2003,0
Turkey,TUR,2004,0
Turkey,TUR,2005,0
Turkey,TUR,2006,0
Turkey,TUR,2007,0
Turkey,TUR,2008,0
Turkey,TUR,2009,0
Turkey,TUR,2010,0
Turkey,TUR,2011,0
Turkey,TUR,2012,0
Turkey,TUR,2013,0
Turkey,TUR,2014,0
United Kingdom,GBR,1995,2020000
United Kingdom,GBR,1996,1922000
United Kingdom,GBR,1997,2265000
United Kingdom,GBR,1998,2763000
United Kingdom,GBR,1999,3421000
United Kingdom,GBR,2000,2836000
United Kingdom,GBR,2001,3181000
United Kingdom,GBR,2002,3733000
United Kingdom,GBR,2003,4698000
United Kingdom,GBR,2004,5657000
United Kingdom,GBR,2005,6362000
United Kingdom,GBR,2006,7107000
United Kingdom,GBR,2007,7680000
United Kingdom,GBR,2008,7775000
United Kingdom,GBR,2009,7890340
United Kingdom,GBR,2010,8068620
United Kingdom,GBR,2011,8134030
United Kingdom,GBR,2012,8173100
United Kingdom,GBR,2013,8468110
United Kingdom,GBR,2014,8502620
United Kingdom,GBR,2015,8601880
United States,USA,1990,26345000
United States,USA,1991,29511000
United States,USA,1992,32677000
United States,USA,1993,34310000
United States,USA,1994,39245000
United States,USA,1995,41867000
United States,USA,1996,42756000
United States,USA,1997,43472000
United States,USA,1998,44162000
United States,USA,1999,46085000
United States,USA,2000,48090000
United States,USA,2001,48199000
United States,USA,2002,49197000
United States,USA,2003,50839000
United States,USA,2004,52707000
United States,USA,2005,53742000
United States,USA,2006,56118000
United States,USA,2007,57243000
United States,USA,2008,56209000
United States,USA,2009,56273000
United States,USA,2010,59203000
United States,USA,2011,60500000
United States,USA,2012,59475000
United States,USA,2013,59076000
United States,USA,2014,60219000
