Entity,Code,Year,Renewables (kilowatt-hours)
Africa,,1965,117.3704679708892
Africa,,1966,125.45569092953244
Africa,,1967,126.31613792740687
Africa,,1968,141.93654246831557
Africa,,1969,160.34638739350086
Africa,,1970,196.0483669819066
Africa,,1971,183.44659699643955
Africa,,1972,206.22902722894688
Africa,,1973,200.68559318781107
Africa,,1974,229.90562138529822
Africa,,1975,235.13054076545654
Africa,,1976,253.4736172760147
Africa,,1977,271.9698758119893
Africa,,1978,270.4009788212583
Africa,,1979,269.76437922015873
Africa,,1980,255.41634026182854
Africa,,1981,260.9830814803348
Africa,,1982,255.14525791780738
Africa,,1983,232.15083485577074
Africa,,1984,223.81070124067088
Africa,,1985,238.47015379685337
Africa,,1986,241.5592234443352
Africa,,1987,225.4085612357001
Africa,,1988,239.0672011001563
Africa,,1989,244.0417670040032
Africa,,1990,242.08212508654876
Africa,,1991,249.56018024978994
Africa,,1992,232.15509505986347
Africa,,1993,222.00671181164378
Africa,,1994,219.46140462568357
Africa,,1995,222.6566503476984
Africa,,1996,227.04083142910767
Africa,,1997,227.2475362769564
Africa,,1998,232.32362353087566
Africa,,1999,240.02334437693307
Africa,,2000,252.01561530815655
Africa,,2001,264.7603040072034
Africa,,2002,271.7127405660578
Africa,,2003,259.53835888751826
Africa,,2004,268.36486364972495
Africa,,2005,266.73644113689744
Africa,,2006,271.43981289710183
Africa,,2007,271.96551135277474
Africa,,2008,271.2163967285121
Africa,,2009,272.71222078775736
Africa,,2010,287.9543117750149
Africa,,2011,289.5657062669999
Africa,,2012,285.0024581804715
Africa,,2013,296.2891832724098
Africa,,2014,311.11443091334286
Africa,,2015,311.1190347881951
Africa,,2016,303.8922072390604
Africa,,2017,320.37875967159425
Africa,,2018,339.72738878044385
Algeria,DZA,1965,82.4691259660585
Algeria,DZA,1966,73.90994342400992
Algeria,DZA,1967,80.59962335216574
Algeria,DZA,1968,107.2438524590164
Algeria,DZA,1969,67.81823353719243
Algeria,DZA,1970,106.12927756653993
Algeria,DZA,1971,57.868477676169995
Algeria,DZA,1972,85.97343974878976
Algeria,DZA,1973,126.59007001909613
Algeria,DZA,1974,81.3790327574463
Algeria,DZA,1975,51.81960500963392
Algeria,DZA,1976,59.21865855086036
Algeria,DZA,1977,40.347494739236765
Algeria,DZA,1978,37.26328582477075
Algeria,DZA,1979,41.16151866151866
Algeria,DZA,1980,35.09208198938716
Algeria,DZA,1981,48.10633575464084
Algeria,DZA,1982,61.41103994524032
Algeria,DZA,1983,29.210027485546394
Algeria,DZA,1984,55.039974269435774
Algeria,DZA,1985,75.78459357480385
Algeria,DZA,1986,28.477826030213834
Algeria,DZA,1987,55.23504230041222
Algeria,DZA,1988,19.702121166796225
Algeria,DZA,1989,23.689032395443324
Algeria,DZA,1990,13.791807010753521
Algeria,DZA,1991,29.206539264772733
Algeria,DZA,1992,19.375618296211336
Algeria,DZA,1993,33.61366936170213
Algeria,DZA,1994,15.483168136386192
Algeria,DZA,1995,17.66098970060505
Algeria,DZA,1996,12.13910875384405
Algeria,DZA,1997,6.635793809299667
Algeria,DZA,1998,18.73909432451231
Algeria,DZA,1999,17.444748205923652
Algeria,DZA,2000,4.577838425037047
Algeria,DZA,2001,5.773208246534402
Algeria,DZA,2002,4.708836764715116
Algeria,DZA,2003,21.61444403452765
Algeria,DZA,2004,20.20452450752478
Algeria,DZA,2005,44.0819243387632
Algeria,DZA,2006,17.021835807199547
Algeria,DZA,2007,17.406762294611763
Algeria,DZA,2008,21.443000272379145
Algeria,DZA,2009,25.471217686364408
Algeria,DZA,2010,13.319913317953135
Algeria,DZA,2011,28.433969728594427
Algeria,DZA,2012,29.264068384870534
Algeria,DZA,2013,8.804128939171475
Algeria,DZA,2014,17.172465871441787
Algeria,DZA,2015,14.705258827275472
Algeria,DZA,2016,21.808278818524823
Algeria,DZA,2017,36.81374766652976
Algeria,DZA,2018,45.492389746613625
Argentina,ARG,1965,143.8005415162455
Argentina,ARG,1966,143.73344002845207
Argentina,ARG,1967,144.68088834377326
Argentina,ARG,1968,168.16514157458565
Argentina,ARG,1969,148.35445190917596
Argentina,ARG,1970,172.27912884008205
Argentina,ARG,1971,170.79854337757624
Argentina,ARG,1972,165.37664366162335
Argentina,ARG,1973,316.13821202107283
Argentina,ARG,1974,519.0286319201163
Argentina,ARG,1975,528.052009089925
Argentina,ARG,1976,500.0743427831715
Argentina,ARG,1977,568.4728243816812
Argentina,ARG,1978,750.4853809866598
Argentina,ARG,1979,1017.3640876750027
