Entity,Code,Year,"Children in employment, total (% of children ages 7-14) (% of children ages 7-14)"
Afghanistan,AFG,2011,9.3
Albania,ALB,2000,36.58605
Albania,ALB,2005,22
Albania,ALB,2010,5.5
Algeria,DZA,2013,7.50076369799783
Angola,AGO,2001,30.1
Argentina,ARG,2004,12.9
Argentina,ARG,2012,5.025251
Armenia,ARM,2010,9.9
Azerbaijan,AZE,2000,9.729839
Azerbaijan,AZE,2005,5.2
Bangladesh,BGD,2003,17.5385033159
Bangladesh,BGD,2006,16.2
Bangladesh,BGD,2013,5.002084
Belarus,BLR,2005,11.7
Belarus,BLR,2012,2.3
Benin,BEN,2006,74.4
Benin,BEN,2012,24.1
Bolivia,BOL,2002,23.2
Bolivia,BOL,2005,22
Bolivia,BOL,2008,32.1
Bolivia,BOL,2009,20.2
Bolivia,BOL,2013,20.20834
Bolivia,BOL,2015,13.92
Bosnia and Herzegovina,BIH,2000,20.2
Bosnia and Herzegovina,BIH,2006,10.6
Brazil,BRA,2004,7
Brazil,BRA,2007,6.1
Brazil,BRA,2008,5.2
Brazil,BRA,2009,5
Brazil,BRA,2011,4.2
Brazil,BRA,2013,3.215266
Brazil,BRA,2014,3.53264903343174
Brazil,BRA,2015,2.54
Burkina Faso,BFA,2003,50
Burkina Faso,BFA,2006,42.1
Burkina Faso,BFA,2010,50.3
Burundi,BDI,2000,36.96453
Burundi,BDI,2005,11.7
Burundi,BDI,2010,31.9
Cambodia,KHM,2001,52.3
Cambodia,KHM,2004,48.9
Cambodia,KHM,2009,34.5
Cambodia,KHM,2012,11.5
Cameroon,CMR,2001,15.9114
Cameroon,CMR,2007,43.4
Cameroon,CMR,2011,62
Central African Republic,CAF,2000,67
Central African Republic,CAF,2010,37.2
Chad,TCD,2004,60.4
Chad,TCD,2010,33.1
Chad,TCD,2015,55.8956202521172
Chile,CHL,2003,4.1
Chile,CHL,2012,4.5
Colombia,COL,2005,4
Colombia,COL,2007,3.9
Colombia,COL,2009,6.44
Colombia,COL,2012,7.2
Colombia,COL,2014,6.619165
Colombia,COL,2015,5.56
Congo,COG,2005,30.06
Congo,COG,2012,31.5
Costa Rica,CRI,2004,5.7
Costa Rica,CRI,2011,2.5
Costa Rica,CRI,2016,1.31
Cote d'Ivoire,CIV,2000,40.7
Cote d'Ivoire,CIV,2006,45.7
Cote d'Ivoire,CIV,2012,36.5
Democratic Republic of Congo,COD,2000,39.8
Democratic Republic of Congo,COD,2007,30.5
Democratic Republic of Congo,COD,2010,20.5
Democratic Republic of Congo,COD,2014,41.3914285397468
Dominican Republic,DOM,2002,3.5
Dominican Republic,DOM,2005,5.8
Dominican Republic,DOM,2009,14.05843
Dominican Republic,DOM,2012,2.684442
Dominican Republic,DOM,2014,13.1965934572113
Ecuador,ECU,2004,12
Ecuador,ECU,2006,14.3
Ecuador,ECU,2009,6.3
Ecuador,ECU,2011,3.2
Ecuador,ECU,2015,5.562005
Egypt,EGY,2005,7.9
Egypt,EGY,2009,2.9
El Salvador,SLV,2003,12.6609317489
El Salvador,SLV,2007,7.1
El Salvador,SLV,2009,7.4
El Salvador,SLV,2011,7.442466
El Salvador,SLV,2012,7
El Salvador,SLV,2013,7.800059
Ethiopia,ETH,2005,56
Ethiopia,ETH,2011,26.1
Gabon,GAB,2012,24
Gambia,GMB,2000,25.31456
Gambia,GMB,2005,43.5
Gambia,GMB,2008,35.9
Gambia,GMB,2015,23.75
Georgia,GEO,2006,31.8
Ghana,GHA,2003,6
Ghana,GHA,2006,48.9
Ghana,GHA,2012,28.76078
Guatemala,GTM,2003,21.1
Guatemala,GTM,2004,16.8
Guatemala,GTM,2006,18.2
Guatemala,GTM,2012,19.2
Guatemala,GTM,2014,10.60697
Guatemala,GTM,2015,7.24264041647346
Guinea,GIN,1994,48.3
Guinea,GIN,2010,44.9
Guinea,GIN,2012,38.1
Guinea-Bissau,GNB,2000,67.5
Guinea-Bissau,GNB,2006,50.5
Guinea-Bissau,GNB,2014,63.9161787836337
Haiti,HTI,2006,33.4
Haiti,HTI,2012,37.8
Honduras,HND,2004,6.8
Honduras,HND,2007,8.7
Honduras,HND,2011,7.8
Honduras,HND,2013,9.2
Honduras,HND,2014,10.50187
India,IND,2000,5.2
India,IND,2005,4.2
India,IND,2006,15.3
India,IND,2010,2.5
India,IND,2012,1.7
Indonesia,IDN,2000,8.934132
Indonesia,IDN,2009,6.6
Indonesia,IDN,2010,3.7
Iraq,IRQ,2000,13.65009
Iraq,IRQ,2006,14.7
Iraq,IRQ,2011,6.4
Jamaica,JAM,2002,1.1
Jamaica,JAM,2005,9.8
Jamaica,JAM,2011,6.2
Jordan,JOR,2007,1
Jordan,JOR,2016,1.23
Kazakhstan,KAZ,1996,29.7
Kazakhstan,KAZ,2006,3.6
Kenya,KEN,1999,6.7
Kenya,KEN,2000,37.7
Kenya,KEN,2009,34.4388861650453
Kyrgyzstan,KGZ,1998,8.6
Kyrgyzstan,KGZ,2006,5.2
Kyrgyzstan,KGZ,2007,36.6
Kyrgyzstan,KGZ,2014,41.0805541132616
Laos,LAO,2006,18.6
Laos,LAO,2010,8.6
Lesotho,LSO,2000,30.8481
Lesotho,LSO,2002,2.6
Liberia,LBR,2007,37.4
Liberia,LBR,2010,18.4
Macedonia,MKD,2006,11.8
Macedonia,MKD,2011,19.8
Madagascar,MDG,2001,25.63487
Madagascar,MDG,2007,26
Malawi,MWI,2004,42.6
Malawi,MWI,2006,40.3
Malawi,MWI,2011,25.1
Malawi,MWI,2014,47.57831
Malawi,MWI,2015,48.9
Mali,MLI,2005,52.3
Mali,MLI,2006,49.5
Mali,MLI,2007,23
Mali,MLI,2013,29.7
Mauritania,MRT,2007,21.3
Mauritania,MRT,2011,14.52555
Mexico,MEX,2004,8.9
Mexico,MEX,2007,8.3
Mexico,MEX,2009,12.2
Mexico,MEX,2010,8
Mexico,MEX,2011,6.8
Mexico,MEX,2013,5.606943
Moldova,MDA,2000,33.5
Moldova,MDA,2009,29
Mongolia,MNG,2000,22.02146
Mongolia,MNG,2005,12.4
Mongolia,MNG,2007,10.1
Mongolia,MNG,2012,16
Mongolia,MNG,2013,14.699067382827
Morocco,MAR,1999,13.2
Morocco,MAR,2004,4.5
Mozambique,MOZ,1996,1.8
Mozambique,MOZ,2008,27.4
Namibia,NAM,1999,15.4382866349112
Nepal,NPL,1999,47.2
Nepal,NPL,2008,40.6
Nepal,NPL,2014,42.8274929134937
Nicaragua,NIC,2001,12.1306786605
Nicaragua,NIC,2005,10.1
Nicaragua,NIC,2010,31.1
Nicaragua,NIC,2012,47.74977
Niger,NER,2007,47.1
Niger,NER,2009,55.1
Niger,NER,2012,48.5
Nigeria,NGA,2007,40.7
Nigeria,NGA,2010,21.2
Nigeria,NGA,2011,35.06192
Pakistan,PAK,2008,15.9
Pakistan,PAK,2011,13
Panama,PAN,2003,5.1
Panama,PAN,2008,8.9
Panama,PAN,2010,5.4
Panama,PAN,2012,4.5
Panama,PAN,2014,5.620417
Paraguay,PRY,2005,15.3
Paraguay,PRY,2014,10.42105
Peru,PER,2000,24.1
Peru,PER,2007,42.2
Peru,PER,2011,20.7
Peru,PER,2014,26.10942
Peru,PER,2015,22.5665722356755
Philippines,PHL,2001,13.25641
Philippines,PHL,2011,9
Portugal,PRT,2001,3.63655415626555
Romania,ROU,2000,1.4
Rwanda,RWA,2000,33.1
Rwanda,RWA,2008,7.5
Rwanda,RWA,2010,19.1
Rwanda,RWA,2011,5.000835
Rwanda,RWA,2014,5.9
Senegal,SEN,2005,18.5
Senegal,SEN,2011,13.1
Senegal,SEN,2015,25.1388709166593
Serbia,SRB,2005,6.9
Serbia,SRB,2014,17.9379
Sierra Leone,SLE,2000,65
Sierra Leone,SLE,2005,62.7
Sierra Leone,SLE,2007,14.9
Sierra Leone,SLE,2008,53.7
Sierra Leone,SLE,2010,39.9
Sierra Leone,SLE,2013,59.2
Somalia,SOM,2006,43.5
South Africa,ZAF,1999,27.7
South Sudan,SSD,2008,45.6
Sri Lanka,LKA,1999,17
Sri Lanka,LKA,2009,10.7
Sudan,SDN,2000,19.13425
Sudan,SDN,2008,12.5
Sudan,SDN,2014,30.5550319917431
Swaziland,SWZ,2000,11.2
Swaziland,SWZ,2010,13.3
Syrian Arab Republic,,2006,6.6
Tajikistan,TJK,1999,7.3
Tajikistan,TJK,2005,8.9
Tanzania,TZA,2001,40.3521593213
Tanzania,TZA,2006,31.1
Tanzania,TZA,2011,29.4
Tanzania,TZA,2014,34.73484
Thailand,THA,2005,15.1
Thailand,THA,2006,15.1
Timor,TLS,2001,7.6
Timor,TLS,2007,19.9
Togo,TGO,2006,38.68966
Togo,TGO,2010,48.8
Togo,TGO,2014,35.2259002149569
Trinidad and Tobago,TTO,2000,3.9
Trinidad and Tobago,TTO,2006,3.4
Tunisia,TUN,2012,3.4
Turkey,TUR,1999,4.5413489551
Turkey,TUR,2006,2.6
Uganda,UGA,2006,38.17033
Uganda,UGA,2012,36.7
Ukraine,UKR,2005,17.3
Ukraine,UKR,2012,5
Uruguay,URY,2009,7.3
Uzbekistan,UZB,2000,18.09417
Uzbekistan,UZB,2005,5.1
Uzbekistan,UZB,2006,5.1
Venezuela,VEN,2003,9.1
Venezuela,VEN,2005,5.4
Venezuela,VEN,2006,5.1
Venezuela,VEN,2013,3.910936
Vietnam,VNM,2006,21.3
Vietnam,VNM,2011,13
Vietnam,VNM,2012,10.9
Yemen,YEM,1999,13.14997
Yemen,YEM,2006,18.3
Yemen,YEM,2010,16.1
Zambia,ZMB,2005,47.86269
Zambia,ZMB,2008,34.4
Zimbabwe,ZWE,1999,14.3
