Entity,Code,Year,General government procurement (% government expenditures) (% of government spending)
Australia,AUS,2007,35.2
Australia,AUS,2008,34.3
Australia,AUS,2009,35.74
Australia,AUS,2010,35.6
Australia,AUS,2011,35.33
Australia,AUS,2012,34.92
Australia,AUS,2013,34.61
Australia,AUS,2014,35.15
Australia,AUS,2015,35.36
Austria,AUT,2007,25.17
Austria,AUT,2008,26.07
Austria,AUT,2009,25.55
Austria,AUT,2010,25.83
Austria,AUT,2011,25.95
Austria,AUT,2012,25.59
Austria,AUT,2013,26.19
Austria,AUT,2014,25.28
Austria,AUT,2015,26.14
Austria,AUT,2016,26.69
Belgium,BEL,2007,25.62
Belgium,BEL,2008,26.07
Belgium,BEL,2009,26.39
Belgium,BEL,2010,26.34
Belgium,BEL,2011,26.42
Belgium,BEL,2012,26.26
Belgium,BEL,2013,26.23
Belgium,BEL,2014,26.43
Belgium,BEL,2015,26.79
Belgium,BEL,2016,26.79
Canada,CAN,2007,32.38
Canada,CAN,2008,32.52
Canada,CAN,2009,33.22
Canada,CAN,2010,33.7
Canada,CAN,2011,33.22
Canada,CAN,2012,33.09
Canada,CAN,2013,32.53
Canada,CAN,2014,32.39
Canada,CAN,2015,32.71
Canada,CAN,2016,32.31
Colombia,COL,2007,33.86
Colombia,COL,2008,32.83
Colombia,COL,2009,35.57
Colombia,COL,2010,34.93
Colombia,COL,2011,35.9
Colombia,COL,2012,35.94
Colombia,COL,2013,36.52
Colombia,COL,2014,35.52
Colombia,COL,2015,35.67
Costa Rica,CRI,2007,15.29
Costa Rica,CRI,2008,15.16
Costa Rica,CRI,2009,18.22
Costa Rica,CRI,2010,14.1
Costa Rica,CRI,2011,14.57
Costa Rica,CRI,2012,18.45
Costa Rica,CRI,2013,18.54
Costa Rica,CRI,2014,19.08
Czech Republic,CZE,2007,37.5
Czech Republic,CZE,2008,38.45
Czech Republic,CZE,2009,38.98
Czech Republic,CZE,2010,37.45
Czech Republic,CZE,2011,33.75
Czech Republic,CZE,2012,30.92
Czech Republic,CZE,2013,31.81
Czech Republic,CZE,2014,32.47
Czech Republic,CZE,2015,34.51
Czech Republic,CZE,2016,31.75
Denmark,DNK,2007,25.41
Denmark,DNK,2008,26.07
Denmark,DNK,2009,25.61
Denmark,DNK,2010,25.38
Denmark,DNK,2011,25.08
Denmark,DNK,2012,25.48
Denmark,DNK,2013,25.83
Denmark,DNK,2014,26.22
Denmark,DNK,2015,25.83
Denmark,DNK,2016,26.55
Estonia,EST,2007,38.46
Estonia,EST,2008,35.87
Estonia,EST,2009,32.61
Estonia,EST,2010,33.37
Estonia,EST,2011,35.19
Estonia,EST,2012,37.25
Estonia,EST,2013,36.15
Estonia,EST,2014,35.36
Estonia,EST,2015,34.84
Estonia,EST,2016,33.92
Finland,FIN,2007,30.78
Finland,FIN,2008,31.61
Finland,FIN,2009,31.59
Finland,FIN,2010,31.4
Finland,FIN,2011,31.71
Finland,FIN,2012,31.9
Finland,FIN,2013,31.96
Finland,FIN,2014,31.72
Finland,FIN,2015,30.79
Finland,FIN,2016,31.55
France,FRA,2007,26.7
France,FRA,2008,26.45
France,FRA,2009,26.68
France,FRA,2010,26.7
France,FRA,2011,26.43
France,FRA,2012,26.43
France,FRA,2013,26.43
France,FRA,2014,25.88
France,FRA,2015,25.56
France,FRA,2016,25.59
Germany,DEU,2007,30.18
Germany,DEU,2008,30.77
Germany,DEU,2009,31.45
Germany,DEU,2010,31.32
Germany,DEU,2011,32.71
Germany,DEU,2012,33.03
Germany,DEU,2013,33.31
Germany,DEU,2014,33.56
Germany,DEU,2015,34.21
Germany,DEU,2016,35.06
Greece,GRC,2007,30.17
Greece,GRC,2008,28.88
Greece,GRC,2009,28.67
Greece,GRC,2010,24.79
Greece,GRC,2011,19.92
Greece,GRC,2012,18.96
Greece,GRC,2013,17.03
Greece,GRC,2014,21.13
Greece,GRC,2015,20.47
Greece,GRC,2016,20.91
Hungary,HUN,2007,26.71
Hungary,HUN,2008,26.4
Hungary,HUN,2009,27.35
Hungary,HUN,2010,27.95
Hungary,HUN,2011,26.56
Hungary,HUN,2012,27.3
Hungary,HUN,2013,28.19
Hungary,HUN,2014,30.42
Hungary,HUN,2015,32.01
Hungary,HUN,2016,25.55
Iceland,ISL,2007,37.19
Iceland,ISL,2008,29.09
Iceland,ISL,2009,33.17
Iceland,ISL,2010,31.4
Iceland,ISL,2011,32.49
Iceland,ISL,2012,32.4
Iceland,ISL,2013,33.37
Iceland,ISL,2014,32.17
Iceland,ISL,2015,32.19
Iceland,ISL,2016,32.29
Ireland,IRL,2007,32.42
Ireland,IRL,2008,30.94
Ireland,IRL,2009,26.06
Ireland,IRL,2010,18.05
Ireland,IRL,2011,22.52
Ireland,IRL,2012,23.16
Ireland,IRL,2013,23.35
Ireland,IRL,2014,24.99
Ireland,IRL,2015,24.7
Ireland,IRL,2016,26.73
Israel,ISR,2007,34.01
Israel,ISR,2008,34.28
Israel,ISR,2009,33.48
Israel,ISR,2010,34.26
Israel,ISR,2011,34.66
Israel,ISR,2012,34.69
Israel,ISR,2013,34.98
Israel,ISR,2014,35.56
Israel,ISR,2015,35.89
Italy,ITA,2007,22.25
Italy,ITA,2008,22.36
Italy,ITA,2009,23.04
Italy,ITA,2010,22.54
Italy,ITA,2011,21.9
Italy,ITA,2012,20.98
Italy,ITA,2013,20.96
Italy,ITA,2014,20.58
Italy,ITA,2015,20.54
Italy,ITA,2016,20.57
Japan,JPN,2007,39.1
Japan,JPN,2008,38.62
Japan,JPN,2009,37.75
Japan,JPN,2010,38.93
Japan,JPN,2011,38.92
Japan,JPN,2012,39.5
Japan,JPN,2013,40.41
Japan,JPN,2014,41.06
Japan,JPN,2015,41.2
Latvia,LVA,2007,35.52
Latvia,LVA,2008,32.48
Latvia,LVA,2009,27.43
Latvia,LVA,2010,27.51
Latvia,LVA,2011,32.58
Latvia,LVA,2012,32.36
Latvia,LVA,2013,31.9
Latvia,LVA,2014,31.11
Latvia,LVA,2015,32.46
Latvia,LVA,2016,29
Lithuania,LTU,2007,34.32
Lithuania,LTU,2008,33.27
Lithuania,LTU,2009,26.87
Lithuania,LTU,2010,31.09
Lithuania,LTU,2011,27.73
Lithuania,LTU,2012,29.51
Lithuania,LTU,2013,28.61
Lithuania,LTU,2014,28.96
Lithuania,LTU,2015,30.38
Lithuania,LTU,2016,28.31
Luxembourg,LUX,2007,29.5
Luxembourg,LUX,2008,29.32
Luxembourg,LUX,2009,29.8
Luxembourg,LUX,2010,30.43
Luxembourg,LUX,2011,29.27
Luxembourg,LUX,2012,28.84
Luxembourg,LUX,2013,28.22
Luxembourg,LUX,2014,28.67
Luxembourg,LUX,2015,28.99
Luxembourg,LUX,2016,28.78
Mexico,MEX,2007,21.91
Mexico,MEX,2008,21.2
Mexico,MEX,2009,25.96
Mexico,MEX,2010,24.5
Mexico,MEX,2011,23.72
Mexico,MEX,2012,21.73
Mexico,MEX,2013,21.84
Mexico,MEX,2014,22.1
Mexico,MEX,2015,20.97
Netherlands,NLD,2007,44.72
Netherlands,NLD,2008,44.91
Netherlands,NLD,2009,44.91
Netherlands,NLD,2010,44.4
Netherlands,NLD,2011,44.61
Netherlands,NLD,2012,44.37
Netherlands,NLD,2013,44.33
Netherlands,NLD,2014,44.04
Netherlands,NLD,2015,44.51
Netherlands,NLD,2016,44.77
New Zealand,NZL,2007,37.29
New Zealand,NZL,2008,37.47
New Zealand,NZL,2009,37.11
New Zealand,NZL,2010,31.8
New Zealand,NZL,2011,33.57
New Zealand,NZL,2012,34.62
New Zealand,NZL,2013,35.88
New Zealand,NZL,2014,37
New Zealand,NZL,2015,37.21
Norway,NOR,2007,27.02
Norway,NOR,2008,27.49
Norway,NOR,2009,28.41
Norway,NOR,2010,28.02
Norway,NOR,2011,27.79
Norway,NOR,2012,27.34
Norway,NOR,2013,28.01
Norway,NOR,2014,28.27
Norway,NOR,2015,28.39
Norway,NOR,2016,28.83
OECD - Average,,2007,31.14
OECD - Average,,2008,30.79
OECD - Average,,2009,30.77
OECD - Average,,2010,30.22
OECD - Average,,2011,30.03
OECD - Average,,2012,29.62
OECD - Average,,2013,29.47
OECD - Average,,2014,29.91
OECD - Average,,2015,30.26
OECD - Total,,2007,30.3
OECD - Total,,2008,30.2
OECD - Total,,2009,30.09
OECD - Total,,2010,29.82
OECD - Total,,2011,29.52
OECD - Total,,2012,29.12
OECD - Total,,2013,29.04
OECD - Total,,2014,28.99
OECD - Total,,2015,29.06
Poland,POL,2007,28.82
Poland,POL,2008,29.44
Poland,POL,2009,28.93
Poland,POL,2010,30.43
Poland,POL,2011,30.72
Poland,POL,2012,29.05
Poland,POL,2013,27.93
Poland,POL,2014,29.11
Poland,POL,2015,29.28
Poland,POL,2016,26.58
Portugal,PRT,2007,23.99
Portugal,PRT,2008,25.17
Portugal,PRT,2009,25.18
Portugal,PRT,2010,25.72
Portugal,PRT,2011,22.89
Portugal,PRT,2012,21.05
Portugal,PRT,2013,19.5
Portugal,PRT,2014,18.5
Portugal,PRT,2015,20.33
Portugal,PRT,2016,19.99
Russia,RUS,2011,33
Russia,RUS,2012,30.91
Russia,RUS,2013,27.88
Russia,RUS,2014,24.05
Slovakia,SVK,2007,34.92
Slovakia,SVK,2008,34.71
Slovakia,SVK,2009,34.26
Slovakia,SVK,2010,34.39
Slovakia,SVK,2011,34.93
Slovakia,SVK,2012,33.66
Slovakia,SVK,2013,33.29
Slovakia,SVK,2014,34.85
Slovakia,SVK,2015,37.93
Slovakia,SVK,2016,33.49
Slovenia,SVN,2007,28.36
Slovenia,SVN,2008,28.75
Slovenia,SVN,2009,28.43
Slovenia,SVN,2010,28.19
Slovenia,SVN,2011,26.71
Slovenia,SVN,2012,26.9
Slovenia,SVN,2013,22.13
Slovenia,SVN,2014,27.43
Slovenia,SVN,2015,27.8
Slovenia,SVN,2016,25.49
South Korea,KOR,2007,41.49
South Korea,KOR,2008,40.54
South Korea,KOR,2009,41.78
South Korea,KOR,2010,42.5
South Korea,KOR,2011,40.01
South Korea,KOR,2012,39.22
South Korea,KOR,2013,40.29
South Korea,KOR,2014,39.04
South Korea,KOR,2015,38.73
Spain,ESP,2007,30.98
Spain,ESP,2008,30.39
Spain,ESP,2009,29.94
Spain,ESP,2010,29.06
Spain,ESP,2011,26.81
Spain,ESP,2012,22.6
Spain,ESP,2013,22.67
Spain,ESP,2014,22.57
Spain,ESP,2015,23.9
Spain,ESP,2016,22.53
Sweden,SWE,2007,29.12
Sweden,SWE,2008,29.91
Sweden,SWE,2009,30.74
Sweden,SWE,2010,31.46
Sweden,SWE,2011,31.78
Sweden,SWE,2012,31.64
Sweden,SWE,2013,31.45
Sweden,SWE,2014,31.74
Sweden,SWE,2015,31.88
Sweden,SWE,2016,32.5
Switzerland,CHE,2007,24.77
Switzerland,CHE,2008,25.43
Switzerland,CHE,2009,25.22
Switzerland,CHE,2010,25.25
Switzerland,CHE,2011,25.31
Switzerland,CHE,2012,25.49
Switzerland,CHE,2013,25.06
Switzerland,CHE,2014,25.38
Switzerland,CHE,2015,25.85
Turkey,TUR,2009,30.46
Turkey,TUR,2010,30.51
Turkey,TUR,2011,29.8
Turkey,TUR,2012,30.59
Turkey,TUR,2013,32.65
Turkey,TUR,2014,31.52
Turkey,TUR,2015,32.76
United Kingdom,GBR,2007,31.4
United Kingdom,GBR,2008,31.63
United Kingdom,GBR,2009,32.64
United Kingdom,GBR,2010,31.4
United Kingdom,GBR,2011,30.99
United Kingdom,GBR,2012,30.33
United Kingdom,GBR,2013,31.18
United Kingdom,GBR,2014,32.04
United Kingdom,GBR,2015,31.96
United Kingdom,GBR,2016,31.73
United States,USA,2007,28.65
United States,USA,2008,28.56
United States,USA,2009,27.46
United States,USA,2010,27.08
United States,USA,2011,26.63
United States,USA,2012,26.33
United States,USA,2013,25.48
United States,USA,2014,24.95
United States,USA,2015,24.76
