Entity,Code,Year,Pump price for gasoline (US$ per liter) (US$ per liter)
Afghanistan,AFG,2002,0.34
Afghanistan,AFG,2004,0.53
Afghanistan,AFG,2006,0.68
Afghanistan,AFG,2008,1.05
Afghanistan,AFG,2010,1.15
Afghanistan,AFG,2012,1.28
Afghanistan,AFG,2014,1.07
Afghanistan,AFG,2016,0.7
Albania,ALB,1998,0.86
Albania,ALB,2000,0.57
Albania,ALB,2002,0.8
Albania,ALB,2004,1.23
Albania,ALB,2006,1.44
Albania,ALB,2008,1.36
Albania,ALB,2010,1.46
Albania,ALB,2012,1.81
Albania,ALB,2014,1.76
Albania,ALB,2016,1.36
Algeria,DZA,1991,0.15
Algeria,DZA,1992,0.2
Algeria,DZA,1995,0.4
Algeria,DZA,1998,0.31
Algeria,DZA,2000,0.27
Algeria,DZA,2002,0.22
Algeria,DZA,2004,0.32
Algeria,DZA,2006,0.32
Algeria,DZA,2008,0.34
Algeria,DZA,2010,0.32
Algeria,DZA,2012,0.29
Algeria,DZA,2014,0.27
Algeria,DZA,2016,0.28
Andorra,AND,2008,1.24
Andorra,AND,2010,1.49
Andorra,AND,2012,1.67
Andorra,AND,2014,1.51
Angola,AGO,1998,0.38
Angola,AGO,2000,0.3
Angola,AGO,2002,0.19
Angola,AGO,2004,0.39
Angola,AGO,2006,0.5
Angola,AGO,2008,0.53
Angola,AGO,2010,0.65
Angola,AGO,2012,0.63
Angola,AGO,2014,0.76
Angola,AGO,2016,0.97
Antigua and Barbuda,ATG,2000,0.56
Antigua and Barbuda,ATG,2004,0.68
Antigua and Barbuda,ATG,2006,0.97
Antigua and Barbuda,ATG,2008,1.11
Antigua and Barbuda,ATG,2010,0.99
Arab World,,1998,0.31
Arab World,,2000,0.28
Arab World,,2002,0.295
Arab World,,2004,0.32
Arab World,,2006,0.37
Arab World,,2008,0.49
Arab World,,2010,0.55
Arab World,,2012,0.58
Arab World,,2014,0.825
Arab World,,2016,0.67
Argentina,ARG,1992,0.79
Argentina,ARG,1995,0.6
Argentina,ARG,1998,0.94
Argentina,ARG,2000,1.07
Argentina,ARG,2002,0.63
Argentina,ARG,2004,0.63
Argentina,ARG,2006,0.62
Argentina,ARG,2008,0.78
Argentina,ARG,2010,0.96
Argentina,ARG,2012,1.46
Argentina,ARG,2014,1.52
Argentina,ARG,2016,1.1
Armenia,ARM,1998,0.49
Armenia,ARM,2000,0.55
Armenia,ARM,2002,0.42
Armenia,ARM,2004,0.68
Armenia,ARM,2006,0.96
Armenia,ARM,2008,1.08
Armenia,ARM,2010,1.08
Armenia,ARM,2012,1.25
Armenia,ARM,2014,1.3
Armenia,ARM,2016,0.77
Australia,AUS,1998,0.46
Australia,AUS,2000,0.57
Australia,AUS,2002,0.5
Australia,AUS,2004,0.85
Australia,AUS,2006,0.93
Australia,AUS,2008,0.74
Australia,AUS,2010,1.27
Australia,AUS,2012,1.39
Australia,AUS,2014,1.23
Australia,AUS,2016,0.93
Austria,AUT,1995,1.15
Austria,AUT,1998,1.04
Austria,AUT,2000,0.82
Austria,AUT,2002,0.84
Austria,AUT,2004,1.32
Austria,AUT,2006,1.32
Austria,AUT,2008,1.37
Austria,AUT,2010,1.63
Austria,AUT,2012,1.81
Austria,AUT,2014,1.6
Austria,AUT,2016,1.2
Azerbaijan,AZE,1998,0.46
Azerbaijan,AZE,2000,0.39
Azerbaijan,AZE,2002,0.37
Azerbaijan,AZE,2004,0.41
Azerbaijan,AZE,2006,0.46
Azerbaijan,AZE,2008,0.74
Azerbaijan,AZE,2010,0.75
Azerbaijan,AZE,2012,0.76
Azerbaijan,AZE,2014,1.21
Azerbaijan,AZE,2016,0.56
Bahamas,BHS,2014,1.05
Bahamas,BHS,2016,0.92
Bahrain,BHR,1998,0.26
Bahrain,BHR,2000,0.27
Bahrain,BHR,2002,0.27
Bahrain,BHR,2004,0.27
Bahrain,BHR,2006,0.21
Bahrain,BHR,2008,0.21
Bahrain,BHR,2010,0.21
Bahrain,BHR,2012,0.27
Bahrain,BHR,2016,0.43
Bangladesh,BGD,1995,0.36
Bangladesh,BGD,1998,0.47
Bangladesh,BGD,2000,0.46
Bangladesh,BGD,2002,0.52
Bangladesh,BGD,2004,0.59
Bangladesh,BGD,2006,0.79
Bangladesh,BGD,2008,1.17
Bangladesh,BGD,2010,1.09
Bangladesh,BGD,2012,1.15
Bangladesh,BGD,2014,1.3
Bangladesh,BGD,2016,1.12
Barbados,BRB,1998,0.72
Barbados,BRB,2000,0.95
Barbados,BRB,2002,0.66
Barbados,BRB,2004,0.82
Barbados,BRB,2006,1.11
Barbados,BRB,2008,1
Barbados,BRB,2010,1.25
Barbados,BRB,2014,1.81
Belarus,BLR,1998,0.34
Belarus,BLR,2000,0.55
Belarus,BLR,2002,0.5
Belarus,BLR,2004,0.62
Belarus,BLR,2006,0.79
Belarus,BLR,2008,1.33
Belarus,BLR,2010,1.08
Belarus,BLR,2012,0.88
Belarus,BLR,2014,1.06
Belarus,BLR,2016,0.6
Belgium,BEL,1995,1.18
Belgium,BEL,1998,1.12
Belgium,BEL,2000,0.96
Belgium,BEL,2002,1.04
Belgium,BEL,2004,1.5
Belgium,BEL,2006,1.63
Belgium,BEL,2008,1.5
Belgium,BEL,2010,1.87
Belgium,BEL,2012,2.09
Belgium,BEL,2014,1.9
Belgium,BEL,2016,1.43
Belize,BLZ,2004,1.2
Belize,BLZ,2006,1.27
Belize,BLZ,2008,0.7
Belize,BLZ,2010,1.13
Belize,BLZ,2012,1.44
Belize,BLZ,2014,1.37
Belize,BLZ,2016,1.13
Benin,BEN,1991,0.63
Benin,BEN,1992,0.62
Benin,BEN,1995,0.36
Benin,BEN,1998,0.39
Benin,BEN,2000,0.48
Benin,BEN,2002,0.54
Benin,BEN,2004,0.77
Benin,BEN,2006,0.81
Benin,BEN,2008,1.03
Benin,BEN,2010,1.04
Benin,BEN,2012,1.24
Benin,BEN,2014,1.03
Benin,BEN,2016,0.72
Bhutan,BTN,1998,0.59
Bhutan,BTN,2000,0.58
Bhutan,BTN,2004,0.78
Bhutan,BTN,2008,0.91
Bhutan,BTN,2010,1.08
Bhutan,BTN,2012,1.19
Bhutan,BTN,2014,1.04
Bhutan,BTN,2016,0.98
Bolivia,BOL,1992,0.43
Bolivia,BOL,1995,0.38
Bolivia,BOL,1998,0.53
Bolivia,BOL,2000,0.8
Bolivia,BOL,2002,0.69
Bolivia,BOL,2004,0.54
Bolivia,BOL,2006,0.54
Bolivia,BOL,2008,0.68
Bolivia,BOL,2010,0.7
Bolivia,BOL,2012,0.7
Bolivia,BOL,2014,0.7
Bolivia,BOL,2016,0.71
Bosnia and Herzegovina,BIH,1998,0.66
Bosnia and Herzegovina,BIH,2000,0.68
Bosnia and Herzegovina,BIH,2002,0.74
Bosnia and Herzegovina,BIH,2004,0.97
Bosnia and Herzegovina,BIH,2006,1.34
Bosnia and Herzegovina,BIH,2008,1.13
Bosnia and Herzegovina,BIH,2010,1.42
Bosnia and Herzegovina,BIH,2012,1.59
Bosnia and Herzegovina,BIH,2014,1.51
Bosnia and Herzegovina,BIH,2016,1.05
Botswana,BWA,1991,0.68
Botswana,BWA,1992,0.41
Botswana,BWA,1995,0.38
Botswana,BWA,1998,0.31
Botswana,BWA,2000,0.42
Botswana,BWA,2002,0.41
Botswana,BWA,2004,0.66
Botswana,BWA,2006,0.78
Botswana,BWA,2008,0.88
Botswana,BWA,2010,0.93
Botswana,BWA,2012,1.23
Botswana,BWA,2014,1.06
Botswana,BWA,2016,0.71
Brazil,BRA,1992,0.53
Brazil,BRA,1995,0.63
Brazil,BRA,1998,0.8
