Entity,Code,Year,Suite of Food Security Indicators - Prevalence of severe food insecurity in the total population (percent) (annual value) - 210400 - Value - 6121 - % (%)
Africa,,2014,18.1
Africa,,2015,19
Africa,,2016,21.9
Africa,,2017,22.9
Africa,,2018,21.5
Asia,,2014,7
Asia,,2015,6.3
Asia,,2016,5.9
Asia,,2017,6.4
Asia,,2018,7.8
"Asia, Central",,2014,2
"Asia, Central",,2015,1.8
"Asia, Central",,2016,2.8
"Asia, Central",,2017,3.6
"Asia, Central",,2018,3.2
Australia & New Zealand,,2014,2.4
Australia & New Zealand,,2015,2.4
Australia & New Zealand,,2016,3.2
Australia & New Zealand,,2017,4
Australia & New Zealand,,2018,3.6
Central America,,2014,12.9
Central America,,2015,10.3
Central America,,2016,8.5
Central America,,2017,12.7
Central America,,2018,10.6
Central and Southern Asia,,2014,13.3
Central and Southern Asia,,2015,12
Central and Southern Asia,,2016,10.3
Central and Southern Asia,,2017,10.7
Central and Southern Asia,,2018,14
East Asia (exc China),,2014,0.6
East Asia (exc China),,2017,0.7
East Asia (exc China),,2018,0.7
Eastern Africa,,2014,23.9
Eastern Africa,,2015,25.1
Eastern Africa,,2016,27.8
Eastern Africa,,2017,28.7
Eastern Africa,,2018,25.9
Eastern Asia,,2014,0.5
Eastern Asia,,2016,0.9
Eastern Asia,,2017,1
Eastern Asia,,2018,1.1
Eastern Europe,,2014,1.2
Eastern Europe,,2015,1.2
Eastern Europe,,2016,1.2
Eastern Europe,,2017,0.8
Eastern Europe,,2018,0.9
Eastern and South-Eastern Asia,,2014,1.6
Eastern and South-Eastern Asia,,2015,1.3
Eastern and South-Eastern Asia,,2016,1.9
Eastern and South-Eastern Asia,,2017,2.4
Eastern and South-Eastern Asia,,2018,2.3
Europe,,2014,1.7
Europe,,2015,1.7
Europe,,2016,1.3
Europe,,2017,1.3
Europe,,2018,1
Europe and Northern America,,2014,1.5
Europe and Northern America,,2015,1.5
Europe and Northern America,,2016,1.2
Europe and Northern America,,2017,1.2
Europe and Northern America,,2018,1
"Europe, Western",,2014,1.5
"Europe, Western",,2015,1.4
"Europe, Western",,2016,1.1
"Europe, Western",,2017,1.1
"Europe, Western",,2018,0.9
High income,,2014,1.9
High income,,2015,1.8
High income,,2016,1.7
High income,,2017,2.1
High income,,2018,1.8
Land Locked Developing Countries,,2014,16.2
Land Locked Developing Countries,,2015,16.7
Land Locked Developing Countries,,2016,19.3
Land Locked Developing Countries,,2017,19.9
Land Locked Developing Countries,,2018,19.5
Least Developed Countries,,2014,18.8
Least Developed Countries,,2015,19.9
Least Developed Countries,,2016,22.2
Least Developed Countries,,2017,23
Least Developed Countries,,2018,22.1
Low income,,2014,20.7
Low income,,2015,22.5
Low income,,2016,25.7
Low income,,2017,26.6
Low income,,2018,25.3
Lower middle income,,2014,11.6
Lower middle income,,2015,10.6
Lower middle income,,2016,9.8
Lower middle income,,2017,10.6
Lower middle income,,2018,12.4
North Africa (exc Sudan),,2014,8.6
North Africa (exc Sudan),,2015,7.2
North Africa (exc Sudan),,2016,9.3
North Africa (exc Sudan),,2017,10.1
North Africa (exc Sudan),,2018,8
Northern Africa,,2014,8.6
Northern Africa,,2015,7.2
Northern Africa,,2016,9.3
Northern Africa,,2017,10.1
Northern Africa,,2018,8
Northern Africa and Western Asia,,2014,8.6
Northern Africa and Western Asia,,2015,8.1
Northern Africa and Western Asia,,2016,9.3
Northern Africa and Western Asia,,2017,10.2
Northern Africa and Western Asia,,2018,9
Northern America,,2014,1
Northern America,,2015,1
