Entity,Code,Year,Share of firms for which access to finance is a major constraint (in %) (%)
Angola,AGO,2018,38.4
Benin,BEN,2018,43.2
Botswana,BWA,2018,25.5
Burundi,BDI,2018,36.7
Cameroon,CMR,2018,41.1
Cape Verde,CPV,2018,36.7
Central African Republic,CAF,2018,46
Chad,TCD,2018,40.9
Congo,COG,2018,44.8
Cote d'Ivoire,CIV,2018,69.1
Democratic Republic of Congo,COD,2018,39.1
Djibouti,DJI,2018,11.8
Egypt,EGY,2018,23.4
Eritrea,ERI,2018,0.9
Ethiopia,ETH,2018,20.3
Gabon,GAB,2018,30.4
Gambia,GMB,2018,63.3
Ghana,GHA,2018,62.2
Guinea,GIN,2018,30.4
Guinea-Bissau,GNB,2018,71.6
Kenya,KEN,2018,29.1
Lesotho,LSO,2018,32.8
Liberia,LBR,2018,38.8
Madagascar,MDG,2018,12.6
Malawi,MWI,2018,34.9
Mali,MLI,2018,63.5
Mauritania,MRT,2018,52.4
Mauritius,MUS,2018,46.3
Morocco,MAR,2018,27.7
Mozambique,MOZ,2018,17.3
Namibia,NAM,2018,37.2
Niger,NER,2018,27.4
Nigeria,NGA,2018,33.1
Rwanda,RWA,2018,35.1
Senegal,SEN,2018,51.6
Sierra Leone,SLE,2018,65.1
South Africa,ZAF,2018,15.5
South Sudan,SSD,2018,50
Sudan,SDN,2018,15.3
Swaziland,SWZ,2018,10
Tanzania,TZA,2018,43.9
Togo,TGO,2018,51.2
Tunisia,TUN,2018,23.9
Uganda,UGA,2018,19.6
Zambia,ZMB,2018,27.4
Zimbabwe,ZWE,2018,55.9
