Entity,Code,Year,Sexual violence prevalence among girls (15 to 19) (UNICEF Global Databases (2014)) (%)
Azerbaijan,AZE,2006,0.4
Bolivia,BOL,2008,5
Cambodia,KHM,2005,0.3
Cameroon,CMR,2011,22
Colombia,COL,2010,3
Comoros,COM,2012,5
Cote d'Ivoire,CIV,2012,5
Democratic Republic of Congo,COD,2007,21
Dominican Republic,DOM,2007,8
Ecuador,ECU,2004,6
El Salvador,SLV,2008,7
Equatorial Guinea,GNQ,2011,17
Gabon,GAB,2012,14
Ghana,GHA,2008,17
Guatemala,GTM,2009,3
Haiti,HTI,2012,10
Honduras,HND,2012,6
India,IND,2006,5
Jamaica,JAM,2008,11
Kazakhstan,KAZ,2011,1
Kenya,KEN,2009,11
Kyrgyzstan,KGZ,2012,0.1
Liberia,LBR,2007,13
Malawi,MWI,2010,18
Moldova,MDA,2005,7
Mozambique,MOZ,2011,9
Nepal,NPL,2011,11
Nicaragua,NIC,2007,7
Nigeria,NGA,2013,6
Paraguay,PRY,2008,2
Philippines,PHL,2008,5
Rwanda,RWA,2010,12
Sao Tome and Principe,STP,2009,9
Tajikistan,TJK,2012,1
Tanzania,TZA,2010,13
Timor,TLS,2010,2
Uganda,UGA,2011,19
Ukraine,UKR,2007,0.3
Zambia,ZMB,2007,16
Zimbabwe,ZWE,2011,18
