Entity,Code,Year,Rural poverty headcount ratio at national poverty lines (% of rural population) (% of rural population)
Afghanistan,AFG,2007,38.2
Afghanistan,AFG,2011,38.3
Albania,ALB,2002,29.6
Albania,ALB,2005,24.2
Albania,ALB,2008,14.6
Albania,ALB,2012,15.3
Algeria,DZA,2011,4.8
Angola,AGO,2008,58.3
Armenia,ARM,2001,47.9
Armenia,ARM,2008,27.5
Armenia,ARM,2009,34.9
Armenia,ARM,2010,36
Armenia,ARM,2011,34.5
Armenia,ARM,2012,32.1
Armenia,ARM,2013,31.7
Armenia,ARM,2014,29.9
Azerbaijan,AZE,2001,42.5
Bangladesh,BGD,2000,52.3
Bangladesh,BGD,2005,43.8
Bangladesh,BGD,2010,35.2
Belarus,BLR,2000,50.8
Belarus,BLR,2005,16.7
Belarus,BLR,2006,15.5
Belarus,BLR,2007,12.4
Belarus,BLR,2008,9.7
Belarus,BLR,2009,9.5
Belarus,BLR,2010,8.9
Belarus,BLR,2011,11.5
Belarus,BLR,2012,9.4
Belarus,BLR,2013,9
Belarus,BLR,2014,7.9
Belarus,BLR,2015,8.7
Benin,BEN,2006,38.8
Benin,BEN,2007,36.1
Benin,BEN,2009,38.4
Benin,BEN,2011,39.7
Bhutan,BTN,2007,30.9
Bhutan,BTN,2012,16.7
Bolivia,BOL,2000,87
Bolivia,BOL,2001,77.7
Bolivia,BOL,2002,78.8
Bolivia,BOL,2004,77.7
Bolivia,BOL,2005,77.6
Bolivia,BOL,2006,76.5
Bolivia,BOL,2007,77.3
Bolivia,BOL,2008,73.6
Bolivia,BOL,2009,66.4
Bolivia,BOL,2011,61.3
Bolivia,BOL,2012,61.2
Bolivia,BOL,2013,59.9
Bolivia,BOL,2014,57.6
Botswana,BWA,1985,68
Botswana,BWA,1993,40.4
Botswana,BWA,2002,44.8
Botswana,BWA,2009,24.3
Burkina Faso,BFA,2003,65.8
Burkina Faso,BFA,2009,52.8
Burkina Faso,BFA,2014,47.5
Burundi,BDI,2014,68.8
Cambodia,KHM,2003,54.2
Cambodia,KHM,2006,51.4
Cambodia,KHM,2008,38.5
Cambodia,KHM,2009,27.5
Cambodia,KHM,2010,25.3
Cambodia,KHM,2011,23.6
Cambodia,KHM,2012,20.8
Cameroon,CMR,1996,59.6
Cameroon,CMR,2001,52.1
Cameroon,CMR,2007,55
Cameroon,CMR,2014,56.8
Cape Verde,CPV,2007,44.3
Central African Republic,CAF,2008,69.4
Chad,TCD,2002,58.4
Chad,TCD,2011,52.5
Chile,CHL,1987,51.5
Chile,CHL,1990,38.8
Chile,CHL,1992,33.9
Chile,CHL,1994,31
Chile,CHL,1996,30.3
Chile,CHL,1998,27.5
Chile,CHL,2000,23.7
Chile,CHL,2003,19.9
Chile,CHL,2006,51.8
Chile,CHL,2009,43.6
Chile,CHL,2011,37.7
Chile,CHL,2013,27.9
China,CHN,2013,8.5
China,CHN,2014,7.2
