Entity,Code,Year,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households) (% of total welfare of beneficiary households)
Albania,ALB,2008,18.9413911688178
Albania,ALB,2012,12.2268813598194
Argentina,ARG,2006,21.5215949236643
Argentina,ARG,2010,10.8666234585669
Argentina,ARG,2011,7.148708960209
Argentina,ARG,2012,9.28141254956263
Armenia,ARM,2008,16.1244342430919
Armenia,ARM,2009,16.8198502212399
Armenia,ARM,2010,17.6289778448267
Armenia,ARM,2011,18.4323024377719
Armenia,ARM,2012,12.848980350168
Armenia,ARM,2013,11.7738693178945
Azerbaijan,AZE,2008,15.7950100329921
Bangladesh,BGD,2010,4.62053991954241
Belarus,BLR,2008,2.17014921205135
Belarus,BLR,2009,1.67021982031378
Belarus,BLR,2010,1.45021188037674
Belarus,BLR,2012,0.841488796218087
Bosnia and Herzegovina,BIH,2007,4.85632133378005
Bulgaria,BGR,2007,8.60875221579401
Cape Verde,CPV,2007,1.58950542839923
Chile,CHL,2006,3.54166349738635
Chile,CHL,2009,2.55373857966693
Chile,CHL,2011,0.494114674759988
Chile,CHL,2013,2.10595876899324
Comoros,COM,2004,9.21062356961745
Croatia,HRV,2008,9.02161481771819
Croatia,HRV,2010,10.7440426028782
Georgia,GEO,2011,13.4171236918529
Honduras,HND,2010,4.38567092877337
Honduras,HND,2011,4.77441814772302
Hungary,HUN,2007,12.1748854642975
Iraq,IRQ,2006,5.50028334673673
Latvia,LVA,2008,8.33042810169085
Latvia,LVA,2009,10.4404544563273
Lithuania,LTU,2008,26.0580574219707
Mauritius,MUS,2006,16.7571616629705
Mauritius,MUS,2012,16.967946163861
Montenegro,MNE,2011,13.8548729708397
Montenegro,MNE,2012,10.3502691118077
Montenegro,MNE,2013,15.8808532791056
Montenegro,MNE,2014,13.1812977888644
Poland,POL,2005,26.2503941858267
Poland,POL,2006,23.9321356174207
Poland,POL,2007,22.0354967399766
Poland,POL,2008,22.4802930799948
Poland,POL,2009,22.0718478355671
Poland,POL,2010,22.2439239260738
Poland,POL,2011,22.0099964468734
Poland,POL,2012,22.682729163767
Romania,ROU,2008,31.3301969690203
Romania,ROU,2011,30.4860258970542
Romania,ROU,2012,28.787989065216
Russia,RUS,2014,3.33131701454585
Russia,RUS,2015,3.31835316692279
Russia,RUS,2016,2.83797599689584
Rwanda,RWA,2005,14.6102547625395
Rwanda,RWA,2010,3.36346746326136
Senegal,SEN,2011,0.930069768736582
Slovakia,SVK,2009,9.84568157822367
South Africa,ZAF,2005,20.2720178975698
Turkey,TUR,2004,9.39616695374553
Turkey,TUR,2005,10.9024477590732
Turkey,TUR,2006,9.97677089094731
Turkey,TUR,2007,12.510660870755
Turkey,TUR,2008,8.16680490950469
Turkey,TUR,2009,7.9600253544054
Turkey,TUR,2010,8.61678769967838
Turkey,TUR,2011,11.7753792608125
Turkey,TUR,2012,9.66358694871512
Turkey,TUR,2013,7.68283929142935
Turkey,TUR,2014,6.33201772022968
Ukraine,UKR,2006,6.27988783869552
Ukraine,UKR,2011,9.52556049250845
Ukraine,UKR,2012,9.51339507866522
Ukraine,UKR,2013,10.9624736749688
Uruguay,URY,2008,23.6202090246292
Uruguay,URY,2009,24.8868399844107
Uruguay,URY,2010,25.8582976209132
Uruguay,URY,2011,23.2038050382202
Uruguay,URY,2012,22.0290208238977
