Entity,Code,Year,Gender wage gap (%) (%)
Argentina,ARG,1986,15.79
Argentina,ARG,1987,12.5
Argentina,ARG,1988,11.31
Argentina,ARG,1991,6.71
Argentina,ARG,1992,8.33
Argentina,ARG,1993,7.69
Argentina,ARG,1994,-2.27
Argentina,ARG,1995,4.44
Argentina,ARG,1996,-2.33
Argentina,ARG,1997,0
Argentina,ARG,1998,6.82
Argentina,ARG,1999,2.44
Argentina,ARG,2000,0
Argentina,ARG,2001,2.5
Argentina,ARG,2002,12.2
Argentina,ARG,2003,-4.55
Argentina,ARG,2004,2.08
Argentina,ARG,2005,-1.72
Argentina,ARG,2006,8
Argentina,ARG,2007,6.67
Argentina,ARG,2008,2.68
Argentina,ARG,2009,1.52
Argentina,ARG,2010,-0.61
Argentina,ARG,2011,0
Argentina,ARG,2012,-1.9
Argentina,ARG,2013,1.45
Argentina,ARG,2014,-3.62
Austria,AUT,2002,26.4
Austria,AUT,2006,25.44
Austria,AUT,2010,23.95
Austria,AUT,2014,22.22
Belgium,BEL,2002,17.13
Belgium,BEL,2006,7.01
Belgium,BEL,2010,10.2
Belgium,BEL,2014,6.54
Belize,BLZ,1993,-28.27
Belize,BLZ,1994,9.24
Belize,BLZ,1997,0.5
Belize,BLZ,1998,-3.26
Belize,BLZ,1999,-9.35
Belize,BLZ,2016,-20.03
Bolivia,BOL,1992,21.05
Bolivia,BOL,1993,30.95
Bolivia,BOL,1999,12.7
Bolivia,BOL,2000,11.11
Bolivia,BOL,2001,19.7
Bolivia,BOL,2002,7.94
Bolivia,BOL,2005,12.66
Bolivia,BOL,2006,26.53
Bolivia,BOL,2007,17.05
Bolivia,BOL,2008,19.27
Bolivia,BOL,2009,9.01
Bolivia,BOL,2011,10.22
Bolivia,BOL,2012,10.81
Bolivia,BOL,2013,12.14
Bolivia,BOL,2014,6.18
Brazil,BRA,1981,34.21
Brazil,BRA,1982,33.66
Brazil,BRA,1983,35.75
Brazil,BRA,1984,34.04
Brazil,BRA,1985,28.58
Brazil,BRA,1986,34.69
Brazil,BRA,1987,32.01
Brazil,BRA,1988,30.88
Brazil,BRA,1989,33.33
Brazil,BRA,1990,26.11
Brazil,BRA,1992,15.44
Brazil,BRA,1993,25.62
Brazil,BRA,1995,24.14
Brazil,BRA,1996,20.59
Brazil,BRA,1997,20
Brazil,BRA,1998,17.14
Brazil,BRA,1999,17.14
Brazil,BRA,2001,17.5
Brazil,BRA,2002,14.29
Brazil,BRA,2003,16.67
Brazil,BRA,2004,17.65
Brazil,BRA,2005,14.55
Brazil,BRA,2006,14.75
Brazil,BRA,2007,14.71
Brazil,BRA,2008,15.49
Brazil,BRA,2009,14.29
Brazil,BRA,2011,18.02
Brazil,BRA,2012,16.39
Brazil,BRA,2013,16.89
Brazil,BRA,2014,15.97
Brunei,BRN,2014,2.74
Bulgaria,BGR,2014,12.66
Chile,CHL,1990,26.45
Chile,CHL,1992,24.47
Chile,CHL,1996,17.37
Chile,CHL,1998,18.75
Chile,CHL,2000,25.9
Chile,CHL,2003,20.5
Chile,CHL,2006,14.41
Chile,CHL,2009,23.97
Chile,CHL,2011,16.15
Chile,CHL,2013,20.55
Colombia,COL,2008,0.76
Colombia,COL,2009,0.71
Colombia,COL,2010,3.92
Colombia,COL,2011,-2.08
Colombia,COL,2012,4.87
Colombia,COL,2013,0.63
Colombia,COL,2014,2.99
Colombia,COL,2015,0.34
Costa Rica,CRI,1989,4.55
Costa Rica,CRI,1990,3.13
Costa Rica,CRI,1991,1.23
Costa Rica,CRI,1992,1.03
Costa Rica,CRI,1993,-6.53
Costa Rica,CRI,1994,-0.68
Costa Rica,CRI,1995,2.28
Costa Rica,CRI,1996,-5.56
Costa Rica,CRI,1997,-2.15
