Entity,Code,Year,Uranium (BGS (2016)) (tonnes (metal content))
Argentina,ARG,1970,42
Argentina,ARG,1971,42
Argentina,ARG,1972,38
Argentina,ARG,1973,39
Argentina,ARG,1974,32
Argentina,ARG,1975,32
Argentina,ARG,1976,174
Argentina,ARG,1977,185
Argentina,ARG,1978,143
Argentina,ARG,1979,745
Argentina,ARG,1980,242
Argentina,ARG,1981,187
Argentina,ARG,1982,572
Argentina,ARG,1983,172
Argentina,ARG,1984,129
Argentina,ARG,1985,126
Argentina,ARG,1986,173
Argentina,ARG,1987,95
Argentina,ARG,1988,142
Argentina,ARG,1989,52
Argentina,ARG,1990,9
Argentina,ARG,1991,18
Argentina,ARG,1992,124
Argentina,ARG,1993,126
Argentina,ARG,1994,80
Argentina,ARG,1995,58
Argentina,ARG,1996,23
Argentina,ARG,1997,35
Argentina,ARG,1998,8
Argentina,ARG,1999,8
Australia,AUS,1976,359
Australia,AUS,1977,356
Australia,AUS,1978,516
Australia,AUS,1979,706
Australia,AUS,1980,1561
Australia,AUS,1981,2922
Australia,AUS,1982,4422
Australia,AUS,1983,3211
Australia,AUS,1984,4324
Australia,AUS,1985,3206
Australia,AUS,1986,4154
Australia,AUS,1987,3780
Australia,AUS,1988,3532
Australia,AUS,1989,3800
Australia,AUS,1990,3530
Australia,AUS,1991,3776
Australia,AUS,1992,2334
Australia,AUS,1993,2256
Australia,AUS,1994,2208
Australia,AUS,1995,3712
Australia,AUS,1996,4976
Australia,AUS,1997,5490
Australia,AUS,1998,4901
Australia,AUS,1999,5997
Australia,AUS,2000,7588
Australia,AUS,2001,7652
Australia,AUS,2002,7146
Australia,AUS,2003,7633
Australia,AUS,2004,9010
Australia,AUS,2005,9516
Australia,AUS,2006,7606
Australia,AUS,2007,8603
Australia,AUS,2008,8471
Australia,AUS,2009,7942
Australia,AUS,2010,5971
Australia,AUS,2011,5961
Australia,AUS,2012,7022
Australia,AUS,2013,6370
Australia,AUS,2014,5634
Australia,AUS,2015,5655
Belgium,BEL,1980,20
Belgium,BEL,1981,41
Belgium,BEL,1982,44
Belgium,BEL,1983,43
Belgium,BEL,1984,50
Belgium,BEL,1985,44
Belgium,BEL,1986,50
Belgium,BEL,1987,54
Brazil,BRA,1981,5
Brazil,BRA,1982,243
Brazil,BRA,1983,194
Brazil,BRA,1984,117
Brazil,BRA,1985,72
Brazil,BRA,1986,26
Brazil,BRA,1987,104
Brazil,BRA,1988,15
Brazil,BRA,1989,30
Brazil,BRA,1990,5
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,50
Brazil,BRA,1994,50
Brazil,BRA,1995,125
Brazil,BRA,1999,0
Brazil,BRA,2000,50
Brazil,BRA,2001,58
Brazil,BRA,2002,270
Brazil,BRA,2003,310
Brazil,BRA,2004,300
Brazil,BRA,2005,110
Brazil,BRA,2006,190
Brazil,BRA,2007,299
Brazil,BRA,2008,330
Brazil,BRA,2009,345
Brazil,BRA,2010,148
Brazil,BRA,2011,265
Brazil,BRA,2012,231
Brazil,BRA,2013,192
Brazil,BRA,2014,231
Brazil,BRA,2015,40
Canada,CAN,1970,3157
Canada,CAN,1971,3160
Canada,CAN,1972,3755
Canada,CAN,1973,3661
Canada,CAN,1974,3689
Canada,CAN,1975,4679
Canada,CAN,1976,5438
Canada,CAN,1977,5787
Canada,CAN,1978,6800
Canada,CAN,1979,6530
Canada,CAN,1980,6739
Canada,CAN,1981,7507
Canada,CAN,1982,7643
Canada,CAN,1983,6823
Canada,CAN,1984,10272
Canada,CAN,1985,10866
Canada,CAN,1986,11722
Canada,CAN,1987,12437
Canada,CAN,1988,12461
Canada,CAN,1989,11427
Canada,CAN,1990,8770
Canada,CAN,1991,8161
Canada,CAN,1992,9298
Canada,CAN,1993,9154
Canada,CAN,1994,9644
Canada,CAN,1995,10462
Canada,CAN,1996,11689
Canada,CAN,1997,12020
Canada,CAN,1998,10936
Canada,CAN,1999,8214
Canada,CAN,2000,10683
Canada,CAN,2001,12487
Canada,CAN,2002,11607
Canada,CAN,2003,10456
Canada,CAN,2004,11599
Canada,CAN,2005,11627
Canada,CAN,2006,9862
Canada,CAN,2007,9475
Canada,CAN,2008,9001
Canada,CAN,2009,10176
Canada,CAN,2010,9518
Canada,CAN,2011,9145
Canada,CAN,2012,8998
Canada,CAN,2013,9331
Canada,CAN,2014,9101
Canada,CAN,2015,13324
China,CHN,1988,344
China,CHN,1989,800
China,CHN,1990,800
China,CHN,1991,800
China,CHN,1992,955
China,CHN,1993,780
China,CHN,1994,780
China,CHN,1995,500
China,CHN,1996,500
China,CHN,1997,500
China,CHN,1998,500
China,CHN,1999,500
China,CHN,2000,500
China,CHN,2001,665
China,CHN,2002,730
China,CHN,2003,750
China,CHN,2004,750
China,CHN,2005,750
China,CHN,2006,750
China,CHN,2007,712
China,CHN,2008,769
China,CHN,2009,750
China,CHN,2010,827
China,CHN,2011,885
China,CHN,2012,1500
China,CHN,2013,1500
China,CHN,2014,1500
China,CHN,2015,1616
Czech Republic,CZE,1992,0
Czech Republic,CZE,1993,1018
Czech Republic,CZE,1994,537
Czech Republic,CZE,1995,611
Czech Republic,CZE,1996,589
Czech Republic,CZE,1997,624
Czech Republic,CZE,1998,611
Czech Republic,CZE,1999,605
Czech Republic,CZE,2000,498
Czech Republic,CZE,2001,490
Czech Republic,CZE,2002,477
Czech Republic,CZE,2003,458
Czech Republic,CZE,2004,435
Czech Republic,CZE,2005,420
Czech Republic,CZE,2006,383
Czech Republic,CZE,2007,322
Czech Republic,CZE,2008,290
Czech Republic,CZE,2009,286
Czech Republic,CZE,2010,259
Czech Republic,CZE,2011,252
Czech Republic,CZE,2012,222
Czech Republic,CZE,2013,232
Czech Republic,CZE,2014,165
Czech Republic,CZE,2015,134
Czechoslovakia,OWID_CZS,1990,2142
Czechoslovakia,OWID_CZS,1991,1778
Czechoslovakia,OWID_CZS,1992,1539
France,FRA,1970,1295
France,FRA,1971,1280
France,FRA,1972,1427
France,FRA,1973,1578
France,FRA,1974,1716
France,FRA,1975,1730
France,FRA,1976,1871
France,FRA,1977,2048
France,FRA,1978,2911
France,FRA,1979,3332
France,FRA,1980,2845
France,FRA,1981,2554
France,FRA,1982,2872
