Entity,Code,Year,2.5.1 - Proportion of local breeds for which sufficient genetic resources are stored for reconstitution (%) - ER_GRF_ANIMRCNT (%)
Argentina,ARG,2019,0
Austria,AUT,2018,9.23077
Austria,AUT,2019,13.33333
Belgium,BEL,2018,3.44828
Belgium,BEL,2019,3.75
Bhutan,BTN,2018,0
Bhutan,BTN,2019,0
Brazil,BRA,2019,2.91262
Bulgaria,BGR,2018,1.85185
Bulgaria,BGR,2019,2.32558
Croatia,HRV,2018,0
Croatia,HRV,2019,0
Czech Republic,CZE,2018,6.38298
Czech Republic,CZE,2019,8.10811
Denmark,DNK,2018,0
Denmark,DNK,2019,3.77358
"Europe, Western",,2019,3.58056
Finland,FIN,2018,0
Finland,FIN,2019,0
France,FRA,2019,6.07143
Italy,ITA,2018,0.30769
Italy,ITA,2019,0.31746
Montenegro,MNE,2019,0
Netherlands,NLD,2018,6.0241
Netherlands,NLD,2019,9.90991
Norway,NOR,2018,0
Norway,NOR,2019,0
Slovenia,SVN,2018,0
Slovenia,SVN,2019,0
South Korea,KOR,2018,0
South Korea,KOR,2019,0
Spain,ESP,2018,4.8
Spain,ESP,2019,11.45374
Sweden,SWE,2018,0
Sweden,SWE,2019,0
Switzerland,CHE,2018,11.36364
Switzerland,CHE,2019,17.24138
Tanzania,TZA,2018,0
Tanzania,TZA,2019,0
Turkey,TUR,2018,0
Turkey,TUR,2019,0
Ukraine,UKR,2018,0
Ukraine,UKR,2019,0
Vietnam,VNM,2018,0
Vietnam,VNM,2019,0
