Entity,Code,Year,Percentage of students achieving minimum proficiency in reading (%)
Albania,ALB,2015,50
Algeria,DZA,2015,21
Argentina,ARG,2015,46
Australia,AUS,2015,82
Austria,AUT,2015,78
Belgium,BEL,2015,81
Brazil,BRA,2015,49
Bulgaria,BGR,2015,59
Canada,CAN,2015,89
Chile,CHL,2015,72
Colombia,COL,2015,57
Costa Rica,CRI,2015,60
Croatia,HRV,2015,80
Cyprus,CYP,2015,64
Czech Republic,CZE,2015,78
Denmark,DNK,2015,85
Dominican Republic,DOM,2015,28
Estonia,EST,2015,89
Finland,FIN,2015,89
France,FRA,2015,79
Georgia,GEO,2015,48
Germany,DEU,2015,84
Greece,GRC,2015,73
Hong Kong,HKG,2015,91
Hungary,HUN,2015,73
Iceland,ISL,2015,78
Indonesia,IDN,2015,45
Ireland,IRL,2015,90
Israel,ISR,2015,73
Italy,ITA,2015,79
Japan,JPN,2015,87
Jordan,JOR,2015,54
Kazakhstan,KAZ,2015,43
Latvia,LVA,2015,82
Lebanon,LBN,2015,30
Liechtenstein,LIE,2015,88
Lithuania,LTU,2015,75
Luxembourg,LUX,2015,74
Macao,MAC,2015,88
Macedonia,MKD,2015,29
Malaysia,MYS,2015,47
Malta,MLT,2015,64
Mexico,MEX,2015,58
Moldova,MDA,2015,54
Montenegro,MNE,2015,58
Netherlands,NLD,2015,82
New Zealand,NZL,2015,83
Norway,NOR,2015,85
Peru,PER,2015,46
Poland,POL,2015,86
Portugal,PRT,2015,83
Qatar,QAT,2015,48
Romania,ROU,2015,61
Russia,RUS,2015,84
Serbia,SRB,2015,67
Singapore,SGP,2015,89
Slovakia,SVK,2015,68
Slovenia,SVN,2015,85
South Korea,KOR,2015,86
Spain,ESP,2015,84
Sweden,SWE,2015,82
Switzerland,CHE,2015,80
Thailand,THA,2015,50
Trinidad and Tobago,TTO,2015,58
Tunisia,TUN,2015,28
Turkey,TUR,2015,60
United Arab Emirates,ARE,2015,60
United Kingdom,GBR,2015,82
United States,USA,2015,81
Uruguay,URY,2015,61
Vietnam,VNM,2015,86
