Entity,Code,Year,Share of arable land which is organic (%)
Albania,ALB,2010,0.34
Albania,ALB,2011,0.9
Albania,ALB,2012,0
Albania,ALB,2013,0
Albania,ALB,2014,0.06
Azerbaijan,AZE,2007,0.18
Azerbaijan,AZE,2008,0.18
Azerbaijan,AZE,2009,0.17
Azerbaijan,AZE,2010,0.21
Azerbaijan,AZE,2014,0.17
Bangladesh,BGD,2010,0
Belgium,BEL,2012,2.02
Belgium,BEL,2013,2.13
Belgium,BEL,2014,2.31
Benin,BEN,2005,0.01
Benin,BEN,2006,0.03
Benin,BEN,2007,0.06
Benin,BEN,2008,0.04
Benin,BEN,2009,0.04
Benin,BEN,2010,0.05
Benin,BEN,2011,0.07
Benin,BEN,2012,0.1
Benin,BEN,2013,0.07
Benin,BEN,2014,0.09
Chile,CHL,2009,0.06
Chile,CHL,2010,0.04
Chile,CHL,2011,0.05
Chile,CHL,2012,0.09
Chile,CHL,2013,0.49
Chile,CHL,2014,0.47
Croatia,HRV,2004,0.24
Croatia,HRV,2005,0.23
Croatia,HRV,2006,0.34
Croatia,HRV,2007,0.39
Croatia,HRV,2008,0.82
Croatia,HRV,2009,1.2
Croatia,HRV,2010,1.96
Croatia,HRV,2011,2.45
Croatia,HRV,2012,2.09
Croatia,HRV,2013,2.34
Croatia,HRV,2014,3.38
Cuba,CUB,2011,0.03
Cuba,CUB,2014,0.06
Cyprus,CYP,2012,2.21
Cyprus,CYP,2013,2.39
Cyprus,CYP,2014,2.26
Czech Republic,CZE,2004,0.61
Czech Republic,CZE,2005,0.65
Czech Republic,CZE,2006,0.72
Czech Republic,CZE,2007,0.94
Czech Republic,CZE,2008,1.1
Czech Republic,CZE,2009,1.42
Czech Republic,CZE,2010,1.73
Czech Republic,CZE,2011,1.86
Czech Republic,CZE,2012,1.81
Czech Republic,CZE,2013,1.78
Czech Republic,CZE,2014,1.81
Denmark,DNK,2013,5.98
Denmark,DNK,2014,5.8
Dominican Republic,DOM,2010,0.04
Dominican Republic,DOM,2011,0.03
Dominican Republic,DOM,2012,0.04
