Entity,Code,Year,Estimated HIV resource availability for low- and middle-income countries (million US$) (constant 2016 US$)
Asia and the Pacific,,2006,2086000000
Asia and the Pacific,,2007,2634000000
Asia and the Pacific,,2008,2774000000
Asia and the Pacific,,2009,2769000000
Asia and the Pacific,,2010,2631000000
Asia and the Pacific,,2011,3316000000
Asia and the Pacific,,2012,3204000000
Asia and the Pacific,,2013,3484000000
Asia and the Pacific,,2014,3280000000
Asia and the Pacific,,2015,3478000000
Asia and the Pacific,,2016,3578000000
Caribbean,,2006,309000000
Caribbean,,2007,309000000
Caribbean,,2008,399000000
Caribbean,,2009,427000000
Caribbean,,2010,377000000
Caribbean,,2011,418000000
Caribbean,,2012,414000000
Caribbean,,2013,389000000
Caribbean,,2014,378000000
Caribbean,,2015,367000000
Caribbean,,2016,367000000
East and Southern Africa,,2006,4591000000
East and Southern Africa,,2007,5626000000
East and Southern Africa,,2008,7596000000
East and Southern Africa,,2009,7939000000
East and Southern Africa,,2010,8006000000
East and Southern Africa,,2011,8921000000
East and Southern Africa,,2012,9363000000
East and Southern Africa,,2013,9660000000
East and Southern Africa,,2014,9828000000
East and Southern Africa,,2015,9435000000
East and Southern Africa,,2016,9618000000
Eastern Europe and Central Asia,,2006,463000000
Eastern Europe and Central Asia,,2007,544000000
Eastern Europe and Central Asia,,2008,641000000
Eastern Europe and Central Asia,,2009,498000000
Eastern Europe and Central Asia,,2010,557000000
Eastern Europe and Central Asia,,2011,629000000
Eastern Europe and Central Asia,,2012,695000000
Eastern Europe and Central Asia,,2013,685000000
Eastern Europe and Central Asia,,2014,659000000
Eastern Europe and Central Asia,,2015,626000000
Eastern Europe and Central Asia,,2016,639000000
Latin America,,2006,1082000000
Latin America,,2007,1304000000
Latin America,,2008,1565000000
Latin America,,2009,1458000000
Latin America,,2010,1833000000
Latin America,,2011,2062000000
Latin America,,2012,2038000000
Latin America,,2013,2240000000
Latin America,,2014,2282000000
Latin America,,2015,2445000000
Latin America,,2016,2585000000
Middle East and North Africa,,2006,192000000
Middle East and North Africa,,2007,210000000
Middle East and North Africa,,2008,245000000
Middle East and North Africa,,2009,182000000
Middle East and North Africa,,2010,262000000
Middle East and North Africa,,2011,260000000
Middle East and North Africa,,2012,237000000
Middle East and North Africa,,2013,236000000
Middle East and North Africa,,2014,226000000
Middle East and North Africa,,2015,219000000
Middle East and North Africa,,2016,220000000
West and Central Africa,,2006,1277000000
West and Central Africa,,2007,1362000000
West and Central Africa,,2008,2059000000
West and Central Africa,,2009,2082000000
West and Central Africa,,2010,1914000000
West and Central Africa,,2011,1969000000
West and Central Africa,,2012,2146000000
West and Central Africa,,2013,2443000000
West and Central Africa,,2014,2114000000
West and Central Africa,,2015,2113000000
West and Central Africa,,2016,2112000000
World,OWID_WRL,2006,10001000000
World,OWID_WRL,2007,11990000000
World,OWID_WRL,2008,15279000000
World,OWID_WRL,2009,15355000000
World,OWID_WRL,2010,15580000000
World,OWID_WRL,2011,17575000000
World,OWID_WRL,2012,18096000000
World,OWID_WRL,2013,19138000000
World,OWID_WRL,2014,18765000000
World,OWID_WRL,2015,18683000000
World,OWID_WRL,2016,19119000000
