Entity,Code,Year,Renewables (%)
Africa,,1965,5.285297719184139
Africa,,1966,5.547435383563195
Africa,,1967,5.666307420048519
Africa,,1968,6.194900333960901
Africa,,1969,7.02967162217385
Africa,,1970,8.135270726007498
Africa,,1971,7.1921342978931895
Africa,,1972,7.8050121130287655
Africa,,1973,7.252429589671181
Africa,,1974,8.12295717975312
Africa,,1975,8.062335622589343
Africa,,1976,8.207408980200043
Africa,,1977,8.607146260726067
Africa,,1978,8.471201634958295
Africa,,1979,7.96971631685784
Africa,,1980,7.206371794419188
Africa,,1981,6.7936566110222305
Africa,,1982,6.396767578824246
Africa,,1983,5.826373469641251
Africa,,1984,5.585942893789584
Africa,,1985,5.899126533723364
Africa,,1986,6.007012474023149
Africa,,1987,5.5907419457150995
Africa,,1988,5.687112523527253
Africa,,1989,5.950083165507921
Africa,,1990,5.874851275773078
Africa,,1991,6.22612605145902
Africa,,1992,5.846518480288779
Africa,,1993,5.714318192194747
Africa,,1994,5.6285570180012465
Africa,,1995,5.627891212884618
Africa,,1996,5.729270483245841
Africa,,1997,5.7680172702632095
Africa,,1998,5.952013111868677
Africa,,1999,6.116007637514696
Africa,,2000,6.42749483964976
Africa,,2001,6.653122400862725
Africa,,2002,6.917108422121218
Africa,,2003,6.458962333335153
Africa,,2004,6.383669562042192
Africa,,2005,6.4545564441370935
Africa,,2006,6.6132031580608155
Africa,,2007,6.557493984270237
Africa,,2008,6.302735425520478
Africa,,2009,6.386139111031413
Africa,,2010,6.704058055093677
Africa,,2011,6.8906526808744095
Africa,,2012,6.717247872936857
Africa,,2013,6.983028509131005
Africa,,2014,7.295240985047756
Africa,,2015,7.354813681086779
Africa,,2016,7.2130296856194684
Africa,,2017,7.640409200659029
Africa,,2018,8.075895191515317
Algeria,DZA,1965,4.193126486381774
Algeria,DZA,1966,3.2070399489186427
Algeria,DZA,1967,3.8070092791067585
Algeria,DZA,1968,4.861010909022813
Algeria,DZA,1969,2.853101659335289
Algeria,DZA,1970,4.196833579296343
Algeria,DZA,1971,2.172314048672023
Algeria,DZA,1972,2.9533468439559973
Algeria,DZA,1973,3.7512058325185595
Algeria,DZA,1974,2.2367858619494236
Algeria,DZA,1975,1.2249003821210822
Algeria,DZA,1976,1.234461824404722
Algeria,DZA,1977,0.7871482687223156
Algeria,DZA,1978,0.5953744589634176
Algeria,DZA,1979,0.5170723635102826
Algeria,DZA,1980,0.3809721970116425
Algeria,DZA,1981,0.44344402439040986
Algeria,DZA,1982,0.5065662817024184
Algeria,DZA,1983,0.22754408960182043
Algeria,DZA,1984,0.46062500740409984
Algeria,DZA,1985,0.6486411513176225
Algeria,DZA,1986,0.2371567848739323
Algeria,DZA,1987,0.46074790617132777
Algeria,DZA,1988,0.15770741284078416
Algeria,DZA,1989,0.20025165143106688
Algeria,DZA,1990,0.11280709475343462
Algeria,DZA,1991,0.2471324622119317
Algeria,DZA,1992,0.16356844319210376
Algeria,DZA,1993,0.31185276317877497
Algeria,DZA,1994,0.14471339317008783
Algeria,DZA,1995,0.1622241767811137
Algeria,DZA,1996,0.11464510012781046
Algeria,DZA,1997,0.0662676262985296
Algeria,DZA,1998,0.18353161400911588
Algeria,DZA,1999,0.17156879467122932
Algeria,DZA,2000,0.04737977983440646
Algeria,DZA,2001,0.05842461856413202
Algeria,DZA,2002,0.04659337723322245
Algeria,DZA,2003,0.20702581187343944
Algeria,DZA,2004,0.18887558461965556
Algeria,DZA,2005,0.399110895798195
Algeria,DZA,2006,0.15102098637754252
Algeria,DZA,2007,0.14883473664368196
Algeria,DZA,2008,0.17585019030814278
Algeria,DZA,2009,0.20053286861563283
Algeria,DZA,2010,0.10955746896981347
Algeria,DZA,2011,0.22444715676922933
Algeria,DZA,2012,0.21551456454599358
Algeria,DZA,2013,0.06253472352214723
Algeria,DZA,2014,0.11414418952813132
Algeria,DZA,2015,0.09460830455343892
Algeria,DZA,2016,0.14336328019575506
Algeria,DZA,2017,0.2465988654722621
Algeria,DZA,2018,0.2912520623211136
Argentina,ARG,1965,1.0180407892547436
Argentina,ARG,1966,0.9996507392918482
Argentina,ARG,1967,0.9917803251168074
Argentina,ARG,1968,1.1308562135468014
Argentina,ARG,1969,0.9789617255027439
Argentina,ARG,1970,1.222494933286119
Argentina,ARG,1971,1.1587204286185784
Argentina,ARG,1972,1.1200325194236407
Argentina,ARG,1973,2.0875734950816693
Argentina,ARG,1974,3.34173900502544
Argentina,ARG,1975,3.5508302904462994
Argentina,ARG,1976,3.2372514961841152
Argentina,ARG,1977,3.569899466340428
Argentina,ARG,1978,4.695005492952797
Argentina,ARG,1979,6.096992513147512
Argentina,ARG,1980,8.667016186207436
Argentina,ARG,1981,8.703874697110223
Argentina,ARG,1982,10.257947915900406
Argentina,ARG,1983,10.251867426634552
Argentina,ARG,1984,11.06545846005249
Argentina,ARG,1985,11.912241826362832
Argentina,ARG,1986,10.970290351503651
Argentina,ARG,1987,10.899643919831673
Argentina,ARG,1988,7.651922786656338
Argentina,ARG,1989,6.679395554916279
Argentina,ARG,1990,9.300727630743152
Argentina,ARG,1991,8.320168921957748
Argentina,ARG,1992,9.436399807156977
Argentina,ARG,1993,10.890695469544864
Argentina,ARG,1994,12.70782597803628
Argentina,ARG,1995,12.416783243608446
Argentina,ARG,1996,10.662872318216046
Argentina,ARG,1997,13.674542470472803
Argentina,ARG,1998,12.958678923234018
Argentina,ARG,1999,10.943059714846406
Argentina,ARG,2000,13.442855935185282
Argentina,ARG,2001,16.66249386314636
Argentina,ARG,2002,17.411178180160146
Argentina,ARG,2003,15.351119217431814
Argentina,ARG,2004,13.17226446601846
Argentina,ARG,2005,13.736929373560072
Argentina,ARG,2006,14.599899331009563
Argentina,ARG,2007,12.149177401390281
Argentina,ARG,2008,11.800345128286626
Argentina,ARG,2009,13.137380715409726
Argentina,ARG,2010,12.483620682523174
Argentina,ARG,2011,12.03147426861238
Argentina,ARG,2012,11.089753289570755
Argentina,ARG,2013,11.68371800277809
Argentina,ARG,2014,11.781145739334963
Argentina,ARG,2015,11.762557762396122
Argentina,ARG,2016,10.739827377974256
Argentina,ARG,2017,11.708674227750475
Argentina,ARG,2018,12.096182733201315
Australia,AUS,1965,5.199325416991275
Australia,AUS,1966,4.5262834485869305
Australia,AUS,1967,4.416653625763114
Australia,AUS,1968,4.342026486768176
Australia,AUS,1969,4.541853635901168
Australia,AUS,1970,4.844616378060204
Australia,AUS,1971,5.206596147578412
Australia,AUS,1972,5.005043136487535
Australia,AUS,1973,4.99431794176581
Australia,AUS,1974,5.322701541919538
Australia,AUS,1975,5.6297041089056155
Australia,AUS,1976,5.1760426072441215
Australia,AUS,1977,4.706252232948738
Australia,AUS,1978,4.957012480513875
Australia,AUS,1979,4.636425481138702
Australia,AUS,1980,4.349484900604557
Australia,AUS,1981,4.444309931348731
Australia,AUS,1982,4.1397045333848
Australia,AUS,1983,3.9029929036173763
Australia,AUS,1984,4.041538911379409
Australia,AUS,1985,4.2565651820811325
Australia,AUS,1986,4.142548915500874
Australia,AUS,1987,3.922289830243474
Australia,AUS,1988,4.009371758781083
Australia,AUS,1989,3.8239755117629946
Australia,AUS,1990,3.8714528122536325
Australia,AUS,1991,4.112658614425172
Australia,AUS,1992,4.132357043884256
Australia,AUS,1993,4.126614978859214
Australia,AUS,1994,3.920390006468897
Australia,AUS,1995,3.7315906819451174
Australia,AUS,1996,3.7420316616877143
Australia,AUS,1997,3.658286044634721
Australia,AUS,1998,3.5631350395821166
Australia,AUS,1999,3.527827265382765
Australia,AUS,2000,3.5203198423723054
Australia,AUS,2001,3.432630937169192
Australia,AUS,2002,3.517218563614192
Australia,AUS,2003,3.602441658138323
Australia,AUS,2004,3.616618007319243
Australia,AUS,2005,3.878834704389404
Australia,AUS,2006,3.7332035966274
Australia,AUS,2007,3.5349169974099564
Australia,AUS,2008,3.2689060809066297
Australia,AUS,2009,3.4718409123382714
Australia,AUS,2010,3.7996142938153628
