Entity,Code,Year,10.c.1 - Remittance costs as a proportion of the amount remitted (%) - SI_RMT_COST (%)
Afghanistan,AFG,2017,9.9
Afghanistan,AFG,2018,9.2
Albania,ALB,2011,7.9
Albania,ALB,2015,7.9
Albania,ALB,2017,8.4
Albania,ALB,2018,8.4
Algeria,DZA,2011,14.1
Algeria,DZA,2015,11.9
Algeria,DZA,2017,8.3
Algeria,DZA,2018,10.9
Angola,AGO,2011,17.9
Angola,AGO,2015,16.6
Angola,AGO,2017,18.7
Angola,AGO,2018,19.4
Armenia,ARM,2011,1.8
Armenia,ARM,2015,1.5
Armenia,ARM,2017,4
Armenia,ARM,2018,5.7
Azerbaijan,AZE,2011,2.3
Azerbaijan,AZE,2015,1.1
Azerbaijan,AZE,2017,1
Azerbaijan,AZE,2018,1.3
Bangladesh,BGD,2011,4
Bangladesh,BGD,2015,4.2
Bangladesh,BGD,2017,4.4
Bangladesh,BGD,2018,4.9
Belarus,BLR,2017,18.3
Belarus,BLR,2018,1.6
Benin,BEN,2011,2.4
Benin,BEN,2015,1.4
Benin,BEN,2017,1.3
Benin,BEN,2018,12.3
Bolivia,BOL,2011,11.5
Bolivia,BOL,2015,7.1
Bolivia,BOL,2017,4.1
Bolivia,BOL,2018,5.9
Bosnia and Herzegovina,BIH,2011,13.9
Bosnia and Herzegovina,BIH,2015,7.3
Bosnia and Herzegovina,BIH,2017,6.5
Bosnia and Herzegovina,BIH,2018,6.9
Botswana,BWA,2011,19.6
Botswana,BWA,2015,19.7
Botswana,BWA,2017,19.1
Botswana,BWA,2018,18.2
Brazil,BRA,2011,13.4
Brazil,BRA,2015,7
Brazil,BRA,2017,6.3
Brazil,BRA,2018,7.1
Bulgaria,BGR,2011,9.1
Bulgaria,BGR,2015,9.2
Bulgaria,BGR,2017,8.2
Bulgaria,BGR,2018,8.6
Cambodia,KHM,2017,4.4
Cambodia,KHM,2018,14.5
Cameroon,CMR,2011,9.5
Cameroon,CMR,2015,10.7
Cameroon,CMR,2017,10.2
Cameroon,CMR,2018,4.2
Cape Verde,CPV,2017,15.1
Cape Verde,CPV,2018,9.4
Central and Southern Asia,,2011,5.7
Central and Southern Asia,,2015,5.4
Central and Southern Asia,,2017,5.3
Central and Southern Asia,,2018,5.4
China,CHN,2011,11.9
China,CHN,2015,10.2
China,CHN,2017,10
China,CHN,2018,8
Colombia,COL,2011,6.7
Colombia,COL,2015,6.2
Colombia,COL,2017,5.4
Colombia,COL,2018,5
Comoros,COM,2017,4.8
Comoros,COM,2018,4.8
Congo,COG,2017,5.7
Congo,COG,2018,8.2
Costa Rica,CRI,2011,12
Costa Rica,CRI,2015,6
Costa Rica,CRI,2017,5.5
Costa Rica,CRI,2018,6.6
Cote d'Ivoire,CIV,2011,20.6
Cote d'Ivoire,CIV,2015,4.1
Cote d'Ivoire,CIV,2017,6.3
Cote d'Ivoire,CIV,2018,5.5
Croatia,HRV,2017,11
Croatia,HRV,2018,6.2
Cuba,CUB,2011,8.8
Cuba,CUB,2015,6
Cuba,CUB,2017,8.7
Cuba,CUB,2018,10.8
Dominican Republic,DOM,2011,5.8
Dominican Republic,DOM,2015,6.4
Dominican Republic,DOM,2017,6.8
Dominican Republic,DOM,2018,6.7
Eastern and South-Eastern Asia,,2011,8.4
Eastern and South-Eastern Asia,,2015,7.4
Eastern and South-Eastern Asia,,2017,7.6
Eastern and South-Eastern Asia,,2018,6.9
Ecuador,ECU,2011,4.6
Ecuador,ECU,2015,4.3
Ecuador,ECU,2017,4
Ecuador,ECU,2018,4.1
Egypt,EGY,2011,4.2
Egypt,EGY,2015,5.7
Egypt,EGY,2017,5.3
Egypt,EGY,2018,5
El Salvador,SLV,2011,4.7
El Salvador,SLV,2015,4.2
El Salvador,SLV,2017,3.9
El Salvador,SLV,2018,4
Eritrea,ERI,2011,12.1
Eritrea,ERI,2015,9.1
Eritrea,ERI,2017,11.5
Eritrea,ERI,2018,8
Estonia,EST,2011,4.6
Estonia,EST,2015,5.8
Estonia,EST,2017,6.4
Estonia,EST,2018,4.3
Ethiopia,ETH,2011,9.3
Ethiopia,ETH,2015,7.9
Ethiopia,ETH,2017,6.5
Ethiopia,ETH,2018,6.3
Europe and Northern America,,2011,7.8
Europe and Northern America,,2015,6.6
Europe and Northern America,,2017,6.8
Europe and Northern America,,2018,6.7
Fiji,FJI,2011,13.4
Fiji,FJI,2015,9.6
Fiji,FJI,2017,8.9
Fiji,FJI,2018,8.6
Gambia,GMB,2011,9.4
Gambia,GMB,2015,10
Gambia,GMB,2017,9.7
Gambia,GMB,2018,12.7
Georgia,GEO,2011,2.6
Georgia,GEO,2015,1.2
Georgia,GEO,2017,1.3
Georgia,GEO,2018,1.3
Ghana,GHA,2011,11.6
Ghana,GHA,2015,9.4
Ghana,GHA,2017,7.2
Ghana,GHA,2018,7
Guatemala,GTM,2011,5.5
Guatemala,GTM,2015,4.7
Guatemala,GTM,2017,5
Guatemala,GTM,2018,5.2
Guyana,GUY,2011,7.3
Guyana,GUY,2015,8.7
Guyana,GUY,2017,8.5
Guyana,GUY,2018,6.5
Haiti,HTI,2011,10.8
Haiti,HTI,2015,9.4
Haiti,HTI,2017,8.1
Haiti,HTI,2018,7.2
Honduras,HND,2011,5.1
Honduras,HND,2015,4.2
Honduras,HND,2017,4.2
Honduras,HND,2018,4.1
Hungary,HUN,2015,6.1
Hungary,HUN,2017,8.1
Hungary,HUN,2018,8.5
India,IND,2011,7
India,IND,2015,6.5
India,IND,2017,6
India,IND,2018,5.7
Indonesia,IDN,2011,5.9
Indonesia,IDN,2015,6.9
Indonesia,IDN,2017,7.1
Indonesia,IDN,2018,6.8
Jamaica,JAM,2011,8.9
Jamaica,JAM,2015,8.5
Jamaica,JAM,2017,8.9
Jamaica,JAM,2018,8.2
Jordan,JOR,2011,5.3
Jordan,JOR,2015,5.8
Jordan,JOR,2017,5.7
Jordan,JOR,2018,5.4
Kazakhstan,KAZ,2011,2.3
Kazakhstan,KAZ,2015,1.4
Kazakhstan,KAZ,2017,1.3
Kazakhstan,KAZ,2018,1.5
Kenya,KEN,2011,13.1
Kenya,KEN,2015,8.8
Kenya,KEN,2017,7.9
Kenya,KEN,2018,8.4
Kyrgyzstan,KGZ,2011,2.2
Kyrgyzstan,KGZ,2015,1.2
Kyrgyzstan,KGZ,2017,4
Kyrgyzstan,KGZ,2018,5.5
Laos,LAO,2017,16.3
Laos,LAO,2018,15.7
Latin America and the Caribbean	,,2011,7.7
Latin America and the Caribbean	,,2015,6.3
Latin America and the Caribbean	,,2017,5.7
Latin America and the Caribbean	,,2018,5.9
Latvia,LVA,2011,4.3
Latvia,LVA,2015,4.8
Latvia,LVA,2017,5.1
Latvia,LVA,2018,4
Lebanon,LBN,2011,13.6
Lebanon,LBN,2015,13.1
Lebanon,LBN,2017,11.7
Lebanon,LBN,2018,11
Lesotho,LSO,2011,14.3
Lesotho,LSO,2015,13.8
Lesotho,LSO,2017,15.9
Lesotho,LSO,2018,15.1
Liberia,LBR,2015,5
Liberia,LBR,2017,5.5
Liberia,LBR,2018,4.9
Lithuania,LTU,2011,7.8
Lithuania,LTU,2015,8.2
Lithuania,LTU,2017,7.1
Lithuania,LTU,2018,6.7
Macedonia,MKD,2017,10.4
Macedonia,MKD,2018,10.2
Madagascar,MDG,2017,7.9
Madagascar,MDG,2018,8.2
Malawi,MWI,2011,16.2
Malawi,MWI,2015,9.1
Malawi,MWI,2017,17
Malawi,MWI,2018,15.8
Malaysia,MYS,2011,7.1
Malaysia,MYS,2015,5.7
Malaysia,MYS,2017,8.1
Malaysia,MYS,2018,7.4
Mali,MLI,2011,11.2
Mali,MLI,2015,5.1
Mali,MLI,2017,5.1
Mali,MLI,2018,5.1
Mexico,MEX,2011,6
Mexico,MEX,2015,5.6
Mexico,MEX,2017,4.9
Mexico,MEX,2018,4.1
Moldova,MDA,2011,7.7
Moldova,MDA,2015,5.7
Moldova,MDA,2017,5.7
Moldova,MDA,2018,5.8
Morocco,MAR,2011,8.5
Morocco,MAR,2015,7
Morocco,MAR,2017,6.8
Morocco,MAR,2018,6
Mozambique,MOZ,2011,19.7
Mozambique,MOZ,2015,18.2
Mozambique,MOZ,2017,14.7
Mozambique,MOZ,2018,11.5
Myanmar,MMR,2017,12.1
