Entity,Code,Year,Share of wealth held by top 1% (Chartbook of Economic Inequality 2017) (%)
Australia,AUS,1915,33.98
Australia,AUS,1953,14.58
Australia,AUS,1954,10.71
Australia,AUS,1955,9.92
Australia,AUS,1956,12.44
Australia,AUS,1957,9.42
Australia,AUS,1958,9.6
Australia,AUS,1959,9.59
Australia,AUS,1960,9.39
Australia,AUS,1961,9.05
Australia,AUS,1962,7.85
Australia,AUS,1963,9.03
Australia,AUS,1964,8.83
Australia,AUS,1965,8.88
Australia,AUS,1966,7.84
Australia,AUS,1967,6.94
Australia,AUS,1968,6.33
Australia,AUS,1969,9.03
Australia,AUS,1970,8.92
Australia,AUS,1971,7.91
Australia,AUS,1972,10
Australia,AUS,1973,6.79
Australia,AUS,1974,8.88
Australia,AUS,1975,7.83
Australia,AUS,1976,6.77
Australia,AUS,1977,7.36
Australia,AUS,1978,6.62
Australia,AUS,1987,9.66
Australia,AUS,2002,11.76
Australia,AUS,2006,16
Australia,AUS,2010,11.4
Finland,FIN,1909,37.41
Finland,FIN,1915,35.88
Finland,FIN,1922,25.35
Finland,FIN,1926,29.69
Finland,FIN,1967,19.43
Finland,FIN,1987,16.06
Finland,FIN,1989,15.78
Finland,FIN,1990,15.34
Finland,FIN,1991,15.22
Finland,FIN,1992,15.34
Finland,FIN,1993,13.67
Finland,FIN,1994,13.88
Finland,FIN,1995,13.88
Finland,FIN,1996,15.1
Finland,FIN,1997,16.2
Finland,FIN,1998,17.26
Finland,FIN,1999,21.16
Finland,FIN,2000,21.23
Finland,FIN,2001,20.56
Finland,FIN,2002,19.62
Finland,FIN,2003,20.41
Finland,FIN,2004,20.73
Finland,FIN,2005,21.63
Finland,FIN,2009,22.67
France,FRA,1902,52.36
France,FRA,1903,54.36
France,FRA,1904,57.9
France,FRA,1905,59.4
France,FRA,1907,54.19
France,FRA,1909,56.38
France,FRA,1910,54.01
France,FRA,1911,57.09
France,FRA,1912,56.74
France,FRA,1913,54.58
France,FRA,1914,54.58
France,FRA,1915,54.15
France,FRA,1916,53.96
France,FRA,1917,53.75
France,FRA,1918,53.15
France,FRA,1919,52.42
France,FRA,1920,50.97
France,FRA,1921,50
France,FRA,1922,49.16
France,FRA,1923,48.53
France,FRA,1924,48.32
France,FRA,1925,44.7
France,FRA,1926,45.38
France,FRA,1927,47.8
France,FRA,1929,49.96
France,FRA,1930,50.19
France,FRA,1931,46.37
France,FRA,1932,44.79
France,FRA,1933,44.65
France,FRA,1935,45.97
France,FRA,1936,45.72
France,FRA,1937,42.62
France,FRA,1938,42.06
France,FRA,1939,42.72
France,FRA,1940,34.94
France,FRA,1941,34.84
France,FRA,1942,36.66
France,FRA,1943,38.06
France,FRA,1944,37.84
France,FRA,1945,35.18
France,FRA,1946,30.68
France,FRA,1947,30.24
France,FRA,1948,30.56
France,FRA,1949,33.03
France,FRA,1950,33.33
France,FRA,1951,32.7
France,FRA,1952,32.04
France,FRA,1953,31.88
France,FRA,1954,30.42
France,FRA,1955,31.08
France,FRA,1956,31.33
France,FRA,1957,33.24
France,FRA,1958,31.1
France,FRA,1959,32.49
France,FRA,1960,31.38
France,FRA,1962,32
France,FRA,1964,30.09
France,FRA,1965,31.01
France,FRA,1966,29.18
France,FRA,1967,27.77
France,FRA,1968,26.88
France,FRA,1969,24.74
France,FRA,1970,20.67
France,FRA,1975,18.62
France,FRA,1979,17.36
France,FRA,1984,15.54
France,FRA,1988,17.31
France,FRA,1990,17.26
France,FRA,1991,18.28
France,FRA,1992,17.5
France,FRA,1993,18.79
France,FRA,1994,19.32
France,FRA,1995,19.64
France,FRA,1996,23.32
France,FRA,1997,25.31
France,FRA,1998,26.7
France,FRA,1999,27.84
France,FRA,2000,28.11
France,FRA,2001,27.05
France,FRA,2002,25.4
France,FRA,2003,24.62
France,FRA,2004,23.76
France,FRA,2005,22.51
France,FRA,2006,22.13
France,FRA,2007,22.37
France,FRA,2008,21.59
France,FRA,2009,21.7
France,FRA,2010,23.51
France,FRA,2011,22.98
France,FRA,2012,22.36
Italy,ITA,1989,10.98
Italy,ITA,1991,9.66
Italy,ITA,1993,12.57
Italy,ITA,1995,10.98
Italy,ITA,1998,14.6
Italy,ITA,2000,14.48
Italy,ITA,2002,12.62
Italy,ITA,2004,12.19
Italy,ITA,2006,15.23
Italy,ITA,2008,12.89
Italy,ITA,2010,14.42
Italy,ITA,2012,15.68
Netherlands,NLD,1905,55
Netherlands,NLD,1914,56.5
Netherlands,NLD,1919,50
Netherlands,NLD,1925,47.5
Netherlands,NLD,1930,48
Netherlands,NLD,1935,42
Netherlands,NLD,1939,45
Netherlands,NLD,1951,34
Netherlands,NLD,1955,35
Netherlands,NLD,1960,37.5
Netherlands,NLD,1965,33
Netherlands,NLD,1970,31
Netherlands,NLD,1974,28
Netherlands,NLD,1993,20
Netherlands,NLD,1994,19.87
Netherlands,NLD,1995,19.12
Netherlands,NLD,1996,19.53
Netherlands,NLD,1997,19.21
Netherlands,NLD,1998,19.8
Netherlands,NLD,1999,19.37
Netherlands,NLD,2000,19.17
Netherlands,NLD,2006,19.07
Netherlands,NLD,2007,18.86
Netherlands,NLD,2008,18.71
Netherlands,NLD,2009,18.49
Netherlands,NLD,2010,19.66
Netherlands,NLD,2011,19.86
New Zealand,NZL,1956,25.4
New Zealand,NZL,1966,18
Norway,NOR,1912,37.2
Norway,NOR,1930,37.61
Norway,NOR,1948,34.6
Norway,NOR,1960,25.53
Norway,NOR,1973,21.52
Norway,NOR,1976,19.49
Norway,NOR,1979,18.47
Norway,NOR,1982,18.05
Norway,NOR,1983,17.49
Norway,NOR,1984,18.01
Norway,NOR,1985,18.91
Norway,NOR,1986,18.69
Norway,NOR,1987,18.71
Norway,NOR,1988,18.89
Norway,NOR,1989,18.87
Norway,NOR,1990,18.82
Norway,NOR,1991,18.82
Norway,NOR,1992,17.45
Norway,NOR,1993,17.02
Norway,NOR,1994,17.73
Norway,NOR,1995,18.02
Norway,NOR,1996,18.31
Norway,NOR,1997,19.09
Norway,NOR,1998,18.67
Norway,NOR,1999,19.18
Norway,NOR,2000,19.56
Norway,NOR,2001,18.55
Norway,NOR,2002,18.02
Norway,NOR,2003,18.3
Norway,NOR,2004,19.21
Norway,NOR,2005,20.44
Norway,NOR,2006,21.04
Norway,NOR,2007,22.07
Norway,NOR,2008,21.85
Norway,NOR,2009,21.2
Norway,NOR,2010,19.44
Norway,NOR,2011,18.86
Spain,ESP,1982,18.43
Spain,ESP,1983,18.07
Spain,ESP,1984,17.54
Spain,ESP,1985,17.78
Spain,ESP,1986,18.16
Spain,ESP,1987,17.71
Spain,ESP,1988,17.28
Spain,ESP,1989,16.88
Spain,ESP,1990,16.82
Spain,ESP,1991,16.12
Spain,ESP,1992,16.02
Spain,ESP,1993,16.62
Spain,ESP,1994,16.33
Spain,ESP,1995,15.93
Spain,ESP,1996,16.62
