Entity,Code,Year,"16.2.3 - Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29) - VC_VAW_SXVLN - 18 to 29 years old - Female (%)"
Afghanistan,AFG,2015,1.1
Angola,AGO,2016,4.6
Azerbaijan,AZE,2006,0.090439720894152
Bangladesh,BGD,2015,3.5
Burundi,BDI,2017,3.5
Cambodia,KHM,2014,1.70381859670563
Cameroon,CMR,2011,15.9897217121178
Central and Southern Asia,,2017,1.5
Chad,TCD,2015,1.81930844496965
Colombia,COL,2015,2.2
Comoros,COM,2012,3.13708002117597
Democratic Republic of Congo,COD,2014,13.3687614639901
Dominican Republic,DOM,2013,1.31499274895925
Ethiopia,ETH,2016,5.1
Gabon,GAB,2012,9.27710999763057
Gambia,GMB,2013,0.356536380072225
Ghana,GHA,2008,10.3073932791146
Guatemala,GTM,2015,4
Haiti,HTI,2017,4.8
Honduras,HND,2012,5.14189898608858
India,IND,2016,1.3
Jamaica,JAM,2016,2.3
Kenya,KEN,2014,4.39769796429934
Landlocked developing countries,,2017,4.2
Least Developed Countries (LDCs),,2017,4.8
Liberia,LBR,2007,4.20964471263456
Malawi,MWI,2015,4.1
Moldova,MDA,2005,5.22623906845974
Mozambique,MOZ,2015,1.9
Myanmar,MMR,2016,1.2
Namibia,NAM,2013,0.546334016542284
Nepal,NPL,2016,3
Nigeria,NGA,2013,3.8614353361461
Panama,PAN,2015,3.4
Philippines,PHL,2017,2
Rwanda,RWA,2015,9.90745487108401
Sao Tome and Principe,STP,2009,3.37889623205311
Senegal,SEN,2017,2.1
Sierra Leone,SLE,2013,1.83595419815251
Southern Asia,,2017,1.6
Sub-Saharan Africa,,2017,6
Tajikistan,TJK,2017,0
Tanzania,TZA,2016,7.3003083981619
Timor,TLS,2016,2.8
Togo,TGO,2014,3.78409870311593
Trinidad and Tobago,TTO,2017,24.8
Uganda,UGA,2016,5.2
Ukraine,UKR,2007,1.8400653702059
World,OWID_WRL,2017,3
Zambia,ZMB,2014,5.4748819468701
Zimbabwe,ZWE,2015,5.86231945971174
