Entity,Code,Year,15.4.2 - Mountain Green Cover Index - ER_MTN_GRNCVI (%)
Afghanistan,AFG,2017,56.002422
Albania,ALB,2017,89.333333
Algeria,DZA,2017,44.04493
Angola,AGO,2017,94.499118
Argentina,ARG,2017,63.570468
Armenia,ARM,2017,98.297609
"Asia, Central",,2017,31.219412
Australia and New Zealand,,2017,94.851049
Austria,AUT,2017,83.817427
Azerbaijan,AZE,2017,96.89062
Bangladesh,BGD,2017,87.5
Belgium,BEL,2017,100
Belize,BLZ,2017,100
Benin,BEN,2017,100
Bhutan,BTN,2017,85.714286
Bolivia,BOL,2017,73.412403
Bosnia and Herzegovina,BIH,2017,94.405594
Botswana,BWA,2017,100
Brazil,BRA,2017,97.8671
Brunei,BRN,2017,100
Bulgaria,BGR,2017,97.824182
Burkina Faso,BFA,2017,100
Burundi,BDI,2017,87.671233
Cambodia,KHM,2017,100
Cameroon,CMR,2017,90.505545
Canada,CAN,2017,77.806798
Cape Verde,CPV,2017,75
Caribbean,,2017,96.31494
Central African Republic,CAF,2017,100
Central America,,2017,96.172883
Central and Southern Asia,,2017,64.456739
Chad,TCD,2017,14.784899
Chile,CHL,2017,46.501976
China,CHN,2017,60.38651
Comoros,COM,2017,100
Congo,COG,2017,92.553191
Costa Rica,CRI,2017,96.73913
Cote d'Ivoire,CIV,2017,97.823048
Croatia,HRV,2017,94.520548
Cuba,CUB,2017,100
Cyprus,CYP,2017,90.47619
Czech Republic,CZE,2017,95.192558
Democratic Republic of Congo,COD,2017,93.384567
Djibouti,DJI,2017,30.930463
Dominica,DMA,2017,100
Dominican Republic,DOM,2017,96.923077
Eastern Africa,,2017,91.893849
Eastern Asia,,2017,62.67886
Eastern Europe,,2017,83.846429
Eastern and South-Eastern Asia,,2017,70.531789
Ecuador,ECU,2017,95.280017
Egypt,EGY,2017,1.970301
El Salvador,SLV,2017,88.888889
Equatorial Guinea,GNQ,2017,100
Eritrea,ERI,2017,54.77293
Ethiopia,ETH,2017,93.182159
Europe and Northern America,,2017,76.705155
"Europe, Western",,2017,85.307799
Faeroe Islands,FRO,2017,100
Falkland Islands,FLK,2017,100
Finland,FIN,2017,71.225016
France,FRA,2017,88.65905
French Guiana,GUF,2017,100
Gabon,GAB,2017,96.09375
Georgia,GEO,2017,94.07364
Ghana,GHA,2017,96.584317
Greece,GRC,2017,93.149304
Greenland,GRL,2017,12.729124
Grenada,GRD,2017,100
Guadeloupe,GLP,2017,100
Guatemala,GTM,2017,96.428571
Guinea,GIN,2017,91.694431
Guyana,GUY,2017,99.056604
Haiti,HTI,2017,100
Honduras,HND,2017,98.688525
Hong Kong,HKG,2017,100
Hungary,HUN,2017,93.75
Iceland,ISL,2017,30.674847
Indonesia,IDN,2017,97.454588
Iran,IRN,2017,64.140561
Iraq,IRQ,2017,82.701698
Ireland,IRL,2017,70
Italy,ITA,2017,88.467097
