Entity,Code,Year,Variable:% Recycling - MUNW (%)
Australia,AUS,2003,30.338
Australia,AUS,2009,40.976
Australia,AUS,2011,45.173
Australia,AUS,2015,41.585
Austria,AUT,1990,11.358
Austria,AUT,1991,18.448
Austria,AUT,1992,20.581
Austria,AUT,1993,22.145
Austria,AUT,1994,26.856
Austria,AUT,1995,21.382
Austria,AUT,1996,20.456
Austria,AUT,1997,21.352
Austria,AUT,1998,22.376
Austria,AUT,1999,22.965
Austria,AUT,2000,23.798
Austria,AUT,2001,23.689
Austria,AUT,2002,23.128
Austria,AUT,2003,22.424
Austria,AUT,2004,24.13
Austria,AUT,2005,25.638
Austria,AUT,2006,26.033
Austria,AUT,2007,27.123
Austria,AUT,2008,30.192
Austria,AUT,2009,31.162
Austria,AUT,2010,27.767
Austria,AUT,2011,24.734
Austria,AUT,2012,24.755
Austria,AUT,2013,25.348
Austria,AUT,2014,26.342
Austria,AUT,2015,26.238
Belgium,BEL,1990,5.125
Belgium,BEL,1991,5.308
Belgium,BEL,1992,6.135
Belgium,BEL,1993,7.301
Belgium,BEL,1994,9.37
Belgium,BEL,1995,11.36
Belgium,BEL,1996,14.658
Belgium,BEL,1997,17.702
Belgium,BEL,1998,22.723
Belgium,BEL,1999,25.538
Belgium,BEL,2000,25.434
Belgium,BEL,2001,28.101
Belgium,BEL,2002,28.449
Belgium,BEL,2003,27.833
Belgium,BEL,2004,28.137
Belgium,BEL,2005,29.819
Belgium,BEL,2006,32.084
Belgium,BEL,2007,31.922
Belgium,BEL,2008,33.712
Belgium,BEL,2009,35.156
Belgium,BEL,2010,34.891
Belgium,BEL,2011,35.393
Belgium,BEL,2012,33.92
Belgium,BEL,2013,32.617
Belgium,BEL,2014,33.776
Belgium,BEL,2015,35.093
Brazil,BRA,2000,1.426
Canada,CAN,1996,18.828
Canada,CAN,1998,21.199
Canada,CAN,2000,17.602
Canada,CAN,2002,17.351
Canada,CAN,2004,17.295
Canada,CAN,2006,16.804
Canada,CAN,2008,17.471
Canada,CAN,2010,17.752
Canada,CAN,2012,17.915
Costa Rica,CRI,2015,0.941
Czech Republic,CZE,1995,0
Czech Republic,CZE,1996,0
Czech Republic,CZE,1997,0
Czech Republic,CZE,1998,0.567
Czech Republic,CZE,1999,0.565
Czech Republic,CZE,2000,0.585
Czech Republic,CZE,2001,0.581
Czech Republic,CZE,2002,0.634
Czech Republic,CZE,2003,0.646
Czech Republic,CZE,2004,5.76
Czech Republic,CZE,2005,6.653
Czech Republic,CZE,2006,7.544
Czech Republic,CZE,2007,9.799
Czech Republic,CZE,2008,10.152
Czech Republic,CZE,2009,12.188
Czech Republic,CZE,2010,14.178
Czech Republic,CZE,2011,14.813
Czech Republic,CZE,2012,20.58
Czech Republic,CZE,2013,21.248
Czech Republic,CZE,2014,22.573
Czech Republic,CZE,2015,25.497
Denmark,DNK,1993,8.54
Denmark,DNK,1994,17.089
Denmark,DNK,1995,14.349
Denmark,DNK,1996,24.593
Denmark,DNK,1997,21.327
Denmark,DNK,1998,22.604
Denmark,DNK,1999,24.632
Denmark,DNK,2000,21.292
Denmark,DNK,2001,22.364
Denmark,DNK,2002,22.309
Denmark,DNK,2003,25.594
Denmark,DNK,2004,24.86
Denmark,DNK,2005,24.486
Denmark,DNK,2006,24.297
Denmark,DNK,2007,26.64
Denmark,DNK,2008,34.189
Denmark,DNK,2009,31.146
Denmark,DNK,2010,29.191
Denmark,DNK,2011,27.3
Denmark,DNK,2012,25.673
Denmark,DNK,2013,25.963
Denmark,DNK,2014,26.921
Denmark,DNK,2015,27.269
Estonia,EST,1995,0
Estonia,EST,1996,0
Estonia,EST,1997,0
Estonia,EST,1998,0
Estonia,EST,1999,0
Estonia,EST,2000,2.08
Estonia,EST,2001,3.562
Estonia,EST,2002,2.443
Estonia,EST,2003,16.838
Estonia,EST,2004,26.658
Estonia,EST,2005,24.173
Estonia,EST,2006,15.035
Estonia,EST,2007,23.048
Estonia,EST,2008,17.635
Estonia,EST,2009,13.547
Estonia,EST,2010,11.949
Estonia,EST,2011,16.915
Estonia,EST,2012,18.431
Estonia,EST,2013,13.738
Estonia,EST,2014,29.198
Estonia,EST,2015,27.033
Finland,FIN,1994,30.172
Finland,FIN,1995,26.458
Finland,FIN,1996,25.9
Finland,FIN,1997,25.697
Finland,FIN,1998,25.361
Finland,FIN,1999,26.219
Finland,FIN,2000,24.849
Finland,FIN,2001,25.13
Finland,FIN,2002,24.803
Finland,FIN,2003,25.108
Finland,FIN,2004,25.22
Finland,FIN,2005,25.602
Finland,FIN,2006,26.033
Finland,FIN,2007,25.991
Finland,FIN,2008,25.23
Finland,FIN,2009,24.003
Finland,FIN,2010,19.651
Finland,FIN,2011,21.781
Finland,FIN,2012,21.512
Finland,FIN,2013,19.034
Finland,FIN,2014,18.036
Finland,FIN,2015,28.131
France,FRA,1993,6.942
France,FRA,1995,8.781
France,FRA,1996,9.164
France,FRA,1997,10.271
France,FRA,1998,11.57
France,FRA,1999,12.485
France,FRA,2000,12.951
France,FRA,2001,13.697
France,FRA,2002,14.426
France,FRA,2003,15.048
France,FRA,2004,15.319
France,FRA,2005,16.079
France,FRA,2006,16.655
France,FRA,2007,17.223
