Entity,Code,Year, (%)
Afghanistan,AFG,2015,8.5
Algeria,DZA,2015,4.6
Argentina,ARG,2015,1.2
Armenia,ARM,2015,21.6
Australia,AUS,2015,5.4
Austria,AUT,2015,14.5
Azerbaijan,AZE,2015,13.7
Bangladesh,BGD,2015,0.2
Belgium,BEL,2015,14
Bosnia and Herzegovina,BIH,2015,36.3
Brazil,BRA,2015,6
Bulgaria,BGR,2015,12.1
Canada,CAN,2015,12
China,CHN,2015,15.8
Colombia,COL,2015,8.8
Czech Republic,CZE,2015,10.2
Democratic Republic of Congo,COD,2015,13.8
Denmark,DNK,2015,6.3
Ecuador,ECU,2015,3
Ethiopia,ETH,2015,4.2
Fiji,FJI,2015,13.7
Finland,FIN,2015,4.8
France,FRA,2015,41
Germany,DEU,2015,10.5
Ghana,GHA,2015,5.1
Greece,GRC,2015,25.4
Hong Kong,HKG,2015,18.5
Iceland,ISL,2015,5.5
India,IND,2015,8.5
Indonesia,IDN,2015,3.4
Iran,IRN,2015,22.6
Ireland,IRL,2015,10.9
Italy,ITA,2015,21.4
Japan,JPN,2015,25.1
Kosovo,OWID_KOS,2015,8
Latvia,LVA,2015,18.6
Lebanon,LBN,2015,12.5
Macedonia,MKD,2015,17.6
Mexico,MEX,2015,14.3
Mongolia,MNG,2015,26.8
Morocco,MAR,2015,5.7
Netherlands,NLD,2015,11.2
Nigeria,NGA,2015,6.8
Pakistan,PAK,2015,7
Palestine,PSE,2015,10
Panama,PAN,2015,7.3
Papua New Guinea,PNG,2015,12.8
Peru,PER,2015,8.3
Philippines,PHL,2015,1.9
Poland,POL,2015,12
Portugal,PRT,2015,4.2
Romania,ROU,2015,19.8
Russia,RUS,2015,27.5
Saudi Arabia,SAU,2015,1.2
Serbia,SRB,2015,16.4
Slovenia,SVN,2015,22
South Africa,ZAF,2015,9.8
South Korea,KOR,2015,9
Spain,ESP,2015,9
Sweden,SWE,2015,8.6
Thailand,THA,2015,5.5
Tunisia,TUN,2015,7.6
Turkey,TUR,2015,17
Ukraine,UKR,2015,25
United Kingdom,GBR,2015,8.7
United States,USA,2015,13.5
Vietnam,VNM,2015,20.9
