Entity,Code,Year,Biofuels Production - Ktoe (terawatt-hours)
Africa,,1990,0.7245721099887773
Africa,,1991,0.7245721099887773
Africa,,1992,0.726557239057239
Africa,,1993,0.7245721099887773
Africa,,1994,0.7245721099887773
Africa,,1995,0.7245721099887773
Africa,,1996,0.726557239057239
Africa,,1997,1.086858164983167
Africa,,1998,1.086858164983167
Africa,,1999,0.7245721099887773
Africa,,2000,0.726557239057239
Africa,,2001,0.7245721099887773
Africa,,2002,3.565587556846405
Africa,,2003,5.013332267641372
Africa,,2004,5.76836251478171
Africa,,2005,6.2970254417225915
Africa,,2006,6.685678404155775
Africa,,2007,7.029117722941667
Africa,,2008,5.551691148936189
Africa,,2009,33.19387619536166
Africa,,2010,34.7546098327083
Africa,,2011,37.77145991129247
Africa,,2012,26.980265282261367
Africa,,2013,27.52983462345634
Africa,,2014,31.713747858293747
Africa,,2015,41.09111485791214
Africa,,2016,50.01095338712129
Africa,,2017,50.48177879179027
Africa,,2018,50.76963270802971
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.5320603488920326
Argentina,ARG,2001,1.0612132641835592
Argentina,ARG,2002,1.0612132641835592
Argentina,ARG,2003,1.0612132641835592
Argentina,ARG,2004,1.0641206977840685
Argentina,ARG,2005,1.0612132641835592
Argentina,ARG,2006,3.545925847545074
Argentina,ARG,2007,20.136187589983226
Argentina,ARG,2008,71.16141462705727
Argentina,ARG,2009,119.650874946616
Argentina,ARG,2010,198.93944228304
Argentina,ARG,2011,258.448154956144
Argentina,ARG,2012,265.025373637792
Argentina,ARG,2013,238.38685107363997
Argentina,ARG,2014,305.844239004288
Argentina,ARG,2015,234.618445403624
Argentina,ARG,2016,327.68284313396
Argentina,ARG,2017,362.3187021225036
Argentina,ARG,2018,317.0342867676024
Asia Pacific,,1990,0
Asia Pacific,,1991,0
Asia Pacific,,1992,0
Asia Pacific,,1993,0
Asia Pacific,,1994,0
Asia Pacific,,1995,0
Asia Pacific,,1996,0
Asia Pacific,,1997,0
Asia Pacific,,1998,0
Asia Pacific,,1999,0
Asia Pacific,,2000,10.53507996633001
Asia Pacific,,2001,11.399188281923445
Asia Pacific,,2002,30.344184468049956
Asia Pacific,,2003,66.55990859799482
Asia Pacific,,2004,68.24840412930072
Asia Pacific,,2005,108.95377495779773
Asia Pacific,,2006,177.6415479715613
Asia Pacific,,2007,239.7114584570071
Asia Pacific,,2008,381.5742211884701
Asia Pacific,,2009,395.51257486792036
Asia Pacific,,2010,436.6201898628399
Asia Pacific,,2011,676.6121777399155
Asia Pacific,,2012,829.4980002084008
Asia Pacific,,2013,982.421549686864
Asia Pacific,,2014,1180.0291686359064
Asia Pacific,,2015,987.2709694828062
Asia Pacific,,2016,1122.7419829288872
Asia Pacific,,2017,1170.990805651185
Asia Pacific,,2018,1620.9627875117537
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,3.18395196639966
Australia,AUS,2004,2.0303906860212813
Australia,AUS,2005,2.7468348934539693
Australia,AUS,2006,6.055543663331409
Australia,AUS,2007,8.708680881739966
Australia,AUS,2008,12.966929563525387
Australia,AUS,2009,20.445440451311203
Australia,AUS,2010,24.940431462698967
Australia,AUS,2011,28.144550591539474
Australia,AUS,2012,32.08706750322041
Australia,AUS,2013,29.527419843957894
Australia,AUS,2014,29.947317308672222
Australia,AUS,2015,27.494292291787538
Australia,AUS,2016,22.977619445526866
Australia,AUS,2017,18.555612385268493
Australia,AUS,2018,19.26504909792446
Austria,AUT,1990,0.73269
Austria,AUT,1991,0.80247
Austria,AUT,1992,0.89551
Austria,AUT,1993,1.0118099999999999
Austria,AUT,1994,0.67454
Austria,AUT,1995,1.30256
Austria,AUT,1996,1.41886
Austria,AUT,1997,1.5351599999999999
Austria,AUT,1998,1.65146
Austria,AUT,1999,1.81428
