Entity,Code,Year,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-14 years and women aged 15-19 years - Past - Unscaled (live births per 1,000 women)"
Afghanistan,AFG,1990,64.927
Afghanistan,AFG,1995,61.566
Afghanistan,AFG,2000,56.663
Afghanistan,AFG,2005,49.671
Afghanistan,AFG,2010,39.261
Afghanistan,AFG,2016,33.146
Albania,ALB,1990,9.312
Albania,ALB,1995,9.862
Albania,ALB,2000,9.213
Albania,ALB,2005,9.558
Albania,ALB,2010,10.367
Albania,ALB,2016,12.615
Algeria,DZA,1990,13.389
Algeria,DZA,1995,11.507
Algeria,DZA,2000,9.464
Algeria,DZA,2005,7.443
Algeria,DZA,2010,6.679
Algeria,DZA,2016,4.784
Andorra,AND,1990,4.645
Andorra,AND,1995,4.383
Andorra,AND,2000,4.237
Andorra,AND,2005,3.665
Andorra,AND,2010,3.542
Andorra,AND,2016,3.206
Angola,AGO,1990,94.503
Angola,AGO,1995,92.893
Angola,AGO,2000,89.27
Angola,AGO,2005,83.704
Angola,AGO,2010,79.335
Angola,AGO,2016,70.044
Antigua and Barbuda,ATG,1990,30.013
Antigua and Barbuda,ATG,1995,24.334
Antigua and Barbuda,ATG,2000,24.301
Antigua and Barbuda,ATG,2005,24.212
Antigua and Barbuda,ATG,2010,22.673
Antigua and Barbuda,ATG,2016,17.501
Argentina,ARG,1990,29.919
Argentina,ARG,1995,29.946
Argentina,ARG,2000,31.587
Argentina,ARG,2005,29.772
Argentina,ARG,2010,31.099
Argentina,ARG,2016,30.489
Armenia,ARM,1990,36.524
Armenia,ARM,1995,27.529
Armenia,ARM,2000,17.014
Armenia,ARM,2005,15.085
Armenia,ARM,2010,15.91
Armenia,ARM,2016,12.274
Australia,AUS,1990,11.311
Australia,AUS,1995,9.942
Australia,AUS,2000,8.8
Australia,AUS,2005,8.234
Australia,AUS,2010,8.139
Australia,AUS,2016,6.451
Austria,AUT,1990,11.478
Austria,AUT,1995,8.31
Austria,AUT,2000,6.922
Austria,AUT,2005,6.121
Austria,AUT,2010,5.055
Austria,AUT,2016,3.069
Azerbaijan,AZE,1990,14.972
Azerbaijan,AZE,1995,17.174
Azerbaijan,AZE,2000,15.243
Azerbaijan,AZE,2005,20.887
Azerbaijan,AZE,2010,29.659
Azerbaijan,AZE,2016,33.587
Bahamas,BHS,1990,35.096
Bahamas,BHS,1995,31.556
Bahamas,BHS,2000,26.909
Bahamas,BHS,2005,24.232
Bahamas,BHS,2010,22.129
Bahamas,BHS,2016,16.874
Bahrain,BHR,1990,12.203
Bahrain,BHR,1995,8.518
Bahrain,BHR,2000,7.67
Bahrain,BHR,2005,5.755
Bahrain,BHR,2010,6.364
Bahrain,BHR,2016,6.318
Bangladesh,BGD,1990,66.373
Bangladesh,BGD,1995,56.399
Bangladesh,BGD,2000,49.487
Bangladesh,BGD,2005,46.852
Bangladesh,BGD,2010,42.8
Bangladesh,BGD,2016,37.151
Barbados,BRB,1990,27.565
Barbados,BRB,1995,22.761
Barbados,BRB,2000,21.518
Barbados,BRB,2005,22.046
Barbados,BRB,2010,21.635
Barbados,BRB,2016,15.385
Belarus,BLR,1990,22.353
Belarus,BLR,1995,17.463
Belarus,BLR,2000,14.128
Belarus,BLR,2005,12.785
Belarus,BLR,2010,12.606
Belarus,BLR,2016,8.208
Belgium,BEL,1990,5.96
Belgium,BEL,1995,5.2
Belgium,BEL,2000,5.409
Belgium,BEL,2005,5.39
Belgium,BEL,2010,4.973
Belgium,BEL,2016,3.841
Belize,BLZ,1990,66.645
Belize,BLZ,1995,49.539
Belize,BLZ,2000,49.636
Belize,BLZ,2005,44.646
Belize,BLZ,2010,42.152
Belize,BLZ,2016,38.932
Benin,BEN,1990,52.921
Benin,BEN,1995,52.799
Benin,BEN,2000,51.448
Benin,BEN,2005,50.534
Benin,BEN,2010,47.022
Benin,BEN,2016,41.853
Bhutan,BTN,1990,50.204
Bhutan,BTN,1995,51.991
Bhutan,BTN,2000,47.665
Bhutan,BTN,2005,38.606
Bhutan,BTN,2010,23.085
Bhutan,BTN,2016,9.844
Bolivia,BOL,1990,44.456
Bolivia,BOL,1995,45.513
Bolivia,BOL,2000,45.56
Bolivia,BOL,2005,43.194
Bolivia,BOL,2010,40.405
Bolivia,BOL,2016,39.575
Bosnia and Herzegovina,BIH,1990,16.755
Bosnia and Herzegovina,BIH,1995,12.39
Bosnia and Herzegovina,BIH,2000,9.512
Bosnia and Herzegovina,BIH,2005,8.738
Bosnia and Herzegovina,BIH,2010,6.335
Bosnia and Herzegovina,BIH,2016,3.806
Botswana,BWA,1990,39.746
Botswana,BWA,1995,33.721
Botswana,BWA,2000,31.18
Botswana,BWA,2005,27.502
Botswana,BWA,2010,21.786
Botswana,BWA,2016,13.841
Brazil,BRA,1990,39.838
Brazil,BRA,1995,40.402
Brazil,BRA,2000,40.378
Brazil,BRA,2005,38.328
Brazil,BRA,2010,35.64
Brazil,BRA,2016,34.192
Brunei,BRN,1990,17.334
Brunei,BRN,1995,16.844
Brunei,BRN,2000,13.45
Brunei,BRN,2005,12.147
Brunei,BRN,2010,11.044
Brunei,BRN,2016,10.563
Bulgaria,BGR,1990,35.542
Bulgaria,BGR,1995,27.344
Bulgaria,BGR,2000,23.712
Bulgaria,BGR,2005,22.992
Bulgaria,BGR,2010,23.625
Bulgaria,BGR,2016,16.091
Burkina Faso,BFA,1990,66.344
Burkina Faso,BFA,1995,63.814
Burkina Faso,BFA,2000,63.609
Burkina Faso,BFA,2005,62.54
Burkina Faso,BFA,2010,58.204
Burkina Faso,BFA,2016,48.931
Burundi,BDI,1990,19.804
Burundi,BDI,1995,19.197
Burundi,BDI,2000,17.077
Burundi,BDI,2005,15.915
Burundi,BDI,2010,15.083
Burundi,BDI,2016,12.319
Cambodia,KHM,1990,30.219
Cambodia,KHM,1995,18.52
Cambodia,KHM,2000,23.975
Cambodia,KHM,2005,23.544
Cambodia,KHM,2010,26.198
Cambodia,KHM,2016,28.406
Cameroon,CMR,1990,75.444
Cameroon,CMR,1995,69.277
Cameroon,CMR,2000,65.466
Cameroon,CMR,2005,61.292
Cameroon,CMR,2010,57.497
Cameroon,CMR,2016,47.521
Canada,CAN,1990,12.842
Canada,CAN,1995,11.106
