Entity,Code,Year,Women who believe a husband is justified in beating his wife (any of five reasons) (%) (%)
Afghanistan,AFG,2011,90.2
Afghanistan,AFG,2015,80.2
Albania,ALB,2005,29.8
Albania,ALB,2009,29.8
Algeria,DZA,2013,59
Angola,AGO,2016,25.2
Argentina,ARG,2012,2
Armenia,ARM,2000,32.3
Armenia,ARM,2005,22.1
Armenia,ARM,2010,9.3
Armenia,ARM,2016,10.1
Azerbaijan,AZE,2006,49
Bangladesh,BGD,2007,31
Bangladesh,BGD,2011,32.5
Bangladesh,BGD,2014,28.3
Barbados,BRB,2012,3.3
Belarus,BLR,2012,4.1
Belize,BLZ,2006,12.6
Belize,BLZ,2011,8.6
Benin,BEN,2001,60.4
Benin,BEN,2006,46.5
Benin,BEN,2012,16.2
Benin,BEN,2014,36
Bhutan,BTN,2010,68.4
Bolivia,BOL,2003,22.1
Bolivia,BOL,2008,16.1
Bosnia and Herzegovina,BIH,2006,4.8
Bosnia and Herzegovina,BIH,2012,4.8
Burkina Faso,BFA,2003,71.1
Burkina Faso,BFA,2006,71.4
Burkina Faso,BFA,2010,43.5
Burundi,BDI,2010,72.9
Cambodia,KHM,2005,13.8
Cambodia,KHM,2010,45.5
Cambodia,KHM,2014,49.8
Cameroon,CMR,2004,55.6
Cameroon,CMR,2011,46.5
Cameroon,CMR,2014,36.1
Central African Republic,CAF,2010,79.6
Chad,TCD,2010,62.3
Chad,TCD,2015,73.5
Colombia,COL,2010,2.3
Colombia,COL,2015,3.1
Comoros,COM,2012,39
Congo,COG,2005,67.4
Congo,COG,2012,60.7
Costa Rica,CRI,2011,3.5
Cote d'Ivoire,CIV,2012,47.9
Cuba,CUB,2014,3.9
Democratic Republic of Congo,COD,2007,75.6
Democratic Republic of Congo,COD,2014,74.8
Dominican Republic,DOM,2002,8.6
Dominican Republic,DOM,2007,3.9
Dominican Republic,DOM,2013,2.3
Dominican Republic,DOM,2014,2
Egypt,EGY,2005,50
Egypt,EGY,2008,39.3
Egypt,EGY,2014,35.7
El Salvador,SLV,2014,8
Eritrea,ERI,2002,70.7
Eritrea,ERI,2010,51.4
Ethiopia,ETH,2000,84.5
Ethiopia,ETH,2005,81
Ethiopia,ETH,2011,68.4
Ethiopia,ETH,2016,63
Gabon,GAB,2012,50.2
Gambia,GMB,2006,74
Gambia,GMB,2013,58.4
Georgia,GEO,2005,6.9
Ghana,GHA,2003,48.5
Ghana,GHA,2008,36.6
Ghana,GHA,2014,28.3
Guatemala,GTM,2015,11
Guinea,GIN,2005,85.6
Guinea,GIN,2012,92.1
Guinea-Bissau,GNB,2006,51.5
Guinea-Bissau,GNB,2014,41.8
Guyana,GUY,2007,23.6
Guyana,GUY,2009,16.3
Guyana,GUY,2014,10.2
Haiti,HTI,2000,39.9
Haiti,HTI,2006,31.4
Haiti,HTI,2012,16.7
Honduras,HND,2006,15.5
Honduras,HND,2012,12.4
India,IND,2006,47.2
