Entity,Code,Year,Boys (%),Girls (%)
Afghanistan,AFG,2013,20.3,12.61
Albania,ALB,2010,3.4,2.1
Angola,AGO,2015,8.92287,10.43366
Armenia,ARM,2015,4.9,2.7
Bangladesh,BGD,2013,6.4,5.2
Belize,BLZ,2013,3.2,1.2
Benin,BEN,2014,37.15,32.48
Brazil,BRA,2015,4.6,2
Burundi,BDI,2016,21.53599,19.44047
Cambodia,KHM,2012,10.8,12.2
Cameroon,CMR,2014,38.46138,32.77597
Chad,TCD,2014,33.93675,33.36696
Chile,CHL,2012,3.3,1.4
Colombia,COL,2017,3.8,2
Congo,COG,2015,9.92924,11.73816
Costa Rica,CRI,2016,1.5,0.5
Democratic Republic of Congo,COD,2013,20.46749,22.83193
Dominican Republic,DOM,2014,7.94091,5.79624
Egypt,EGY,2014,5.56085,1.44443
El Salvador,SLV,2015,6.6,3
Gambia,GMB,2015,21.2,13.8
Georgia,GEO,2015,2.1,0.9
Guinea,GIN,2016,21.08053,17.81316
Guinea-Bissau,GNB,2014,34.61973,33.26117
Guyana,GUY,2014,9.66251,11.08281
Honduras,HND,2014,11.5,4.3
India,IND,2012,5.3,3.1
Jamaica,JAM,2016,3.1,2.2
Jordan,JOR,2016,2.2,0.2
Kyrgyzstan,KGZ,2014,17.34248,13.83161
Laos,LAO,2010,9.9,12.9
Liberia,LBR,2010,14.6,11
Malawi,MWI,2013,18.86854,16.13902
Mali,MLI,2015,37.45,27.05
Mexico,MEX,2015,5.3,2.3
Mongolia,MNG,2013,11.52566,7.19959
Montenegro,MNE,2013,9.76249,8.50776
Nepal,NPL,2014,19.15775,19.25039
Nigeria,NGA,2016,29.88,27.52
North Korea,PRK,2017,4.3,3.7
Panama,PAN,2014,3.2,1.6
Paraguay,PRY,2016,19.39935,11.46329
Peru,PER,2015,13.3,13.3
Philippines,PHL,2011,5.1,3.5
Sao Tome and Principe,STP,2014,12.69204,13.73402
Senegal,SEN,2016,25.65155,8.64139
Serbia,SRB,2014,7.79716,6.52684
Sudan,SDN,2014,19.34394,15.22652
Tanzania,TZA,2014,23.4,21
Togo,TGO,2013,20.6324,17.6494
Turkmenistan,TKM,2015,0.39296,0.11869
Uganda,UGA,2017,14.7,11.8
Uruguay,URY,2010,5.1,2.3
Vietnam,VNM,2014,11.9079,12.46943
Zambia,ZMB,2012,20.2,20.1
