Entity,Code,Year,Girls (%),Boys (%)
Afghanistan,AFG,1990,16.97,18.01
Afghanistan,AFG,2000,12.38,13.350000000000001
Afghanistan,AFG,2010,8.55,9.42
Afghanistan,AFG,2015,6.88,7.720000000000001
Afghanistan,AFG,2017,6.370000000000001,7.18
Albania,ALB,1990,3.64,4.37
Albania,ALB,2000,2.22,2.67
Albania,ALB,2010,1.1,1.3
Albania,ALB,2015,0.86,1.01
Albania,ALB,2017,0.81,0.9500000000000001
Algeria,DZA,1990,4.53,5.370000000000001
Algeria,DZA,2000,3.6700000000000004,4.25
Algeria,DZA,2010,2.58,2.89
Algeria,DZA,2015,2.35,2.64
Algeria,DZA,2017,2.25,2.5500000000000003
Andorra,AND,1990,0.76,0.9400000000000001
Andorra,AND,2000,0.45,0.54
Andorra,AND,2010,0.36000000000000004,0.43
Andorra,AND,2015,0.32000000000000006,0.39
Andorra,AND,2017,0.30000000000000004,0.36000000000000004
Angola,AGO,1990,21.16,23.5
Angola,AGO,2000,19.450000000000003,21.75
Angola,AGO,2010,11.31,12.92
Angola,AGO,2015,8.24,9.51
Angola,AGO,2017,7.490000000000001,8.690000000000001
Antigua and Barbuda,ATG,1990,2.34,2.9000000000000004
Antigua and Barbuda,ATG,2000,1.32,1.6500000000000001
Antigua and Barbuda,ATG,2010,0.8800000000000001,1.08
Antigua and Barbuda,ATG,2015,0.7200000000000001,0.87
Antigua and Barbuda,ATG,2017,0.67,0.81
Arab World,,1990,7.749948921226751,8.46189496775029
Arab World,,2000,5.7235086821292205,6.447771504401221
Arab World,,2010,4.045709220469471,4.63148857353782
Arab World,,2015,3.5454216914072902,4.08273248158971
Arab World,,2017,3.39625425542771,3.9215757220521397
Argentina,ARG,1990,2.5700000000000003,3.18
Argentina,ARG,2000,1.7600000000000002,2.19
Argentina,ARG,2010,1.3,1.6
Argentina,ARG,2015,1.03,1.25
Argentina,ARG,2017,0.9400000000000001,1.1300000000000001
Armenia,ARM,1990,4.46,5.43
Armenia,ARM,2000,2.67,3.3100000000000005
Armenia,ARM,2010,1.6,2
Armenia,ARM,2015,1.2400000000000002,1.55
Armenia,ARM,2017,1.1199999999999999,1.4000000000000001
Australia,AUS,1990,0.81,1.03
Australia,AUS,2000,0.55,0.68
Australia,AUS,2010,0.43,0.53
Australia,AUS,2015,0.35000000000000003,0.41
Australia,AUS,2017,0.32000000000000006,0.38
Austria,AUT,1990,0.8400000000000001,1.06
Austria,AUT,2000,0.49000000000000005,0.6000000000000001
Austria,AUT,2010,0.39,0.47000000000000003
Austria,AUT,2015,0.33,0.41
Austria,AUT,2017,0.32000000000000006,0.39
Azerbaijan,AZE,1990,8.92,10.11
Azerbaijan,AZE,2000,6.920000000000001,7.990000000000001
Azerbaijan,AZE,2010,3.3700000000000006,4.1000000000000005
Azerbaijan,AZE,2015,2.35,2.92
