Entity,Code,Year,"Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%) (%)"
Afghanistan,AFG,1973,25.3046092987061
Afghanistan,AFG,1974,31.0114402770996
Afghanistan,AFG,1977,57.7483406066895
Afghanistan,AFG,1978,46.0629806518555
Afghanistan,AFG,1980,45.4965515136719
Afghanistan,AFG,1981,43.1259918212891
Afghanistan,AFG,1982,26.2322006225586
Afghanistan,AFG,1984,33.0602684020996
Afghanistan,AFG,1985,27.8980808258057
Afghanistan,AFG,1993,6.02165985107422
Albania,ALB,1996,14.4832496643066
Albania,ALB,2000,7.86035013198853
Albania,ALB,2006,6.86288022994995
Albania,ALB,2007,8.26531982421875
Albania,ALB,2008,9.09049987792969
Albania,ALB,2009,6.22700023651123
Albania,ALB,2010,4.32403993606567
Albania,ALB,2011,2.61281991004944
Albania,ALB,2012,0.615970015525818
Albania,ALB,2013,1.70974004268646
Algeria,DZA,1971,52.1970596313477
Algeria,DZA,1972,51.2345809936523
Algeria,DZA,1973,44.0300216674805
Algeria,DZA,1974,23.3761405944824
Algeria,DZA,1975,29.5210094451904
Algeria,DZA,1976,40.2052612304688
Algeria,DZA,1977,44.5152587890625
Algeria,DZA,1978,41.1665496826172
Algeria,DZA,1979,31.1983203887939
Algeria,DZA,1980,28.375509262085
Algeria,DZA,1982,32.6226081848145
Algeria,DZA,1984,36.1338195800781
Algeria,DZA,1985,36.5389099121094
Algeria,DZA,1989,16.3477401733398
Algeria,DZA,1990,23.3456001281738
Algeria,DZA,1991,24.4461708068848
Algeria,DZA,1992,22.5878105163574
Algeria,DZA,1993,25.1202392578125
Algeria,DZA,1994,24.4088497161865
Algeria,DZA,1995,22.8820304870605
Algeria,DZA,1996,23.661060333252
Algeria,DZA,1997,29.8832702636719
Algeria,DZA,1998,19.7046394348145
Algeria,DZA,1999,29.9724502563477
Algeria,DZA,2000,20.3066596984863
Algeria,DZA,2001,17.4063892364502
Algeria,DZA,2002,20.3839893341064
Algeria,DZA,2003,23.0782203674316
Algeria,DZA,2004,21.2327995300293
Algeria,DZA,2005,21.5504894256592
Algeria,DZA,2006,16.3012504577637
Algeria,DZA,2007,34.3908615112305
Algeria,DZA,2008,29.5652809143066
Algeria,DZA,2009,31.1808109283447
Algeria,DZA,2010,28.101900100708
Algeria,DZA,2011,25.210620880127
Algeria,DZA,2012,27.8396892547607
Algeria,DZA,2013,26.1075305938721
Andorra,AND,2006,22.4427795410156
Andorra,AND,2007,19.798360824585
Andorra,AND,2008,22.9443702697754
Andorra,AND,2009,15.1176700592041
Andorra,AND,2010,19.6721000671387
Andorra,AND,2011,17.5843105316162
Andorra,AND,2012,14.179630279541
Andorra,AND,2013,11.8507795333862
Angola,AGO,1982,91.1759490966797
Antigua and Barbuda,ATG,1992,22.6643104553223
Antigua and Barbuda,ATG,2008,38.6502685546875
Antigua and Barbuda,ATG,2009,27.2149600982666
Argentina,ARG,1970,20.2506198883057
Argentina,ARG,1971,24.8592700958252
Argentina,ARG,1974,20.7451400756836
Argentina,ARG,1975,18.7783393859863
Argentina,ARG,1999,11.9216403961182
Argentina,ARG,2000,11.9965696334839
Argentina,ARG,2001,12.8433504104614
Argentina,ARG,2002,16.4154300689697
Argentina,ARG,2003,13.4659299850464
Argentina,ARG,2004,16.3858509063721
Argentina,ARG,2005,16.5985794067383
Argentina,ARG,2006,19.2977905273438
Argentina,ARG,2007,18.6517601013184
Argentina,ARG,2008,17.2890396118164
Argentina,ARG,2009,19.0853004455566
Argentina,ARG,2010,18.6241302490234
Argentina,ARG,2011,16.0166893005371
Argentina,ARG,2012,16.9964694976807
Armenia,ARM,1994,16.0381393432617
Armenia,ARM,2002,7.73780012130737
Armenia,ARM,2003,5.69299983978271
Armenia,ARM,2004,1.35872995853424
Armenia,ARM,2005,1.66038000583649
Armenia,ARM,2006,2.86906003952026
Armenia,ARM,2007,5.01360988616943
Armenia,ARM,2008,2.93751001358032
Aruba,ABW,1999,5.10046005249023
Aruba,ABW,2000,9.57003974914551
Aruba,ABW,2001,3.98839998245239
