Entity,Code,Year,"Outbound mobility ratio, all regions, both sexes (%) (%)"
Afghanistan,AFG,2003,11.8251895904541
Afghanistan,AFG,2004,11.481840133667
Afghanistan,AFG,2009,5.82507991790771
Afghanistan,AFG,2011,9.67016983032227
Albania,ALB,1998,12.8015203475952
Albania,ALB,1999,12.1681995391846
Albania,ALB,2000,14.521050453186
Albania,ALB,2001,18.0767498016357
Albania,ALB,2002,20.4175701141357
Albania,ALB,2003,26.3196697235107
Albania,ALB,2004,25.7385597229004
Albania,ALB,2005,24.0923595428467
Albania,ALB,2006,23.3657093048096
Albania,ALB,2007,22.9437808990479
Albania,ALB,2008,23.1722793579102
Albania,ALB,2009,24.408109664917
Albania,ALB,2010,19.4668807983398
Albania,ALB,2011,18.8786792755127
Albania,ALB,2012,15.2139196395874
Albania,ALB,2013,13.9556798934937
Algeria,DZA,1999,3.83734011650085
Algeria,DZA,2001,2.81754994392395
Algeria,DZA,2002,2.75816011428833
Algeria,DZA,2003,3.11738991737366
Algeria,DZA,2004,3.44281005859375
Algeria,DZA,2005,3.12697005271912
Algeria,DZA,2006,3.05790996551514
Algeria,DZA,2007,2.55855989456177
Algeria,DZA,2009,1.9592399597168
Algeria,DZA,2010,1.99690997600555
Algeria,DZA,2011,2.01602005958557
Algeria,DZA,2012,2.0409300327301
Algeria,DZA,2013,1.65223002433777
Andorra,AND,2002,267.228454589844
Andorra,AND,2003,293.137237548828
Andorra,AND,2004,369.788513183594
Andorra,AND,2005,317.236846923828
Andorra,AND,2006,76.034912109375
Andorra,AND,2008,261.350769042969
Andorra,AND,2012,267.413452148438
Andorra,AND,2013,218.855285644531
Angola,AGO,1998,62.2885894775391
Angola,AGO,1999,68.1070709228516
Angola,AGO,2002,48.1656913757324
Angola,AGO,2003,14.1911001205444
Angola,AGO,2004,18.7117004394531
Angola,AGO,2005,16.6445293426514
Angola,AGO,2006,16.9787902832031
Angola,AGO,2011,5.63340997695923
Angola,AGO,2013,3.17640995979309
Antigua and Barbuda,ATG,2009,64.8666000366211
Antigua and Barbuda,ATG,2010,56.5811996459961
Antigua and Barbuda,ATG,2011,58.7369613647461
Antigua and Barbuda,ATG,2012,30.9988803863525
Arab World,,1997,4.12284994125366
Arab World,,1998,3.7892599105835
Arab World,,1999,3.43269991874695
Arab World,,2000,3.45303010940552
Arab World,,2001,3.3877100944519
Arab World,,2002,3.47072005271912
Arab World,,2003,3.58957004547119
Arab World,,2004,3.35510993003845
Arab World,,2005,3.19501996040344
Arab World,,2006,3.13643002510071
Arab World,,2007,3.04317998886108
Arab World,,2008,3.07477998733521
Arab World,,2009,3.14963006973267
Arab World,,2010,3.21635007858276
Arab World,,2011,3.49246001243591
Arab World,,2012,3.5869300365448
Arab World,,2013,3.63486003875732
Argentina,ARG,1998,0.374509990215302
Argentina,ARG,1999,0.366169989109039
Argentina,ARG,2000,0.389759987592697
Argentina,ARG,2001,0.358319997787476
Argentina,ARG,2002,0.392639994621277
Argentina,ARG,2003,0.451810002326965
Argentina,ARG,2004,0.392850011587143
Argentina,ARG,2005,0.397430002689362
Argentina,ARG,2006,0.37814000248909
Argentina,ARG,2007,0.377909988164902
Argentina,ARG,2008,0.40667000412941
Argentina,ARG,2009,0.378450006246567
Argentina,ARG,2010,0.38688999414444
Argentina,ARG,2011,0.350309997797012
Argentina,ARG,2012,0.296070009469986
Armenia,ARM,1998,2.20233011245728
Armenia,ARM,1999,2.04606008529663
Armenia,ARM,2000,2.14141011238098
Armenia,ARM,2001,2.67494988441467
Armenia,ARM,2002,2.3364200592041
Armenia,ARM,2003,3.00407004356384
Armenia,ARM,2004,2.64827990531921
Armenia,ARM,2005,2.96816992759705
Armenia,ARM,2006,2.94159007072449
