Entity,Code,Year, (Annual hours worked per worker)
Argentina,ARG,1950,2034
Argentina,ARG,1951,2037.87
Argentina,ARG,1952,2041.74
Argentina,ARG,1953,2045.62
Argentina,ARG,1954,2049.51
Argentina,ARG,1955,2053.41
Argentina,ARG,1956,2057.31
Argentina,ARG,1957,2061.22
Argentina,ARG,1958,2065.14
Argentina,ARG,1959,2069.07
Argentina,ARG,1960,2073
Argentina,ARG,1961,2066.2
Argentina,ARG,1962,2059.42
Argentina,ARG,1963,2052.67
Argentina,ARG,1964,2045.94
Argentina,ARG,1965,2039.22
Argentina,ARG,1966,2032.54
Argentina,ARG,1967,2025.87
Argentina,ARG,1968,2019.22
Argentina,ARG,1969,2012.6
Argentina,ARG,1970,2006
Argentina,ARG,1971,2002.66
Argentina,ARG,1972,1999.33
Argentina,ARG,1973,1996
Argentina,ARG,1974,1992.84
Argentina,ARG,1975,1989.69
Argentina,ARG,1976,1986.54
Argentina,ARG,1977,1983.4
Argentina,ARG,1978,1980.26
Argentina,ARG,1979,1977.13
Argentina,ARG,1980,1974
Argentina,ARG,1981,1961.23
Argentina,ARG,1982,1948.54
Argentina,ARG,1983,1935.94
Argentina,ARG,1984,1923.41
Argentina,ARG,1985,1910.97
Argentina,ARG,1986,1898.61
Argentina,ARG,1987,1886.33
Argentina,ARG,1988,1874.12
Argentina,ARG,1989,1862
Argentina,ARG,1990,1850
Argentina,ARG,1991,1837.96
Argentina,ARG,1992,1826
Argentina,ARG,1993,1850.34
Argentina,ARG,1994,1875
Argentina,ARG,1995,1898.79
Argentina,ARG,1996,1844.88
Argentina,ARG,1997,1908.97
Argentina,ARG,1998,1903
Argentina,ARG,1999,1898.74
Argentina,ARG,2000,1864.04
Argentina,ARG,2001,1808.82
Argentina,ARG,2002,1618.56
Argentina,ARG,2003,1732.1
Argentina,ARG,2004,1754.55
Argentina,ARG,2005,1767.13
Argentina,ARG,2006,1807.44
Argentina,ARG,2007,1814.03
Argentina,ARG,2008,1830.44
Argentina,ARG,2009,1753.3
Argentina,ARG,2010,1743.19
Argentina,ARG,2011,1759.39
Argentina,ARG,2012,1754.87
Argentina,ARG,2013,1739.85
Argentina,ARG,2014,1743.3
Argentina,ARG,2015,1743.3
Argentina,ARG,2016,1743.3
Armenia,ARM,2009,1826
Armenia,ARM,2010,1873
Armenia,ARM,2011,1842
Armenia,ARM,2012,1842
Armenia,ARM,2013,1842
Armenia,ARM,2014,1842
Armenia,ARM,2015,1842
