Entity,Code,Year,Genuine saving ($),GDP ($)
Argentina,ARG,1900,69.36,2915.58
Argentina,ARG,1901,123.28,3077.47
Argentina,ARG,1902,83.99,2930.59
Argentina,ARG,1903,105.54,3259.57
Argentina,ARG,1904,156.84,3509.5
Argentina,ARG,1905,226.31,3862.89
Argentina,ARG,1906,305.78,3876.84
Argentina,ARG,1907,303.5,3782.96
Argentina,ARG,1908,275.29,3968.29
Argentina,ARG,1909,358.35,3982.45
Argentina,ARG,1910,333.44,4082.46
Argentina,ARG,1911,318.09,3995.78
Argentina,ARG,1912,275.02,4157.14
Argentina,ARG,1913,351.41,4037.82
Argentina,ARG,1914,112.5,3478.79
Argentina,ARG,1915,29.06,3363.79
Argentina,ARG,1916,-3.63,3211.15
Argentina,ARG,1917,-25.13,2900.45
Argentina,ARG,1918,-39.38,3376.07
Argentina,ARG,1919,-18.39,3440.7
Argentina,ARG,1920,29.84,3629
Argentina,ARG,1921,53.08,3611.5
Argentina,ARG,1922,62.99,3782.26
Argentina,ARG,1923,13.63,4077.58
Argentina,ARG,1924,27.75,4263.97
Argentina,ARG,1925,65.01,4120.28
Argentina,ARG,1926,75.06,4290.33
Argentina,ARG,1927,115.07,4381.11
Argentina,ARG,1928,127.82,4529.26
Argentina,ARG,1929,142.04,4590.18
Argentina,ARG,1930,163.42,4487.36
Argentina,ARG,1931,87.79,3929.72
Argentina,ARG,1932,22.83,3731.09
Argentina,ARG,1933,45.63,3833.26
Argentina,ARG,1934,185.28,4062.08
Argentina,ARG,1935,243.33,4163.75
Argentina,ARG,1936,287.93,4127.16
Argentina,ARG,1937,437.08,4359.32
Argentina,ARG,1938,396.83,4309.89
Argentina,ARG,1939,226.77,4404.34
Argentina,ARG,1940,186.67,4408.01
Argentina,ARG,1941,112.16,4562.78
Argentina,ARG,1942,60.94,4545.43
Argentina,ARG,1943,30.84,4440.39
Argentina,ARG,1944,58.06,4868.53
Argentina,ARG,1945,76.13,4638.94
Argentina,ARG,1946,197.63,4938.5
Argentina,ARG,1947,442.13,5362.25
Argentina,ARG,1948,462.8,5531.5
Argentina,ARG,1949,358.67,5332.58
Argentina,ARG,1950,340.53,5276.11
Argentina,ARG,1951,341.07,5366.34
Argentina,ARG,1952,302.74,4993.75
Argentina,ARG,1953,274.75,5156.32
Argentina,ARG,1954,263.04,5268.14
Argentina,ARG,1955,297.99,5536.77
Argentina,ARG,1956,317.31,5589.08
Argentina,ARG,1957,361.93,5777
Argentina,ARG,1958,385.76,6026.31
Argentina,ARG,1959,302.87,5544.11
Argentina,ARG,1960,431.04,5883.58
Argentina,ARG,1961,433.91,6200.69
Argentina,ARG,1962,315.61,6006.73
Argentina,ARG,1963,197.57,5774
Argentina,ARG,1964,173.46,6272.2
Argentina,ARG,1965,199.04,6744.35
Argentina,ARG,1966,203.29,6689.25
Argentina,ARG,1967,210.19,6769.67
Argentina,ARG,1968,233.91,6961.49
Argentina,ARG,1969,260.34,7447.23
Argentina,ARG,1970,313.57,7729.55
Argentina,ARG,1971,334.4,7891.25
Argentina,ARG,1972,358.15,7920.04
Argentina,ARG,1973,300.97,8077.01
Argentina,ARG,1974,283.6,8370.75
Argentina,ARG,1975,374.88,8186.54
Argentina,ARG,1976,424.01,8059.07
Argentina,ARG,1977,417.27,8444.84
Argentina,ARG,1978,355.35,8051.68
Argentina,ARG,1979,319.57,8489.39
Argentina,ARG,1980,277.53,8356.33
Argentina,ARG,1981,191.1,7903.31
Argentina,ARG,1982,65,7537.66
Argentina,ARG,1983,51.24,7728.89
Argentina,ARG,1984,134.08,7765.05
Argentina,ARG,1985,10.76,7118.28
Argentina,ARG,1986,34.45,7514.24
Argentina,ARG,1987,61.73,7596.01
Argentina,ARG,1988,68.29,7344.3
Argentina,ARG,1989,24.7,6737.73
Argentina,ARG,1990,-28.24,6522.79
Argentina,ARG,1991,5.31,7115.06
Argentina,ARG,1992,79.1,7694.52
Argentina,ARG,1993,123.7,8028.73
Argentina,ARG,1994,82.29,8389.56
Argentina,ARG,1995,70.4,8051.01
Argentina,ARG,1996,47.75,8395.43
Argentina,ARG,1997,105.02,8972.19
Argentina,ARG,1998,152.31,9213.84
Argentina,ARG,1999,220.24,8736.28
Argentina,ARG,2000,26.34,8644.77
Australia,AUS,1900,-208.56,4954.99
Australia,AUS,1901,-119.4,4811.64
Australia,AUS,1902,68.12,5227.56
Australia,AUS,1903,-134.01,4837.13
Australia,AUS,1904,402.08,5312.99
Australia,AUS,1905,189.5,5146.46
Australia,AUS,1906,340.43,5299.32
Australia,AUS,1907,580.66,5945.79
Australia,AUS,1908,228.49,5402.58
Australia,AUS,1909,425.14,5489.25
Australia,AUS,1910,663.81,5673.27
Australia,AUS,1911,494.36,5984.05
Australia,AUS,1912,240.71,5682.04
Australia,AUS,1913,581.25,6060.71
Australia,AUS,1914,583.43,6004.97
Australia,AUS,1915,-254.42,5296.42
Australia,AUS,1916,68.09,5963.87
Australia,AUS,1917,291.53,5708.21
Australia,AUS,1918,290.25,5498.8
Australia,AUS,1919,299.64,5389.19
Australia,AUS,1920,306.89,4992.18
Australia,AUS,1921,700.32,5571.73
Australia,AUS,1922,751.39,5733.52
Australia,AUS,1923,473.67,5805.97
Australia,AUS,1924,395.82,5903.61
Australia,AUS,1925,793.09,6161.19
Australia,AUS,1926,282.33,5862.57
Australia,AUS,1927,266.31,5985.8
Australia,AUS,1928,326.96,5832.91
Australia,AUS,1929,313.68,5649.51
Australia,AUS,1930,-75.79,5673.5
Australia,AUS,1931,-43.7,5100.12
Australia,AUS,1932,101.58,5145.07
Australia,AUS,1933,36.37,5411.77
Australia,AUS,1934,197.07,5571.46
Australia,AUS,1935,28.42,5654.6
Australia,AUS,1936,120.89,5894.24
Australia,AUS,1937,294.69,6030.45
Australia,AUS,1938,335.92,6358.11
Australia,AUS,1939,158.47,6044.64
Australia,AUS,1940,358.08,6310.21
Australia,AUS,1941,364.47,6719.89
Australia,AUS,1942,701.9,7644.72
Australia,AUS,1943,1037.02,8232.03
Australia,AUS,1944,1526.84,8047.66
Australia,AUS,1945,1134.48,7498.93
Australia,AUS,1946,998.36,7103.96
Australia,AUS,1947,485.51,6781.65
Australia,AUS,1948,699.86,7184.8
Australia,AUS,1949,646.89,7302.9
Australia,AUS,1950,537.58,7652.41
Australia,AUS,1951,1018.71,7874.54
Australia,AUS,1952,212.62,7952.14
Australia,AUS,1953,866.31,7738.65
Australia,AUS,1954,890.65,8047.85
Australia,AUS,1955,632.77,8320.01
Australia,AUS,1956,731.21,8529.85
Australia,AUS,1957,968.31,8499.82
Australia,AUS,1958,775.91,8510.41
Australia,AUS,1959,875.62,8948.47
Australia,AUS,1960,494.87,9270.38
Australia,AUS,1961,651.67,9294.46
Australia,AUS,1962,691.35,9225.2
Australia,AUS,1963,724.45,9662.93
Australia,AUS,1964,910.41,10078.4
Australia,AUS,1965,926.55,10527.07
Australia,AUS,1966,818.57,10617
Australia,AUS,1967,1011.98,11106.64
Australia,AUS,1968,735.02,11452.89
Australia,AUS,1969,1092.19,11916.75
Australia,AUS,1970,867.55,12509.39
Australia,AUS,1971,889,12510.64
Australia,AUS,1972,859.52,12855.4
Australia,AUS,1973,998.41,12898.12
Australia,AUS,1974,1102.6,13232.52
Australia,AUS,1975,1347.42,13319.1
Australia,AUS,1976,1339.61,13480.11
Australia,AUS,1977,1401.44,13839.62
Australia,AUS,1978,1167.02,13780.23
Australia,AUS,1979,1513.46,14216.91
Australia,AUS,1980,1521.15,14442.83
Australia,AUS,1981,1540.8,14694
Australia,AUS,1982,1760.05,14942.55
Australia,AUS,1983,985.15,14418.98
Australia,AUS,1984,1048.05,14910.65
Australia,AUS,1985,1096.19,15417.54
Australia,AUS,1986,1129.83,15906.23
