Entity,Code,Year,Wind (kilowatt-hours)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.00771872098856198
Africa,,1994,0.02031685509587579
Africa,,1995,0.02311395767308918
Africa,,1996,0.025408215529791254
Africa,,1997,0.025137864619013284
Africa,,1998,0.02589207263134286
Africa,,1999,0.06583069824031211
Africa,,2000,0.5711060883198683
Africa,,2001,1.3177800545150533
Africa,,2002,1.3742605855624817
Africa,,2003,1.6327653571346683
Africa,,2004,2.26496122566302
Africa,,2005,2.2474103860361536
Africa,,2006,2.3886273448941533
Africa,,2007,2.7771605458394837
Africa,,2008,3.4963874258726
Africa,,2009,4.130019537562646
Africa,,2010,5.783593313149955
Africa,,2011,6.261727063500562
Africa,,2012,7.122024068632081
Africa,,2013,8.34141090736461
Africa,,2014,11.77637345504738
Africa,,2015,19.778658973582267
Africa,,2016,24.52448879332378
Africa,,2017,27.06385645217261
Africa,,2018,30.289656279972075
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0676081145308807
Algeria,DZA,2015,1.258558154953685
Algeria,DZA,2016,1.2363933848733695
Algeria,DZA,2017,1.208050409045882
Algeria,DZA,2018,0.6231835305958132
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.7181107592350906
Argentina,ARG,1997,1.0769274975460639
Argentina,ARG,1998,2.374572656462302
Argentina,ARG,1999,2.5099116732936633
Argentina,ARG,2000,2.4807688012258957
Argentina,ARG,2001,3.4847452969739243
Argentina,ARG,2002,5.126348262565681
Argentina,ARG,2003,5.386003596408319
Argentina,ARG,2004,4.952908876909489
Argentina,ARG,2005,4.852697265060552
Argentina,ARG,2006,4.664371490201069
Argentina,ARG,2007,4.0844381816349165
Argentina,ARG,2008,2.7544305711077848
Argentina,ARG,2009,2.394216616357483
Argentina,ARG,2010,1.6313270412754304
Argentina,ARG,2011,1.6934929365924494
Argentina,ARG,2012,23.310287390252665
Argentina,ARG,2013,28.273749887667076
Argentina,ARG,2014,38.234426372953706
Argentina,ARG,2015,36.248584875681956
Argentina,ARG,2016,33.106978632205575
Argentina,ARG,2017,36.62942046111479
Argentina,ARG,2018,83.8040397340006
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.2989920184059536
Australia,AUS,1994,0.8131741215798641
Australia,AUS,1995,1.023789682098594
Australia,AUS,1996,1.0127575870031338
Australia,AUS,1997,1.0734128835590364
Australia,AUS,1998,2.5484704433206007
Australia,AUS,1999,6.022881607408985
Australia,AUS,2000,18.568352300563426
Australia,AUS,2001,39.346869260744995
Australia,AUS,2002,72.37147283851348
Australia,AUS,2003,94.41312465756218
Australia,AUS,2004,105.23668345020121
Australia,AUS,2005,169.41139975766887
Australia,AUS,2006,277.19657217236676
Australia,AUS,2007,358.8413808266399
Australia,AUS,2008,426.64467509047444
Australia,AUS,2009,536.9081637446556
Australia,AUS,2010,592.1201107479126
Australia,AUS,2011,751.0123255470761
Australia,AUS,2012,887.5719248140064
Australia,AUS,2013,1047.7656190668674
Australia,AUS,2014,1090.3944467464823
Australia,AUS,2015,1297.7559226366375
Australia,AUS,2016,1412.8498668816717
Australia,AUS,2017,1412.2785610030508
Australia,AUS,2018,1719.276120028115
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.3293589799749687
Austria,AUT,1996,1.6410440571214768
Austria,AUT,1997,6.551920407070832
