Entity,Code,Year,Drank on 5 or more days in last week (%)
"10,000 or less (income in pounds)",,2016,7.3
"10,000-15,000 (income in pounds)",,2016,9.7
"15,000-20,000 (income in pounds)",,2016,9.1
"20,000-29,000 (income in pounds)",,2016,9.2
"30,000-40,000 (income in pounds)",,2016,11.8
"40,000+ (income in pounds)",,2016,13.3
Both (16 to 24),,2005,7.1
Both (16 to 24),,2006,5.6
Both (16 to 24),,2007,6.3
Both (16 to 24),,2008,4.1
Both (16 to 24),,2009,4.3
Both (16 to 24),,2010,3.6
Both (16 to 24),,2011,3.9
Both (16 to 24),,2012,3.5
Both (16 to 24),,2013,2.1
Both (16 to 24),,2014,2.7
Both (16 to 24),,2015,3.5
Both (16 to 24),,2016,2.1
Both (25 to 44),,2005,13.9
Both (25 to 44),,2006,12.8
Both (25 to 44),,2007,14.5
Both (25 to 44),,2008,11.1
Both (25 to 44),,2009,10.1
Both (25 to 44),,2010,9.1
Both (25 to 44),,2011,8.1
Both (25 to 44),,2012,7.2
Both (25 to 44),,2013,6.5
Both (25 to 44),,2014,6.2
Both (25 to 44),,2015,6.3
Both (25 to 44),,2016,5
Both (45 to 64),,2005,22.1
Both (45 to 64),,2006,20.1
Both (45 to 64),,2007,20.5
Both (45 to 64),,2008,19.5
Both (45 to 64),,2009,17.9
Both (45 to 64),,2010,16.4
Both (45 to 64),,2011,16.8
Both (45 to 64),,2012,14.4
Both (45 to 64),,2013,13.6
Both (45 to 64),,2014,14.9
Both (45 to 64),,2015,15.1
Both (45 to 64),,2016,11.9
Both (65 and over),,2005,19.4
Both (65 and over),,2006,20.4
Both (65 and over),,2007,21.3
Both (65 and over),,2008,20.1
Both (65 and over),,2009,19.5
Both (65 and over),,2010,19.4
Both (65 and over),,2011,18.3
Both (65 and over),,2012,18.2
Both (65 and over),,2013,18.3
Both (65 and over),,2014,19.3
Both (65 and over),,2015,20.7
Both (65 and over),,2016,17.7
Both (All aged 16+),,2005,16.8
Both (All aged 16+),,2006,15.8
Both (All aged 16+),,2007,16.8
Both (All aged 16+),,2008,14.9
Both (All aged 16+),,2009,14
Both (All aged 16+),,2010,13
Both (All aged 16+),,2011,12.7
Both (All aged 16+),,2012,11.2
Both (All aged 16+),,2013,10.6
Both (All aged 16+),,2014,11.3
Both (All aged 16+),,2015,11.8
Both (All aged 16+),,2016,9.6
Cohabiting,,2016,7.8
Females (16 to 24),,2005,4.8
Females (16 to 24),,2006,3.2
Females (16 to 24),,2007,3.8
Females (16 to 24),,2008,2.2
Females (16 to 24),,2009,2.2
Females (16 to 24),,2010,2.3
Females (16 to 24),,2011,3.4
Females (16 to 24),,2012,2.3
Females (16 to 24),,2013,2.2
Females (16 to 24),,2014,1.5
Females (16 to 24),,2015,2.9
Females (16 to 24),,2016,1.3
Females (25 to 44),,2005,10.5
Females (25 to 44),,2006,9.2
Females (25 to 44),,2007,11.1
Females (25 to 44),,2008,8.7
Females (25 to 44),,2009,7.4
Females (25 to 44),,2010,6.5
Females (25 to 44),,2011,5.9
Females (25 to 44),,2012,4.9
Females (25 to 44),,2013,4.8
Females (25 to 44),,2014,4.2
Females (25 to 44),,2015,4.5
Females (25 to 44),,2016,3.4
Females (45 to 64),,2005,17.1
Females (45 to 64),,2006,14.9
Females (45 to 64),,2007,15.1
Females (45 to 64),,2008,15.4
Females (45 to 64),,2009,13.6
Females (45 to 64),,2010,13.1
Females (45 to 64),,2011,12.4
Females (45 to 64),,2012,11.3
Females (45 to 64),,2013,10
Females (45 to 64),,2014,10.3
Females (45 to 64),,2015,12
Females (45 to 64),,2016,9.4
Females (65 and over),,2005,14
Females (65 and over),,2006,15.1
Females (65 and over),,2007,15.4
Females (65 and over),,2008,14.6
Females (65 and over),,2009,13.6
Females (65 and over),,2010,14.3
Females (65 and over),,2011,13.4
Females (65 and over),,2012,14
Females (65 and over),,2013,13.3
Females (65 and over),,2014,14.8
Females (65 and over),,2015,16.4
Females (65 and over),,2016,12.4
Females (All aged 16+),,2005,12.6
Females (All aged 16+),,2006,11.5
Females (All aged 16+),,2007,12.4
Females (All aged 16+),,2008,11.4
Females (All aged 16+),,2009,10.2
Females (All aged 16+),,2010,9.9
Females (All aged 16+),,2011,9.4
Females (All aged 16+),,2012,8.6
Females (All aged 16+),,2013,8
Females (All aged 16+),,2014,8.2
Females (All aged 16+),,2015,9.4
Females (All aged 16+),,2016,7.1
Males (16 to 24),,2005,9.5
Males (16 to 24),,2006,8.2
Males (16 to 24),,2007,8.9
Males (16 to 24),,2008,6.3
Males (16 to 24),,2009,6.7
Males (16 to 24),,2010,5.1
Males (16 to 24),,2011,4.5
Males (16 to 24),,2012,4.6
Males (16 to 24),,2013,2
Males (16 to 24),,2014,4
Males (16 to 24),,2015,4
Males (16 to 24),,2016,2.8
Males (25 to 44),,2005,17.8
Males (25 to 44),,2006,16.8
Males (25 to 44),,2007,18.3
Males (25 to 44),,2008,13.9
Males (25 to 44),,2009,13.2
Males (25 to 44),,2010,11.9
Males (25 to 44),,2011,10.6
Males (25 to 44),,2012,9.5
Males (25 to 44),,2013,8.1
Males (25 to 44),,2014,8.1
Males (25 to 44),,2015,8.2
Males (25 to 44),,2016,6.6
Males (45 to 64),,2005,27.5
Males (45 to 64),,2006,25.9
Males (45 to 64),,2007,26.6
Males (45 to 64),,2008,24
Males (45 to 64),,2009,22.6
Males (45 to 64),,2010,20.1
Males (45 to 64),,2011,21.5
Males (45 to 64),,2012,17.6
Males (45 to 64),,2013,17.4
Males (45 to 64),,2014,19.6
Males (45 to 64),,2015,18.3
Males (45 to 64),,2016,14.5
Males (65 and over),,2005,26.4
Males (65 and over),,2006,27.2
Males (65 and over),,2007,28.9
Males (65 and over),,2008,27
Males (65 and over),,2009,26.8
Males (65 and over),,2010,25.6
Males (65 and over),,2011,24.3
Males (65 and over),,2012,23.3
Males (65 and over),,2013,24.3
Males (65 and over),,2014,24.6
Males (65 and over),,2015,25.6
Males (65 and over),,2016,23.8
Males (All aged 16+),,2005,21.5
Males (All aged 16+),,2006,20.7
Males (All aged 16+),,2007,21.8
Males (All aged 16+),,2008,19
Males (All aged 16+),,2009,18.4
Males (All aged 16+),,2010,16.6
Males (All aged 16+),,2011,16.4
Males (All aged 16+),,2012,14
Males (All aged 16+),,2013,13.4
Males (All aged 16+),,2014,14.5
Males (All aged 16+),,2015,14.4
Males (All aged 16+),,2016,12.1
Married,,2016,12
Single,,2016,4.8
Widowed/Divorced/Separated,,2016,10.3
