Entity,Code,Year,Maximum ozone hole area (square kilometres),Mean ozone hole area (square kilometres)
World,OWID_WRL,1979,1100000,100000
World,OWID_WRL,1980,3300000,1400000
World,OWID_WRL,1981,3100000,600000
World,OWID_WRL,1982,10800000,4800000
World,OWID_WRL,1983,12200000,7900000
World,OWID_WRL,1984,14700000,10100000
World,OWID_WRL,1985,18800000,14200000
World,OWID_WRL,1986,14400000,11300000
World,OWID_WRL,1987,22400000,19300000
World,OWID_WRL,1988,13800000,10000000
World,OWID_WRL,1989,21700000,18700000
World,OWID_WRL,1990,21100000,19200000
World,OWID_WRL,1991,22600000,18800000
World,OWID_WRL,1992,24900000,22300000
World,OWID_WRL,1993,25800000,24200000
World,OWID_WRL,1994,25200000,23600000
World,OWID_WRL,1996,26900000,22800000
World,OWID_WRL,1997,25100000,22100000
World,OWID_WRL,1998,27900000,25900000
World,OWID_WRL,1999,25800000,23300000
World,OWID_WRL,2000,29900000,24800000
World,OWID_WRL,2001,26500000,25000000
World,OWID_WRL,2002,21900000,12000000
World,OWID_WRL,2003,28400000,25800000
World,OWID_WRL,2004,22800000,19500000
World,OWID_WRL,2005,27300000,24400000
World,OWID_WRL,2006,29600000,26600000
World,OWID_WRL,2007,25200000,22000000
World,OWID_WRL,2008,27000000,25200000
World,OWID_WRL,2009,24400000,22000000
World,OWID_WRL,2010,22600000,19400000
World,OWID_WRL,2011,26100000,24700000
World,OWID_WRL,2012,21100000,17800000
World,OWID_WRL,2013,24000000,21000000
World,OWID_WRL,2014,24100000,20900000
World,OWID_WRL,2015,28200000,25600000
World,OWID_WRL,2016,23000000,20700000
World,OWID_WRL,2017,19600000,17400000
