Entity,Code,Year,Males (%),Both sexes (%),Females (%)
Angola,AGO,2014,77.61,78.64,79.8
Azerbaijan,AZE,2014,77.21,73.92,70.66
Azerbaijan,AZE,2015,77.81,74.12,70.47
Azerbaijan,AZE,2016,77.01,73.42,69.84
Azerbaijan,AZE,2017,88.38,84,79.72
Bahrain,BHR,2015,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bangladesh,BGD,2017,54.3,42.51,30.91
Belarus,BLR,2017,91.48,93.49,94.99
Brazil,BRA,2014,83.3,84.35,85.34
Brazil,BRA,2015,82.2,83.89,85.46
Brazil,BRA,2016,81.76,82.89,83.95
Brazil,BRA,2017,82.58,83.1,83.58
Brunei,BRN,2016,99,99,99
Burundi,BDI,2014,16.03,11.43,7.27
Cameroon,CMR,2014,,75.37,
Cape Verde,CPV,2015,74.1,71.04,68.46
Cape Verde,CPV,2016,73.61,72.39,71.19
Cape Verde,CPV,2017,74.66,74.21,73.75
Chile,CHL,2016,91.56,95.32,98.82
Chile,CHL,2017,86.67,92.01,97.15
Colombia,COL,2014,68.03,69.32,70.57
Colombia,COL,2015,70.08,71.47,72.82
Colombia,COL,2016,70.98,72.06,73.1
Colombia,COL,2017,71.81,73.15,74.46
Costa Rica,CRI,2015,85.8,86.02,86.23
Costa Rica,CRI,2016,87.33,87.21,87.1
Cote d'Ivoire,CIV,2015,,54.59,
Cote d'Ivoire,CIV,2016,,59.84,
Cote d'Ivoire,CIV,2017,81.38,64.83,47.19
Cuba,CUB,2014,,24.13,
Cuba,CUB,2015,,31.92,
Cuba,CUB,2016,,37.97,
Curacao,CUW,2017,86.45,87.25,87.9
Cyprus,CYP,2014,98.31,96.65,95.13
Cyprus,CYP,2015,99.33,97.88,96.53
Cyprus,CYP,2016,96.51,94.65,92.94
Cyprus,CYP,2017,100.19,99.4,98.67
Czech Republic,CZE,2014,97.38,96.83,96.3
Czech Republic,CZE,2015,97.18,97.01,96.86
Denmark,DNK,2016,82.47,82.82,83.16
Djibouti,DJI,2017,61.32,56.34,51.57
Dominican Republic,DOM,2015,,91.9,
Dominican Republic,DOM,2016,83.92,83.93,83.95
Dominican Republic,DOM,2017,69.63,69.34,69.06
Ecuador,ECU,2014,54.92,53.94,52.99
