Entity,Code,Year,Child deaths from rotavirus (deaths of under-5s)
Afghanistan,AFG,2016,840
Albania,ALB,2016,0
Algeria,DZA,2016,43
American Samoa,ASM,2016,0
Andorra,AND,2016,0
Angola,AGO,2016,2004
Antigua and Barbuda,ATG,2016,0
Argentina,ARG,2016,28
Armenia,ARM,2016,1
Australia,AUS,2016,2
Austria,AUT,2016,1
Azerbaijan,AZE,2016,27
Bahamas,BHS,2016,0
Bahrain,BHR,2016,0
Bangladesh,BGD,2016,782
Barbados,BRB,2016,0
Belarus,BLR,2016,1
Belgium,BEL,2016,2
Belize,BLZ,2016,1
Benin,BEN,2016,1806
Bermuda,BMU,2016,0
Bhutan,BTN,2016,3
Bolivia,BOL,2016,44
Bosnia and Herzegovina,BIH,2016,1
Botswana,BWA,2016,11
Brazil,BRA,2016,259
Brunei,BRN,2016,0
Bulgaria,BGR,2016,2
Burkina Faso,BFA,2016,2699
Burundi,BDI,2016,1814
Cambodia,KHM,2016,96
Cameroon,CMR,2016,1961
Canada,CAN,2016,1
Cape Verde,CPV,2016,3
Caribbean,,2016,198
Central African Republic,CAF,2016,1232
Central Asia,,2016,237
Central Europe,,2016,24
Central Sub-Saharan Africa,,2016,15617
Chad,TCD,2016,4229
Chile,CHL,2016,2
China,CHN,2016,474
Colombia,COL,2016,85
Comoros,COM,2016,18
Congo,COG,2016,273
Costa Rica,CRI,2016,3
Cote d'Ivoire,CIV,2016,2596
Croatia,HRV,2016,0
Cuba,CUB,2016,3
Cyprus,CYP,2016,0
Czech Republic,CZE,2016,1
Democratic Republic of Congo,COD,2016,12058
Denmark,DNK,2016,2
Djibouti,DJI,2016,19
Dominica,DMA,2016,0
Dominican Republic,DOM,2016,34
East Asia,,2016,649
Eastern Europe,,2016,55
Eastern Sub-Saharan Africa,,2016,16300
Ecuador,ECU,2016,19
Egypt,EGY,2016,904
El Salvador,SLV,2016,16
England,,2016,5
Equatorial Guinea,GNQ,2016,5
Eritrea,ERI,2016,289
Estonia,EST,2016,0
Ethiopia,ETH,2016,2649
Fiji,FJI,2016,4
Finland,FIN,2016,0
France,FRA,2016,18
Gabon,GAB,2016,44
Gambia,GMB,2016,37
Georgia,GEO,2016,1
Germany,DEU,2016,6
Ghana,GHA,2016,664
Greece,GRC,2016,0
Greenland,GRL,2016,0
Grenada,GRD,2016,0
Guam,GUM,2016,0
Guatemala,GTM,2016,139
Guinea,GIN,2016,850
Guinea-Bissau,GNB,2016,195
Guyana,GUY,2016,5
Haiti,HTI,2016,146
High-income,,2016,134
High-income Asia Pacific,,2016,10
Honduras,HND,2016,50
Hungary,HUN,2016,1
Iceland,ISL,2016,0
India,IND,2016,10282
Indonesia,IDN,2016,1994
Iran,IRN,2016,156
Iraq,IRQ,2016,312
