Entity,Code,Year,Female to Male log Wage Ratio (Blau and Kahn (2017)) (%)
Adjusted: Full specification,,1980,79.4
Adjusted: Full specification,,1989,92.4
Adjusted: Full specification,,1998,91.4
Adjusted: Full specification,,2010,91.6
Adjusted: Human capital specification,,1980,71.1
Adjusted: Human capital specification,,1989,81.5
Adjusted: Human capital specification,,1998,82.7
Adjusted: Human capital specification,,2010,82.1
Unadjusted,,1980,62.1
Unadjusted,,1989,74
Unadjusted,,1998,77.2
Unadjusted,,2010,79.3
