Entity,Code,Year,The gender wage gap (%)
Australia,AUS,1975,21.6
Australia,AUS,1976,20.8
Australia,AUS,1977,18.4
Australia,AUS,1978,19.8
Australia,AUS,1979,20
Australia,AUS,1980,18.8
Australia,AUS,1981,18.3
Australia,AUS,1982,20.8
Australia,AUS,1983,19.2
Australia,AUS,1984,18.7
Australia,AUS,1985,19.6
Australia,AUS,1986,18.8
Australia,AUS,1987,18.5
Australia,AUS,1988,18.8
Australia,AUS,1989,18.6
Australia,AUS,1990,18.2
Australia,AUS,1991,16
Australia,AUS,1992,14.3
Australia,AUS,1993,13.2
Australia,AUS,1994,14.4
Australia,AUS,1995,14.5
Australia,AUS,1997,15.3
Australia,AUS,1998,13.2
Australia,AUS,1999,14.3
Australia,AUS,2000,17.2
Australia,AUS,2001,14.3
Australia,AUS,2002,15
Australia,AUS,2003,13
Australia,AUS,2004,14.4
Australia,AUS,2005,15.8
Australia,AUS,2006,16.7
Australia,AUS,2007,15.4
Australia,AUS,2008,11.9
Australia,AUS,2009,16.4
Australia,AUS,2010,14
Australia,AUS,2011,16
Australia,AUS,2012,13.8
Australia,AUS,2013,18
Australia,AUS,2014,15.4
Australia,AUS,2015,13
Australia,AUS,2016,14.3
Austria,AUT,2000,23.1
Austria,AUT,2001,22.8
Austria,AUT,2002,24.5
Austria,AUT,2003,21.1
Austria,AUT,2004,22.4
Austria,AUT,2005,22
Austria,AUT,2006,21.9
Austria,AUT,2007,21.6
Austria,AUT,2008,20.9
Austria,AUT,2009,19.4
Austria,AUT,2010,19.2
Austria,AUT,2011,18.6
Austria,AUT,2012,18.2
Austria,AUT,2013,18.1
Austria,AUT,2014,17.7
Austria,AUT,2015,17
Belgium,BEL,1999,15.2
Belgium,BEL,2000,13.6
Belgium,BEL,2001,13.2
Belgium,BEL,2002,11.6
Belgium,BEL,2003,15.2
Belgium,BEL,2004,11.8
Belgium,BEL,2005,11.5
Belgium,BEL,2006,10.3
Belgium,BEL,2007,9.9
Belgium,BEL,2008,8.9
Belgium,BEL,2009,7.5
Belgium,BEL,2010,7
Belgium,BEL,2011,5.8
Belgium,BEL,2012,6.4
Belgium,BEL,2013,5.9
Belgium,BEL,2014,3.3
Canada,CAN,1997,24.7
Canada,CAN,1998,24.9
Canada,CAN,1999,24
Canada,CAN,2000,23.9
Canada,CAN,2001,24.3
Canada,CAN,2002,24
Canada,CAN,2003,22.5
Canada,CAN,2004,22.7
Canada,CAN,2005,21.3
Canada,CAN,2006,21.1
Canada,CAN,2007,20.8
Canada,CAN,2008,20.5
