Entity,Code,Year,Suite of Food Security Indicators - Prevalence of undernourishment (percent) (annual value) - 210040 - Value - 6121 - % (%)
Africa,,2000,24.5
Africa,,2001,24
Africa,,2002,23.5
Africa,,2003,23.1
Africa,,2004,22
Africa,,2005,21.2
Africa,,2006,20.5
Africa,,2007,20.3
Africa,,2008,20
Africa,,2009,19.6
Africa,,2010,19.1
Africa,,2011,18.8
Africa,,2012,18.5
Africa,,2013,18.3
Africa,,2014,18.2
Africa,,2015,18.3
Africa,,2016,19.2
Africa,,2017,19.8
Africa,,2018,19.9
Asia,,2000,16.9
Asia,,2001,17.3
Asia,,2002,17.7
Asia,,2003,17.8
Asia,,2004,17.7
Asia,,2005,17.4
Asia,,2006,16.5
Asia,,2007,15.5
Asia,,2008,14.8
Asia,,2009,14.2
Asia,,2010,13.6
Asia,,2011,13.3
Asia,,2012,12.9
Asia,,2013,12.6
Asia,,2014,12.1
Asia,,2015,11.7
Asia,,2016,11.5
Asia,,2017,11.4
Asia,,2018,11.3
"Asia, Central",,2000,12.6
"Asia, Central",,2001,14.3
"Asia, Central",,2002,14.6
"Asia, Central",,2003,13.8
"Asia, Central",,2004,12.3
"Asia, Central",,2005,11.1
"Asia, Central",,2006,9.6
"Asia, Central",,2007,8.6
"Asia, Central",,2008,8.2
"Asia, Central",,2009,7.8
"Asia, Central",,2010,7.3
"Asia, Central",,2011,6.6
"Asia, Central",,2012,6.1
"Asia, Central",,2013,5.8
"Asia, Central",,2014,5.6
"Asia, Central",,2015,5.5
"Asia, Central",,2016,5.5
"Asia, Central",,2017,5.7
"Asia, Central",,2018,5.7
Caribbean,,2000,23.7
Caribbean,,2001,23.2
Caribbean,,2002,24.1
Caribbean,,2003,24.5
Caribbean,,2004,24.5
Caribbean,,2005,23.3
Caribbean,,2006,22.4
Caribbean,,2007,22.1
Caribbean,,2008,21.8
Caribbean,,2009,20.9
Caribbean,,2010,19.8
Caribbean,,2011,19.3
Caribbean,,2012,19.3
Caribbean,,2013,19.1
Caribbean,,2014,18.7
Caribbean,,2015,18.3
