Entity,Code,Year,"Percentage of teachers in primary education who are trained, both sexes (%) (%)"
Algeria,DZA,1999,93.728141784668
Algeria,DZA,2000,94.6377334594727
Algeria,DZA,2001,95.6770172119141
Algeria,DZA,2002,97.1265411376953
Algeria,DZA,2003,97.9197616577148
Algeria,DZA,2004,98.3455963134766
Algeria,DZA,2005,98.5262832641602
Algeria,DZA,2006,99.267219543457
Algeria,DZA,2007,98.8581466674805
Algeria,DZA,2014,94.7082290649414
Andorra,AND,2006,100
Andorra,AND,2007,100
Andorra,AND,2008,100
Andorra,AND,2009,100
Andorra,AND,2010,100
Andorra,AND,2011,100
Andorra,AND,2012,100
Andorra,AND,2013,100
Andorra,AND,2014,100
Angola,AGO,2011,47.4864196777344
Antigua and Barbuda,ATG,2000,46.9064712524414
Antigua and Barbuda,ATG,2007,67.286247253418
Antigua and Barbuda,ATG,2008,52.8888893127441
Antigua and Barbuda,ATG,2009,57.1222991943359
Antigua and Barbuda,ATG,2010,54.7523384094238
Antigua and Barbuda,ATG,2011,64.8395690917969
Antigua and Barbuda,ATG,2012,60.1324501037598
Antigua and Barbuda,ATG,2014,70.1680679321289
Arab World,,2004,96.5625762939453
Arab World,,2005,93.7930679321289
Arab World,,2006,92.0428085327148
Arab World,,2007,90.8495635986328
Arab World,,2008,90.3660507202148
Arab World,,2009,91.1685333251953
Arab World,,2010,90.9318695068359
Arab World,,2012,83.1142272949219
Arab World,,2013,84.7397308349609
Arab World,,2014,84.8654022216797
Armenia,ARM,1999,89.3256301879883
Armenia,ARM,2004,66.6566390991211
Armenia,ARM,2005,77.4559631347656
Aruba,ABW,1999,100
Aruba,ABW,2000,100
Aruba,ABW,2001,100
Aruba,ABW,2002,100
Aruba,ABW,2003,100
Aruba,ABW,2004,100
Aruba,ABW,2005,100
Aruba,ABW,2006,99.4755172729492
Aruba,ABW,2007,100
Aruba,ABW,2008,99.4818725585938
Aruba,ABW,2009,99.8281784057617
Aruba,ABW,2010,100
Aruba,ABW,2011,99.8344421386719
Aruba,ABW,2012,99.5008316040039
Azerbaijan,AZE,1999,99.9755477905273
Azerbaijan,AZE,2000,99.9332809448242
Azerbaijan,AZE,2001,99.9432373046875
Azerbaijan,AZE,2002,100
Azerbaijan,AZE,2003,99.6254577636719
Azerbaijan,AZE,2004,99.818962097168
Azerbaijan,AZE,2005,99.9763336181641
Azerbaijan,AZE,2006,99.9814071655273
Azerbaijan,AZE,2007,99.9977264404297
Azerbaijan,AZE,2008,99.9408721923828
Azerbaijan,AZE,2009,99.9163513183594
Azerbaijan,AZE,2010,99.979362487793
Azerbaijan,AZE,2011,99.9884414672852
Azerbaijan,AZE,2012,99.9927215576172
Azerbaijan,AZE,2013,99.5684204101563
Azerbaijan,AZE,2014,99.5684204101563
Bahamas,BHS,1999,58.4372406005859
Bahamas,BHS,2002,95.1207504272461
Bahamas,BHS,2004,91.5348815917969
