Entity,Code,Year,Indicator 2.2.1: Prevalence of stunting in children under 5 (%) - Past - Unscaled (%)
Afghanistan,AFG,1990,62.582
Afghanistan,AFG,1995,61.876
Afghanistan,AFG,2000,63.784
Afghanistan,AFG,2005,61.896
Afghanistan,AFG,2010,57.588
Afghanistan,AFG,2016,53.08
Albania,ALB,1990,28.264
Albania,ALB,1995,27.506
Albania,ALB,2000,36.188
Albania,ALB,2005,27.002
Albania,ALB,2010,24.402
Albania,ALB,2016,21.921
Algeria,DZA,1990,25.318
Algeria,DZA,1995,33.423
Algeria,DZA,2000,34.105
Algeria,DZA,2005,19.754
Algeria,DZA,2010,13.873
Algeria,DZA,2016,11.138
Andorra,AND,1990,1.76
Andorra,AND,1995,1.309
Andorra,AND,2000,1.167
Andorra,AND,2005,1.153
Andorra,AND,2010,1.149
Andorra,AND,2016,1.119
Angola,AGO,1990,54.776
Angola,AGO,1995,55.287
Angola,AGO,2000,51.78
Angola,AGO,2005,42.226
Angola,AGO,2010,34.064
Angola,AGO,2016,30.143
Antigua and Barbuda,ATG,1990,9.826
Antigua and Barbuda,ATG,1995,9.07
Antigua and Barbuda,ATG,2000,7.601
Antigua and Barbuda,ATG,2005,7.662
Antigua and Barbuda,ATG,2010,7.21
Antigua and Barbuda,ATG,2016,6.857
Argentina,ARG,1990,11.714
Argentina,ARG,1995,13.958
Argentina,ARG,2000,9.856
Argentina,ARG,2005,7.865
Argentina,ARG,2010,7.322
Argentina,ARG,2016,6.721
Armenia,ARM,1990,16.913
Armenia,ARM,1995,17.081
Armenia,ARM,2000,18.377
Armenia,ARM,2005,17.507
Armenia,ARM,2010,21.257
Armenia,ARM,2016,16.732
Australia,AUS,1990,4.954
Australia,AUS,1995,4.389
Australia,AUS,2000,3.382
Australia,AUS,2005,3.125
Australia,AUS,2010,3.117
Australia,AUS,2016,2.916
Austria,AUT,1990,1.947
Austria,AUT,1995,1.398
Austria,AUT,2000,1.265
Austria,AUT,2005,1.217
Austria,AUT,2010,1.202
Austria,AUT,2016,1.177
Azerbaijan,AZE,1990,25.193
Azerbaijan,AZE,1995,26.801
Azerbaijan,AZE,2000,23.546
Azerbaijan,AZE,2005,27.625
Azerbaijan,AZE,2010,18.288
Azerbaijan,AZE,2016,14.006
Bahamas,BHS,1990,8.79
Bahamas,BHS,1995,8.522
Bahamas,BHS,2000,6.811
Bahamas,BHS,2005,6.805
Bahamas,BHS,2010,6.835
Bahamas,BHS,2016,6.815
Bahrain,BHR,1990,12.491
Bahrain,BHR,1995,12.373
Bahrain,BHR,2000,8.808
Bahrain,BHR,2005,4.332
Bahrain,BHR,2010,3.142
Bahrain,BHR,2016,2.933
Bangladesh,BGD,1990,63.811
Bangladesh,BGD,1995,61.081
Bangladesh,BGD,2000,57.784
Bangladesh,BGD,2005,47.817
Bangladesh,BGD,2010,46.849
Bangladesh,BGD,2016,37.26
Barbados,BRB,1990,8.919
Barbados,BRB,1995,8.312
Barbados,BRB,2000,7.61
Barbados,BRB,2005,7.421
Barbados,BRB,2010,7.294
Barbados,BRB,2016,7.074
Belarus,BLR,1990,6.211
Belarus,BLR,1995,6.014
Belarus,BLR,2000,6.198
Belarus,BLR,2005,5.452
Belarus,BLR,2010,4.947
Belarus,BLR,2016,4.557
Belgium,BEL,1990,1.881
Belgium,BEL,1995,1.345
Belgium,BEL,2000,1.226
Belgium,BEL,2005,1.204
Belgium,BEL,2010,1.191
Belgium,BEL,2016,1.156
Belize,BLZ,1990,24.375
Belize,BLZ,1995,20.051
Belize,BLZ,2000,18.189
Belize,BLZ,2005,20.353
Belize,BLZ,2010,18.762
Belize,BLZ,2016,13.862
Benin,BEN,1990,40.865
Benin,BEN,1995,39.382
Benin,BEN,2000,40.978
Benin,BEN,2005,46.324
Benin,BEN,2010,49.163
Benin,BEN,2016,32.252
Bhutan,BTN,1990,61.804
Bhutan,BTN,1995,59.559
Bhutan,BTN,2000,53.217
Bhutan,BTN,2005,38.673
Bhutan,BTN,2010,34.839
Bhutan,BTN,2016,28.019
Bolivia,BOL,1990,39.924
Bolivia,BOL,1995,35.646
Bolivia,BOL,2000,34.358
Bolivia,BOL,2005,31.257
Bolivia,BOL,2010,22.414
Bolivia,BOL,2016,17.485
Bosnia and Herzegovina,BIH,1990,15.041
Bosnia and Herzegovina,BIH,1995,15.402
Bosnia and Herzegovina,BIH,2000,11.782
Bosnia and Herzegovina,BIH,2005,12.151
Bosnia and Herzegovina,BIH,2010,15.628
Bosnia and Herzegovina,BIH,2016,14.001
Botswana,BWA,1990,26.337
Botswana,BWA,1995,27.988
Botswana,BWA,2000,29.688
Botswana,BWA,2005,31.514
Botswana,BWA,2010,30.512
Botswana,BWA,2016,23.212
Brazil,BRA,1990,21.647
Brazil,BRA,1995,15.762
Brazil,BRA,2000,11.838
Brazil,BRA,2005,8.13
Brazil,BRA,2010,6.752
Brazil,BRA,2016,6.001
Brunei,BRN,1990,12.116
Brunei,BRN,1995,11.18
Brunei,BRN,2000,10.024
Brunei,BRN,2005,9.302
Brunei,BRN,2010,9.42
Brunei,BRN,2016,8.371
Bulgaria,BGR,1990,11.842
Bulgaria,BGR,1995,11.89
Bulgaria,BGR,2000,12.092
Bulgaria,BGR,2005,10.989
Bulgaria,BGR,2010,10.006
Bulgaria,BGR,2016,9.315
Burkina Faso,BFA,1990,44.664
Burkina Faso,BFA,1995,53.754
Burkina Faso,BFA,2000,49.471
Burkina Faso,BFA,2005,50.148
Burkina Faso,BFA,2010,36.24
Burkina Faso,BFA,2016,30.379
Burundi,BDI,1990,53.109
Burundi,BDI,1995,52.961
Burundi,BDI,2000,59.014
Burundi,BDI,2005,59.815
Burundi,BDI,2010,56.451
Burundi,BDI,2016,50.859
Cambodia,KHM,1990,52.55
Cambodia,KHM,1995,51.682
Cambodia,KHM,2000,48.986
Cambodia,KHM,2005,51.986
Cambodia,KHM,2010,45.846
Cambodia,KHM,2016,33.248
Cameroon,CMR,1990,34.614
Cameroon,CMR,1995,38.396
Cameroon,CMR,2000,34.069
Cameroon,CMR,2005,37.371
Cameroon,CMR,2010,34.56
Cameroon,CMR,2016,29.739
Canada,CAN,1990,2.949
Canada,CAN,1995,2.746
Canada,CAN,2000,2.455
Canada,CAN,2005,2.245
Canada,CAN,2010,2.151
Canada,CAN,2016,2.084
Cape Verde,CPV,1990,28.032
Cape Verde,CPV,1995,22.41
Cape Verde,CPV,2000,18.334
Cape Verde,CPV,2005,15.584
Cape Verde,CPV,2010,13.371
Cape Verde,CPV,2016,11.021
Central African Republic,CAF,1990,31.107
Central African Republic,CAF,1995,40.344
Central African Republic,CAF,2000,46.021
Central African Republic,CAF,2005,45.485
Central African Republic,CAF,2010,42.184
Central African Republic,CAF,2016,38.453
Chad,TCD,1990,42.784
Chad,TCD,1995,43.26
Chad,TCD,2000,41.949
Chad,TCD,2005,42.118
Chad,TCD,2010,39.608
Chad,TCD,2016,36.615
Chile,CHL,1990,6.238
Chile,CHL,1995,3.424
Chile,CHL,2000,2.58
Chile,CHL,2005,3.768
Chile,CHL,2010,3.063
Chile,CHL,2016,2.176
China,CHN,1990,28.125
China,CHN,1995,25.953
China,CHN,2000,19.859
China,CHN,2005,15.087
China,CHN,2010,13.449
China,CHN,2016,11.611
Colombia,COL,1990,20.984
Colombia,COL,1995,19.883
Colombia,COL,2000,18.44
Colombia,COL,2005,15.315
Colombia,COL,2010,12.658
Colombia,COL,2016,10.989
Comoros,COM,1990,46.376
Comoros,COM,1995,45.735
Comoros,COM,2000,47.811
Comoros,COM,2005,40.033
Comoros,COM,2010,34.772
Comoros,COM,2016,29.645
Congo,COG,1990,20.763
Congo,COG,1995,20.993
Congo,COG,2000,27.037
Congo,COG,2005,29.881
Congo,COG,2010,24.49
Congo,COG,2016,20.061
Costa Rica,CRI,1990,10.27
Costa Rica,CRI,1995,9.122
Costa Rica,CRI,2000,8.001
Costa Rica,CRI,2005,7.398
Costa Rica,CRI,2010,6.798
Costa Rica,CRI,2016,6.229
Cote d'Ivoire,CIV,1990,28.415
Cote d'Ivoire,CIV,1995,33.925
Cote d'Ivoire,CIV,2000,33.918
Cote d'Ivoire,CIV,2005,40.407
Cote d'Ivoire,CIV,2010,35.311
Cote d'Ivoire,CIV,2016,29.26
Croatia,HRV,1990,8.439
Croatia,HRV,1995,10.149
Croatia,HRV,2000,10.155
Croatia,HRV,2005,8.862
Croatia,HRV,2010,8.114
Croatia,HRV,2016,7.715
Cuba,CUB,1990,4.655
Cuba,CUB,1995,4.449
Cuba,CUB,2000,5.758
Cuba,CUB,2005,4.597
Cuba,CUB,2010,6.755
Cuba,CUB,2016,8.455
Cyprus,CYP,1990,2.497
Cyprus,CYP,1995,1.644
Cyprus,CYP,2000,1.371
Cyprus,CYP,2005,1.291
Cyprus,CYP,2010,1.253
Cyprus,CYP,2016,1.224
Czech Republic,CZE,1990,3.218
Czech Republic,CZE,1995,3.206
Czech Republic,CZE,2000,2.905
Czech Republic,CZE,2005,2.755
Czech Republic,CZE,2010,2.7
Czech Republic,CZE,2016,2.608
Democratic Republic of Congo,COD,1990,47.917
Democratic Republic of Congo,COD,1995,44.07
Democratic Republic of Congo,COD,2000,45.056
Democratic Republic of Congo,COD,2005,44.422
Democratic Republic of Congo,COD,2010,44.038
Democratic Republic of Congo,COD,2016,38.379
Denmark,DNK,1990,1.718
Denmark,DNK,1995,1.275
Denmark,DNK,2000,1.142
Denmark,DNK,2005,1.125
Denmark,DNK,2010,1.124
Denmark,DNK,2016,1.11
Djibouti,DJI,1990,33.476
Djibouti,DJI,1995,36.319
Djibouti,DJI,2000,30.627
Djibouti,DJI,2005,31.983
Djibouti,DJI,2010,32.48
Djibouti,DJI,2016,27.108
Dominica,DMA,1990,13.46
Dominica,DMA,1995,11.87
Dominica,DMA,2000,9.493
Dominica,DMA,2005,9.137
Dominica,DMA,2010,8.704
Dominica,DMA,2016,8.271
Dominican Republic,DOM,1990,21.401
Dominican Republic,DOM,1995,15.344
Dominican Republic,DOM,2000,10.175
Dominican Republic,DOM,2005,11.535
Dominican Republic,DOM,2010,10.544
Dominican Republic,DOM,2016,8.253
Ecuador,ECU,1990,33.584
Ecuador,ECU,1995,30.583
Ecuador,ECU,2000,30.287
Ecuador,ECU,2005,27.922
Ecuador,ECU,2010,23.48
Ecuador,ECU,2016,20.331
Egypt,EGY,1990,32.555
Egypt,EGY,1995,33.303
Egypt,EGY,2000,26.508
Egypt,EGY,2005,25.564
Egypt,EGY,2010,26.307
Egypt,EGY,2016,19.839
El Salvador,SLV,1990,38.37
El Salvador,SLV,1995,33.04
El Salvador,SLV,2000,32.091
El Salvador,SLV,2005,24.488
El Salvador,SLV,2010,18.787
El Salvador,SLV,2016,13.985
Equatorial Guinea,GNQ,1990,52.707
Equatorial Guinea,GNQ,1995,54.102
Equatorial Guinea,GNQ,2000,47.548
Equatorial Guinea,GNQ,2005,39.725
Equatorial Guinea,GNQ,2010,26.013
Equatorial Guinea,GNQ,2016,21.09
Eritrea,ERI,1990,54.571
Eritrea,ERI,1995,56.306
Eritrea,ERI,2000,46.33
Eritrea,ERI,2005,39.9
Eritrea,ERI,2010,35.037
Eritrea,ERI,2016,30.462
Estonia,EST,1990,13.732
Estonia,EST,1995,13.494
Estonia,EST,2000,10.365
Estonia,EST,2005,7.348
Estonia,EST,2010,6.485
Estonia,EST,2016,5.795
Ethiopia,ETH,1990,50.744
Ethiopia,ETH,1995,52.334
Ethiopia,ETH,2000,49.621
Ethiopia,ETH,2005,44.173
Ethiopia,ETH,2010,44.062
Ethiopia,ETH,2016,41.44
Fiji,FJI,1990,6.753
Fiji,FJI,1995,6.09
Fiji,FJI,2000,6.837
Fiji,FJI,2005,7.769
Fiji,FJI,2010,6.792
Fiji,FJI,2016,6.088
Finland,FIN,1990,1.895
Finland,FIN,1995,1.387
Finland,FIN,2000,1.235
Finland,FIN,2005,1.181
Finland,FIN,2010,1.168
Finland,FIN,2016,1.149
France,FRA,1990,2.147
France,FRA,1995,1.476
France,FRA,2000,1.32
France,FRA,2005,1.272
France,FRA,2010,1.259
France,FRA,2016,1.228
Gabon,GAB,1990,26.568
Gabon,GAB,1995,25.38
Gabon,GAB,2000,25.803
