Entity,Code,Year,Informal employment (% of total non-agricultural employment) (% of total non-agricultural employment)
Albania,ALB,2011,39.5800018310547
Albania,ALB,2012,40.1699981689453
Albania,ALB,2013,33.1100006103516
Angola,AGO,2004,68.2200012207031
Angola,AGO,2011,68.0999984741211
Argentina,ARG,2004,59.3199996948242
Argentina,ARG,2005,57.7599983215332
Argentina,ARG,2006,55.0299987792969
Argentina,ARG,2008,49.9500007629395
Argentina,ARG,2009,49.4300003051758
Argentina,ARG,2010,48.1500015258789
Argentina,ARG,2011,47.5999984741211
Argentina,ARG,2012,47.7299995422363
Argentina,ARG,2013,47.3300018310547
Argentina,ARG,2014,46.7900009155273
Argentina,ARG,2017,47.9300003051758
Armenia,ARM,2014,37.5499992370605
Armenia,ARM,2015,26.5100002288818
Armenia,ARM,2016,24.8799991607666
Bangladesh,BGD,2010,82.1999969482422
Bangladesh,BGD,2013,82.3899993896484
Bangladesh,BGD,2017,91.3000030517578
Benin,BEN,2011,94.5400009155273
Bolivia,BOL,2005,93.5899963378906
Bolivia,BOL,2006,94.0599975585938
Bolivia,BOL,2007,76.9199981689453
Bolivia,BOL,2008,79.6800003051758
Bolivia,BOL,2009,77.6999969482422
Bolivia,BOL,2011,76.5899963378906
Bolivia,BOL,2012,75.6399993896484
Bolivia,BOL,2013,72.6800003051758
Bolivia,BOL,2014,78.8099975585938
Bolivia,BOL,2015,78.2200012207031
Bolivia,BOL,2016,77.8000030517578
Bolivia,BOL,2017,78.7200012207031
Brazil,BRA,2009,41.9799995422363
Brazil,BRA,2011,38.5400009155273
Brazil,BRA,2012,38.2400016784668
Brazil,BRA,2013,37.0499992370605
Brazil,BRA,2014,37.7900009155273
Brazil,BRA,2015,38.2700004577637
Brunei,BRN,2014,32.9900016784668
Cambodia,KHM,2012,90.1999969482422
Cameroon,CMR,2007,79.2099990844727
Chile,CHL,2010,41.7799987792969
Chile,CHL,2011,40.9300003051758
Chile,CHL,2012,38.6500015258789
Chile,CHL,2013,37.7900009155273
Chile,CHL,2014,38.9199981689453
Chile,CHL,2015,38.8600006103516
Chile,CHL,2016,39.2700004577637
Chile,CHL,2017,41.1300010681152
Colombia,COL,2010,62.2999992370605
Colombia,COL,2011,61.6100006103516
Colombia,COL,2012,61.0499992370605
Colombia,COL,2013,59.4099998474121
