Entity,Code,Year, (hectares per person)
Africa,,"10,000 BCE",0
Africa,,"9,000 BCE",0
Africa,,"8,000 BCE",0
Africa,,"7,000 BCE",0.011509142
Africa,,"6,000 BCE",0.168429385
Africa,,"5,000 BCE",0.580913205
Africa,,"4,000 BCE",1.952985288
Africa,,"3,000 BCE",1.62840318
Africa,,"2,000 BCE",1.089204512
Africa,,"1,000 BCE",0.954750413
Africa,,0,0.793277286
Africa,,100,0.770452738
Africa,,200,0.748364191
Africa,,300,0.727364364
Africa,,400,0.707011541
Africa,,500,0.691439107
Africa,,600,0.67665859
Africa,,700,0.655435809
Africa,,800,0.638646924
Africa,,900,0.627626575
Africa,,1000,0.617595155
Africa,,1100,0.606707523
Africa,,1200,0.596975882
Africa,,1300,0.588095353
Africa,,1400,0.584997063
Africa,,1500,0.581484171
Africa,,1600,0.581571455
Africa,,1700,0.583024035
Africa,,1710,0.586884732
Africa,,1720,0.587709203
Africa,,1730,0.588493799
Africa,,1740,0.589234172
Africa,,1750,0.58993695
Africa,,1760,0.590607406
Africa,,1770,0.591230498
Africa,,1780,0.591829582
Africa,,1790,0.59237195
Africa,,1800,0.592892505
Africa,,1810,0.599779949
Africa,,1820,0.597966791
Africa,,1830,0.594861423
Africa,,1840,0.591375842
Africa,,1850,0.588273069
Africa,,1860,0.589463276
Africa,,1870,0.58577153
Africa,,1880,0.583146703
Africa,,1890,0.573658147
Africa,,1900,0.568769057
Africa,,1910,0.566200728
Africa,,1920,0.562709065
Africa,,1930,0.561187706
Africa,,1940,0.565748728
Africa,,1950,0.579576451
Africa,,1960,0.59263521
Africa,,1970,0.500228371
Africa,,1980,0.401340926
Africa,,1990,0.326436199
Africa,,2000,0.27635225
Africa,,2001,0.271640236
Africa,,2002,0.268909664
Africa,,2003,0.269676393
Africa,,2004,0.266136937
Africa,,2005,0.266181536
Africa,,2006,0.263609238
Africa,,2007,0.260200929
Africa,,2008,0.256286274
Africa,,2009,0.252559591
Africa,,2010,0.252598602
Africa,,2011,0.252465338
Africa,,2012,0.255072907
Africa,,2013,0.252535982
Africa,,2014,0.253454711
Africa,,2015,0.253713569
Africa,,2016,0.253689704
Brazil,BRA,"10,000 BCE",0
Brazil,BRA,"9,000 BCE",0
Brazil,BRA,"8,000 BCE",0
Brazil,BRA,"7,000 BCE",0
Brazil,BRA,"6,000 BCE",0
Brazil,BRA,"5,000 BCE",0
Brazil,BRA,"4,000 BCE",0.003912113
Brazil,BRA,"3,000 BCE",0.006176834
Brazil,BRA,"2,000 BCE",0.009220776
Brazil,BRA,"1,000 BCE",0.014134237
Brazil,BRA,0,0.021474316
Brazil,BRA,100,0.021450838
Brazil,BRA,200,0.021362893
Brazil,BRA,300,0.021320594
Brazil,BRA,400,0.021285034
Brazil,BRA,500,0.021238573
Brazil,BRA,600,0.02118751
Brazil,BRA,700,0.021117686
Brazil,BRA,800,0.021063411
Brazil,BRA,900,0.021044205
Brazil,BRA,1000,0.021029374
Brazil,BRA,1100,0.021006878
Brazil,BRA,1200,0.021003002
Brazil,BRA,1300,0.020999753
Brazil,BRA,1400,0.020990801
Brazil,BRA,1500,0.021021697
Brazil,BRA,1600,0.117387608
Brazil,BRA,1700,0.247655114
Brazil,BRA,1710,0.234366184
Brazil,BRA,1720,0.219590048
Brazil,BRA,1730,0.205564702
Brazil,BRA,1740,0.19135632
Brazil,BRA,1750,0.177390572
Brazil,BRA,1760,0.164069801
Brazil,BRA,1770,0.150916651
Brazil,BRA,1780,0.138610736
Brazil,BRA,1790,0.126907212
Brazil,BRA,1800,0.115998203
Brazil,BRA,1810,0.112195951
Brazil,BRA,1820,0.112161695
Brazil,BRA,1830,0.112169878
Brazil,BRA,1840,0.112135239
Brazil,BRA,1850,0.112169329
Brazil,BRA,1860,0.112171635
Brazil,BRA,1870,0.112151826
Brazil,BRA,1880,0.112169091
Brazil,BRA,1890,0.112166626
Brazil,BRA,1900,0.112154042
Brazil,BRA,1910,0.112151978
Brazil,BRA,1920,0.215651851
