Entity,Code,Year,Firms with female top manager (% of firms) (% of firms)
Afghanistan,AFG,2008,0.7
Afghanistan,AFG,2014,4.7
Albania,ALB,2013,11.7
Angola,AGO,2010,13.5
Antigua and Barbuda,ATG,2010,17.5
Arab World,,2017,4.7
Argentina,ARG,2010,9.2
Argentina,ARG,2017,8
Armenia,ARM,2009,13.5
Armenia,ARM,2013,19.1
Azerbaijan,AZE,2009,4.7
Azerbaijan,AZE,2013,2.4
Bahamas,BHS,2010,33.2
Bangladesh,BGD,2007,1.3
Bangladesh,BGD,2013,4.8
Barbados,BRB,2010,25.4
Belarus,BLR,2008,24.8
Belarus,BLR,2013,32.7
Belize,BLZ,2010,25.5
Benin,BEN,2009,26.9
Benin,BEN,2016,25.9
Bhutan,BTN,2015,26.3
Bolivia,BOL,2010,21.7
Bolivia,BOL,2017,26.3
Bosnia and Herzegovina,BIH,2009,13.5
Bosnia and Herzegovina,BIH,2013,24.1
Botswana,BWA,2010,16.5
Brazil,BRA,2009,19.4
Bulgaria,BGR,2009,25.7
Bulgaria,BGR,2013,23.9
Burkina Faso,BFA,2009,11.3
Burundi,BDI,2014,16.3
Cambodia,KHM,2016,57.3
Cameroon,CMR,2009,10
Cameroon,CMR,2016,22.9
Cape Verde,CPV,2009,16.7
Caribbean small states,,2017,23.8615384615385
Central African Republic,CAF,2011,12.1
Central Europe and the Baltics,,2017,20.5363636363636
Chad,TCD,2009,6.8
Chile,CHL,2010,4.5
China,CHN,2012,17.5
Colombia,COL,2010,12.1
Congo,COG,2009,17.2
Costa Rica,CRI,2010,15.4
Cote d'Ivoire,CIV,2016,14.3
Croatia,HRV,2013,18.7
Czech Republic,CZE,2009,18.4
Czech Republic,CZE,2013,11.6
Democratic Republic of Congo,COD,2010,13.7
Democratic Republic of Congo,COD,2013,10.8
Djibouti,DJI,2013,14.2
Dominica,DMA,2010,23.6
Dominican Republic,DOM,2010,11
Dominican Republic,DOM,2016,21.2
Early-demographic dividend,,2017,19.3622222222222
East Asia & Pacific,,2017,32.7461538461539
East Asia & Pacific (IDA & IBRD),,2017,32.7461538461538
East Asia & Pacific (excluding high income),,2017,32.7461538461538
Ecuador,ECU,2010,17
Ecuador,ECU,2017,22.9
Egypt,EGY,2013,7.1
Egypt,EGY,2016,4.9
El Salvador,SLV,2010,21.4
El Salvador,SLV,2016,28
Eritrea,ERI,2009,7.6
Estonia,EST,2009,25.8
Estonia,EST,2013,25.3
Ethiopia,ETH,2011,13.6
Ethiopia,ETH,2015,4.5
Euro area,,2017,22.12
Europe & Central Asia,,2017,18.92
Europe & Central Asia (IDA & IBRD),,2017,18.75
Europe & Central Asia (excluding high income),,2017,18.66
European Union,,2017,19.8666666666667
Fragile and conflict affected situations,,2017,12.6454545454545
Gabon,GAB,2009,11.5
Georgia,GEO,2008,19.8
Georgia,GEO,2013,32
Ghana,GHA,2013,14.9
Grenada,GRD,2010,24
Guatemala,GTM,2010,15.7
Guinea,GIN,2016,5.8
Guyana,GUY,2010,17.7
Heavily indebted poor countries (HIPC),,2017,15.5310344827586
High income,,2017,18.455
Honduras,HND,2010,31.7
Honduras,HND,2016,28
Hungary,HUN,2009,13.8
Hungary,HUN,2013,20.4
IBRD only,,2017,18.5267857142857
IDA & IBRD total,,2017,18.5432432432432
IDA blend,,2017,21.2785714285714
IDA only,,2017,17.6317073170732
IDA total,,2017,18.56
India,IND,2014,8.9
Indonesia,IDN,2009,31.2
Indonesia,IDN,2015,22.1
Iraq,IRQ,2011,2.3
Israel,ISR,2013,10.1
Jamaica,JAM,2010,24.1
Jordan,JOR,2013,2.4
Kazakhstan,KAZ,2009,24.7
Kazakhstan,KAZ,2013,18.9
Kenya,KEN,2013,13.4
Kosovo,OWID_KOS,2009,0.3
Kosovo,OWID_KOS,2013,7.2
Kyrgyzstan,KGZ,2009,23
Kyrgyzstan,KGZ,2013,28.8
Laos,LAO,2012,32.2
Laos,LAO,2016,45.3
Late-demographic dividend,,2017,20.6514285714286
Latin America & Caribbean,,2017,21.2866666666667
Latin America & Caribbean (IDA & IBRD),,2017,20.7142857142857
Latin America & Caribbean (excluding high income),,2017,22.5714285714286
Latvia,LVA,2009,31.3
Latvia,LVA,2013,31.5
Least developed countries: UN classification,,2017,17.5971428571429
Lebanon,LBN,2009,29.1
Lebanon,LBN,2013,4.4
Lesotho,LSO,2009,21.6
Lesotho,LSO,2016,36.2
Liberia,LBR,2009,29.9
Liberia,LBR,2017,20.4
Lithuania,LTU,2009,15.1
Lithuania,LTU,2013,21
Low & middle income,,2017,18.5844660194175
Low income,,2017,13.4083333333333
Lower middle income,,2017,20.2048780487805
Macedonia,MKD,2009,19.1
Macedonia,MKD,2013,25.7
Madagascar,MDG,2013,28.2
Malawi,MWI,2009,15.6
Malawi,MWI,2014,14.2
Malaysia,MYS,2007,8.7
Malaysia,MYS,2015,26.3
Mali,MLI,2010,21
Mali,MLI,2016,11.6
Mauritania,MRT,2014,4.5
Mexico,MEX,2010,14.6
Middle East & North Africa,,2017,5.39
Middle East & North Africa (IDA & IBRD),,2017,5.325
Middle East & North Africa (excluding high income),,2017,4.86666666666667
Middle income,,2017,20.1569620253165
Moldova,MDA,2009,20.6
Moldova,MDA,2013,25.7
Mongolia,MNG,2009,36.4
Mongolia,MNG,2013,35.6
Montenegro,MNE,2009,24.5
Montenegro,MNE,2013,19.3
Morocco,MAR,2013,4.3
Myanmar,MMR,2014,29.5
Myanmar,MMR,2016,41.1
Namibia,NAM,2014,27.4
Nepal,NPL,2009,13.4
Nepal,NPL,2013,17.2
Nicaragua,NIC,2010,32.3
Nicaragua,NIC,2016,27
Niger,NER,2009,11.3
Niger,NER,2017,10.6
Nigeria,NGA,2014,13.9
OECD members,,2017,15.775
Other small states,,2017,24.4
Pacific island small states,,2017,22.6
Pakistan,PAK,2013,6
Palestine,PSE,2013,1.2
Panama,PAN,2010,23.5
Papua New Guinea,PNG,2015,13.8
Paraguay,PRY,2010,22.8
Paraguay,PRY,2017,19.6
Peru,PER,2010,14.1
Peru,PER,2017,19.9
Philippines,PHL,2009,32.7
Philippines,PHL,2015,29.9
Poland,POL,2009,31.1
Poland,POL,2013,20.6
Post-demographic dividend,,2017,20.45
Pre-demographic dividend,,2017,13.9964285714286
Romania,ROU,2009,24.7
Romania,ROU,2013,20.1
Russia,RUS,2009,14.3
Russia,RUS,2012,20.1
Rwanda,RWA,2011,19.7
Saint Kitts and Nevis,KNA,2010,21.1
Saint Lucia,LCA,2010,23.7
Saint Vincent and the Grenadines,VCT,2010,38.6
Senegal,SEN,2014,14.1
Serbia,SRB,2009,15.9
Serbia,SRB,2013,14.3
Sierra Leone,SLE,2009,7.1
Sierra Leone,SLE,2017,15.9
Slovakia,SVK,2009,19.8
Slovakia,SVK,2013,14
Slovenia,SVN,2009,15.9
Slovenia,SVN,2013,18.8
Small states,,2017,24.0173913043478
Solomon Islands,SLB,2015,22.6
South Asia,,2017,10.9571428571429
South Asia (IDA & IBRD),,2017,10.9571428571429
South Sudan,SSD,2014,9.5
Sri Lanka,LKA,2011,8.8
Sub-Saharan Africa,,2017,15.7818181818182
Sub-Saharan Africa (IDA & IBRD),,2017,15.7818181818182
Sub-Saharan Africa (excluding high income),,2017,15.7818181818182
Sudan,SDN,2014,3.4
Suriname,SUR,2010,15
Swaziland,SWZ,2016,27.4
Sweden,SWE,2014,12.5
Syrian Arab Republic,,2009,22.8
Tajikistan,TJK,2008,11.8
Tajikistan,TJK,2013,9.6
Tanzania,TZA,2013,14
Thailand,THA,2016,64.8
Timor,TLS,2015,27
Togo,TGO,2009,15.1
Togo,TGO,2016,11.4
Trinidad and Tobago,TTO,2010,20.8
Tunisia,TUN,2013,8.5
Turkey,TUR,2008,12.4
Turkey,TUR,2013,5.4
Uganda,UGA,2013,15.4
Ukraine,UKR,2008,27.9
Ukraine,UKR,2013,18.8
Upper middle income,,2017,20.1052631578947
Uruguay,URY,2010,19.4
Uruguay,URY,2017,10.6
Uzbekistan,UZB,2008,11.4
Uzbekistan,UZB,2013,13.4
Venezuela,VEN,2010,31.1
Vietnam,VNM,2009,26.4
Vietnam,VNM,2015,22.4
World,OWID_WRL,2017,18.5634146341463
Yemen,YEM,2010,0.1
Yemen,YEM,2013,1.6
Zambia,ZMB,2013,23.8
Zimbabwe,ZWE,2011,17.4
Zimbabwe,ZWE,2016,16.3
