Entity,Code,Year,2.5.2 - Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS (%)
Albania,ALB,2000,16.66667
Albania,ALB,2001,16.66667
Albania,ALB,2002,28.57143
Albania,ALB,2003,28.57143
Albania,ALB,2004,28.57143
Albania,ALB,2005,50
Albania,ALB,2006,50
Albania,ALB,2007,50
Albania,ALB,2008,50
Albania,ALB,2009,50
Albania,ALB,2010,50
Albania,ALB,2011,33.33333
Albania,ALB,2012,80
Albania,ALB,2013,55.55556
Albania,ALB,2014,55.55556
Albania,ALB,2015,55.55556
Albania,ALB,2016,55.55556
Albania,ALB,2017,55.55556
Albania,ALB,2018,55.55556
Albania,ALB,2019,55.55556
Argentina,ARG,2010,0
Argentina,ARG,2011,0
Argentina,ARG,2012,0
Argentina,ARG,2013,0
Argentina,ARG,2014,0
Argentina,ARG,2015,0
Argentina,ARG,2016,0
Argentina,ARG,2017,25
Argentina,ARG,2018,20
Argentina,ARG,2019,20
Australia,AUS,2000,66.66667
Australia,AUS,2001,66.66667
Australia,AUS,2002,66.66667
Australia,AUS,2003,100
Australia,AUS,2004,100
Australia,AUS,2005,100
Australia,AUS,2006,100
Australia,AUS,2007,100
Australia,AUS,2008,100
Australia,AUS,2009,100
Australia,AUS,2010,100
Australia,AUS,2011,100
Australia,AUS,2012,100
Australia,AUS,2013,100
Australia,AUS,2014,100
Australia,AUS,2015,100
Australia,AUS,2016,100
Australia,AUS,2017,100
Australia,AUS,2018,100
Australia,AUS,2019,100
Austria,AUT,2000,100
Austria,AUT,2001,100
Austria,AUT,2002,100
Austria,AUT,2003,100
Austria,AUT,2004,100
Austria,AUT,2005,100
Austria,AUT,2006,100
Austria,AUT,2007,100
Austria,AUT,2008,100
Austria,AUT,2009,100
Austria,AUT,2010,100
Austria,AUT,2011,100
Austria,AUT,2012,100
Austria,AUT,2013,95.83333
Austria,AUT,2014,95.83333
Austria,AUT,2015,95.83333
Austria,AUT,2016,96.15385
Austria,AUT,2017,96.15385
Austria,AUT,2018,96.15385
Austria,AUT,2019,96.15385
Belgium,BEL,2000,95.2381
Belgium,BEL,2001,95.2381
Belgium,BEL,2002,95.2381
Belgium,BEL,2003,95.2381
Belgium,BEL,2004,95.2381
Belgium,BEL,2005,100
Belgium,BEL,2006,100
Belgium,BEL,2007,90
Belgium,BEL,2008,87.5
Belgium,BEL,2009,66.66667
Belgium,BEL,2010,66.66667
Belgium,BEL,2011,0
Belgium,BEL,2012,100
Belgium,BEL,2013,95.83333
Belgium,BEL,2014,95.83333
Belgium,BEL,2015,95.83333
Belgium,BEL,2016,95.83333
Belgium,BEL,2017,95.83333
Belgium,BEL,2018,95.83333
Belgium,BEL,2019,95.83333
Bhutan,BTN,2007,42.85714
Bhutan,BTN,2008,44.44444
Bhutan,BTN,2009,54.54545
Bhutan,BTN,2010,50
Bhutan,BTN,2011,50
Bhutan,BTN,2012,53.84615
Bhutan,BTN,2013,53.84615
Bhutan,BTN,2014,53.84615
Bhutan,BTN,2015,53.84615
Bhutan,BTN,2016,53.84615
Bhutan,BTN,2017,53.84615
Bhutan,BTN,2018,53.84615
Bhutan,BTN,2019,53.84615
Bolivia,BOL,2000,100
Bolivia,BOL,2001,100
Bolivia,BOL,2002,100
Bolivia,BOL,2010,0
Bolivia,BOL,2011,0
Bolivia,BOL,2012,0
Bolivia,BOL,2013,0
Bolivia,BOL,2014,0
Bolivia,BOL,2015,0
Bolivia,BOL,2016,0
Bolivia,BOL,2017,0
Bolivia,BOL,2018,0
Bolivia,BOL,2019,0
Botswana,BWA,2000,33.33333
Botswana,BWA,2001,33.33333
Botswana,BWA,2002,33.33333
Botswana,BWA,2003,33.33333
Botswana,BWA,2004,33.33333
Botswana,BWA,2005,0
Botswana,BWA,2006,0
Botswana,BWA,2007,0
Botswana,BWA,2008,0
Botswana,BWA,2009,0
Botswana,BWA,2011,50
Botswana,BWA,2012,75
Botswana,BWA,2013,75
Botswana,BWA,2014,75
Botswana,BWA,2015,75
Botswana,BWA,2016,75
Botswana,BWA,2017,75
Botswana,BWA,2018,75
Botswana,BWA,2019,75
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,33.33333
Brazil,BRA,2004,33.33333
Brazil,BRA,2005,50
Brazil,BRA,2006,50
Brazil,BRA,2007,50
Brazil,BRA,2008,50
Brazil,BRA,2009,50
Brazil,BRA,2010,50
Brazil,BRA,2011,50
Brazil,BRA,2012,50
Brazil,BRA,2013,50
Brazil,BRA,2017,53.84615
Brazil,BRA,2018,53.84615
Brazil,BRA,2019,53.84615
Bulgaria,BGR,2000,100
Bulgaria,BGR,2001,100
Bulgaria,BGR,2002,87.5
Bulgaria,BGR,2003,87.5
Bulgaria,BGR,2004,87.5
Bulgaria,BGR,2005,66.66667
Bulgaria,BGR,2006,66.66667
Bulgaria,BGR,2007,66.66667
Bulgaria,BGR,2008,66.66667
Bulgaria,BGR,2009,89.79592
Bulgaria,BGR,2010,87.5
Bulgaria,BGR,2011,91.52542
Bulgaria,BGR,2012,93.54839
Bulgaria,BGR,2013,92.53731
Bulgaria,BGR,2014,81.81818
Bulgaria,BGR,2015,86.76471
Bulgaria,BGR,2016,92.75362
Bulgaria,BGR,2017,83.09859
Bulgaria,BGR,2018,83.09859
Bulgaria,BGR,2019,83.09859
Burundi,BDI,2000,0
Burundi,BDI,2001,0
Burundi,BDI,2002,0
Burundi,BDI,2003,0
Burundi,BDI,2004,0
Burundi,BDI,2005,0
Burundi,BDI,2006,0
Burundi,BDI,2007,0
Burundi,BDI,2008,0
Burundi,BDI,2009,0
Burundi,BDI,2010,0
Burundi,BDI,2011,0
Burundi,BDI,2012,0
Burundi,BDI,2013,0
Burundi,BDI,2014,0
Burundi,BDI,2015,0
Burundi,BDI,2016,0
Burundi,BDI,2017,0
Burundi,BDI,2018,0
Burundi,BDI,2019,0
Canada,CAN,2000,90
Canada,CAN,2001,90.90909
Canada,CAN,2002,90.90909
Canada,CAN,2003,90.90909
Canada,CAN,2004,90.90909
Canada,CAN,2005,100
Canada,CAN,2006,100
Canada,CAN,2007,100
Canada,CAN,2008,100
Canada,CAN,2009,100
Canada,CAN,2010,100
Canada,CAN,2011,100
Canada,CAN,2012,100
Canada,CAN,2013,100
Canada,CAN,2014,100
Canada,CAN,2015,100
Canada,CAN,2016,100
Canada,CAN,2017,97.14286
Canada,CAN,2018,97.22222
Canada,CAN,2019,97.22222
Chile,CHL,2010,14.28571
Chile,CHL,2011,14.28571
Chile,CHL,2012,12.5
Chile,CHL,2013,0
Chile,CHL,2014,0
Chile,CHL,2015,26.66667
Chile,CHL,2016,26.66667
Chile,CHL,2017,20
Chile,CHL,2018,20
Chile,CHL,2019,20
Colombia,COL,2000,53.84615
Colombia,COL,2001,53.84615
Colombia,COL,2002,53.84615
Colombia,COL,2003,53.84615
Colombia,COL,2004,53.84615
Colombia,COL,2005,53.84615
Colombia,COL,2006,53.84615
Colombia,COL,2007,53.84615
Colombia,COL,2008,53.84615
Colombia,COL,2009,53.84615
Colombia,COL,2010,100
Colombia,COL,2011,100
Colombia,COL,2012,100
Colombia,COL,2018,25
Colombia,COL,2019,25
Croatia,HRV,2000,76.47059
Croatia,HRV,2001,76.47059
Croatia,HRV,2002,76.47059
Croatia,HRV,2003,82.35294
Croatia,HRV,2004,75
Croatia,HRV,2005,70.83333
Croatia,HRV,2006,70.83333
Croatia,HRV,2007,70.83333
Croatia,HRV,2008,75
Croatia,HRV,2009,70.83333
Croatia,HRV,2010,70.83333
Croatia,HRV,2011,70.83333
Croatia,HRV,2012,70.83333
Croatia,HRV,2013,72
Croatia,HRV,2014,72
Croatia,HRV,2015,76
Croatia,HRV,2016,80.55556
Croatia,HRV,2017,80.55556
Croatia,HRV,2018,80.55556
Croatia,HRV,2019,80.55556
Cyprus,CYP,2000,100
Cyprus,CYP,2001,100
Cyprus,CYP,2002,100
Cyprus,CYP,2003,100
Cyprus,CYP,2004,50
Cyprus,CYP,2005,50
Cyprus,CYP,2006,50
Cyprus,CYP,2007,50
Cyprus,CYP,2008,50
Cyprus,CYP,2009,50
Cyprus,CYP,2010,50
Cyprus,CYP,2011,50
Cyprus,CYP,2012,50
Cyprus,CYP,2013,50
Cyprus,CYP,2014,50
Cyprus,CYP,2015,50
