Entity,Code,Year,Legislation explicitly criminalizes marital rape (1=yes; 0=no) (1=yes; 0=no)
Afghanistan,AFG,2015,0
Albania,ALB,2015,1
Algeria,DZA,2015,0
Angola,AGO,2015,0
Antigua and Barbuda,ATG,2015,0
Argentina,ARG,2015,1
Armenia,ARM,2015,0
Australia,AUS,2015,1
Austria,AUT,2015,0
Azerbaijan,AZE,2015,0
Bahamas,BHS,2015,0
Bahrain,BHR,2015,0
Bangladesh,BGD,2015,0
Barbados,BRB,2015,0
Belarus,BLR,2015,0
Belgium,BEL,2015,0
Belize,BLZ,2015,0
Benin,BEN,2015,1
Bhutan,BTN,2015,1
Bolivia,BOL,2015,1
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2015,0
Brazil,BRA,2015,1
Brunei,BRN,2015,0
Bulgaria,BGR,2015,0
Burkina Faso,BFA,2015,0
Burundi,BDI,2015,1
Cambodia,KHM,2015,0
Cameroon,CMR,2015,0
Canada,CAN,2015,1
Cape Verde,CPV,2015,1
Central African Republic,CAF,2015,1
Chad,TCD,2015,0
Chile,CHL,2015,1
China,CHN,2015,0
Colombia,COL,2015,1
Comoros,COM,2015,0
Congo,COG,2015,0
Costa Rica,CRI,2015,1
Cote d'Ivoire,CIV,2015,0
Croatia,HRV,2015,1
Cyprus,CYP,2015,1
Czech Republic,CZE,2015,0
Democratic Republic of Congo,COD,2015,0
Denmark,DNK,2015,0
Djibouti,DJI,2015,0
Dominica,DMA,2015,0
Dominican Republic,DOM,2015,1
Ecuador,ECU,2015,1
Egypt,EGY,2015,0
El Salvador,SLV,2015,0
Equatorial Guinea,GNQ,2015,0
Eritrea,ERI,2015,0
Estonia,EST,2015,1
Ethiopia,ETH,2015,0
Fiji,FJI,2015,0
Finland,FIN,2015,0
France,FRA,2015,1
Gabon,GAB,2015,0
Gambia,GMB,2015,0
Georgia,GEO,2015,1
Germany,DEU,2015,0
Ghana,GHA,2015,0
Greece,GRC,2015,1
Grenada,GRD,2015,1
Guatemala,GTM,2015,1
Guinea,GIN,2015,0
Guinea-Bissau,GNB,2015,1
Guyana,GUY,2015,1
Haiti,HTI,2015,0
Honduras,HND,2015,1
Hong Kong,HKG,2015,1
Hungary,HUN,2015,1
Iceland,ISL,2015,1
India,IND,2015,0
Indonesia,IDN,2015,1
Iran,IRN,2015,0
Iraq,IRQ,2015,0
Ireland,IRL,2015,1
Israel,ISR,2015,0
Italy,ITA,2015,1
Jamaica,JAM,2015,0
Japan,JPN,2015,0
Jordan,JOR,2015,0
Kazakhstan,KAZ,2015,0
Kenya,KEN,2015,0
Kiribati,KIR,2015,0
Kosovo,OWID_KOS,2015,0
Kuwait,KWT,2015,0
Kyrgyzstan,KGZ,2015,0
Laos,LAO,2015,0
Latvia,LVA,2015,1
Lebanon,LBN,2015,0
Lesotho,LSO,2015,1
Liberia,LBR,2015,0
Libya,LBY,2015,0
Lithuania,LTU,2015,0
Luxembourg,LUX,2015,1
Macedonia,MKD,2015,1
Madagascar,MDG,2015,0
Malawi,MWI,2015,0
Malaysia,MYS,2015,0
Maldives,MDV,2015,1
Mali,MLI,2015,0
Malta,MLT,2015,1
Marshall Islands,MHL,2015,0
Mauritania,MRT,2015,0
Mauritius,MUS,2015,0
Mexico,MEX,2015,1
Micronesia (country),FSM,2015,0
Moldova,MDA,2015,1
Mongolia,MNG,2015,0
Montenegro,MNE,2015,1
Morocco,MAR,2015,0
Mozambique,MOZ,2015,1
Myanmar,MMR,2015,0
Namibia,NAM,2015,1
Nepal,NPL,2015,1
Netherlands,NLD,2015,0
New Zealand,NZL,2015,1
Nicaragua,NIC,2015,1
Niger,NER,2015,0
Nigeria,NGA,2015,1
