Entity,Code,Year,Percentage of children (2–14) who experience any violent discipline (UNICEF Global Databases (2016)) (% children 2-14)
Afghanistan,AFG,2011,74
Albania,ALB,2009,77
Algeria,DZA,2013,86
Argentina,ARG,2012,72
Armenia,ARM,2010,70
Azerbaijan,AZE,2006,77
Bangladesh,BGD,2013,82
Barbados,BRB,2012,75
Belarus,BLR,2012,65
Belize,BLZ,2011,71
Benin,BEN,2014,91
Bosnia and Herzegovina,BIH,2012,55
Burkina Faso,BFA,2006,83
Cameroon,CMR,2014,85
Central African Republic,CAF,2010,92
Chad,TCD,2010,84
Congo,COG,2015,83
Costa Rica,CRI,2011,46
Cote d'Ivoire,CIV,2006,91
Cuba,CUB,2014,36
Democratic Republic of Congo,COD,2014,82
Djibouti,DJI,2006,72
Dominican Republic,DOM,2014,63
Egypt,EGY,2014,93
El Salvador,SLV,2014,52
Fiji,FJI,2008,72
Gambia,GMB,2010,90
Georgia,GEO,2005,67
Ghana,GHA,2011,94
Guinea-Bissau,GNB,2014,82
Guyana,GUY,2014,70
Haiti,HTI,2012,85
Iraq,IRQ,2011,79
Jamaica,JAM,2011,85
Jordan,JOR,2012,90
Kazakhstan,KAZ,2011,49
Kiribati,KIR,2008,81
Kyrgyzstan,KGZ,2014,57
Laos,LAO,2012,76
Lebanon,LBN,2009,82
Liberia,LBR,2007,90
Macedonia,MKD,2011,69
Malawi,MWI,2014,72
Mauritania,MRT,2011,87
Moldova,MDA,2012,76
Mongolia,MNG,2013,47
Montenegro,MNE,2013,69
Morocco,MAR,2007,91
Nepal,NPL,2014,82
Niger,NER,2012,82
Nigeria,NGA,2011,91
Palestine,PSE,2014,92
Panama,PAN,2013,45
Qatar,QAT,2012,50
Saint Lucia,LCA,2012,68
Sao Tome and Principe,STP,2014,80
Serbia,SRB,2014,43
Sierra Leone,SLE,2010,82
Solomon Islands,SLB,2008,72
Sudan,SDN,2014,64
Suriname,SUR,2010,86
Swaziland,SWZ,2014,88
Syria,SYR,2006,89
Tajikistan,TJK,2005,78
Togo,TGO,2014,81
Trinidad and Tobago,TTO,2006,77
Tunisia,TUN,2012,93
Ukraine,UKR,2012,61
Uruguay,URY,2013,55
Vanuatu,VUT,2013,84
Vietnam,VNM,2014,68
Yemen,YEM,2013,79
Zimbabwe,ZWE,2014,63
