Entity,Code,Year,Account at a financial institution (% age 15+) (%)
Afghanistan,AFG,2011,9.005013
Afghanistan,AFG,2014,9.961
Albania,ALB,2011,28.26813
Albania,ALB,2014,37.98635
Algeria,DZA,2011,33.28611
Algeria,DZA,2014,50.47579
Angola,AGO,2011,39.20354
Angola,AGO,2014,29.31812
Argentina,ARG,2011,33.13022
Argentina,ARG,2014,50.1973
Armenia,ARM,2011,17.48687
Armenia,ARM,2014,17.23996
Australia,AUS,2011,99.06484
Australia,AUS,2014,98.85957
Austria,AUT,2011,97.08174
Austria,AUT,2014,96.73406
Azerbaijan,AZE,2011,14.90085
Azerbaijan,AZE,2014,29.15149
Bahrain,BHR,2011,64.51457
Bahrain,BHR,2014,81.93935
Bangladesh,BGD,2011,31.74365
Bangladesh,BGD,2014,29.1421
Belarus,BLR,2011,58.60198
Belarus,BLR,2014,71.98499
Belgium,BEL,2011,96.30613
Belgium,BEL,2014,98.12576
Belize,BLZ,2014,48.20925
Benin,BEN,2011,10.46394
Benin,BEN,2014,15.97993
Bhutan,BTN,2014,33.66591
Bolivia,BOL,2011,28.02913
Bolivia,BOL,2014,40.71082
Bosnia and Herzegovina,BIH,2011,56.21161
Bosnia and Herzegovina,BIH,2014,52.68503
Botswana,BWA,2011,30.26001
Botswana,BWA,2014,49.24358
Brazil,BRA,2011,55.86038
Brazil,BRA,2014,68.12315
Bulgaria,BGR,2011,52.8249
Bulgaria,BGR,2014,62.98683
Burkina Faso,BFA,2011,13.35309
Burkina Faso,BFA,2014,13.42449
Burundi,BDI,2011,7.237984
Burundi,BDI,2014,6.94346
Cambodia,KHM,2011,3.659712
Cambodia,KHM,2014,12.55649
Cameroon,CMR,2011,14.80961
Cameroon,CMR,2014,11.35104
Canada,CAN,2011,95.80464
Canada,CAN,2014,99.10332
Central African Republic,CAF,2011,3.300809
Chad,TCD,2011,8.959745
Chad,TCD,2014,7.699498
Chile,CHL,2011,42.17929
Chile,CHL,2014,63.21075
China,CHN,2011,63.81731
China,CHN,2014,78.92678
Colombia,COL,2011,30.4278
Colombia,COL,2014,38.35334
Comoros,COM,2011,21.69467
Congo,COG,2011,10.04806
Congo,COG,2014,16.68366
Costa Rica,CRI,2011,50.35873
Costa Rica,CRI,2014,64.55306
Cote d'Ivoire,CIV,2014,15.13626
Croatia,HRV,2011,88.39102
Croatia,HRV,2014,86.02509
Cyprus,CYP,2011,85.23765
Cyprus,CYP,2014,90.1502
Czech Republic,CZE,2011,80.65119
Czech Republic,CZE,2014,82.17821
Democratic Republic of Congo,COD,2011,3.696726
Democratic Republic of Congo,COD,2014,10.90759
Denmark,DNK,2011,99.73679
Denmark,DNK,2014,100
Djibouti,DJI,2011,12.27388
Dominican Republic,DOM,2011,38.20467
Dominican Republic,DOM,2014,53.98639
East Asia & Pacific (excluding high income),,2011,55.1396
East Asia & Pacific (excluding high income),,2014,68.75662
Ecuador,ECU,2011,36.7355
Ecuador,ECU,2014,46.21243
Egypt,EGY,2011,9.71998
Egypt,EGY,2014,13.65175
El Salvador,SLV,2011,13.76462
El Salvador,SLV,2014,34.63472
Estonia,EST,2011,96.82428
Estonia,EST,2014,97.67167
Ethiopia,ETH,2014,21.79158
Euro area,,2011,90.61618
Euro area,,2014,94.84012
Europe & Central Asia (excluding high income),,2011,43.25498
Europe & Central Asia (excluding high income),,2014,51.37996
Finland,FIN,2011,99.65125
Finland,FIN,2014,100
France,FRA,2011,96.98389
France,FRA,2014,96.58276
Gabon,GAB,2011,18.94652
Gabon,GAB,2014,30.15455
Georgia,GEO,2011,32.98097
Georgia,GEO,2014,39.66507
Germany,DEU,2011,98.13362
Germany,DEU,2014,98.76041
Ghana,GHA,2011,29.42535
Ghana,GHA,2014,34.61837
Greece,GRC,2011,77.93986
Greece,GRC,2014,87.51865
Guatemala,GTM,2011,22.31888
Guatemala,GTM,2014,40.78673
Guinea,GIN,2011,3.68785
Guinea,GIN,2014,6.170127
Haiti,HTI,2011,22.00727
Haiti,HTI,2014,17.4961
High income,,2011,84.7627
High income,,2014,90.63345
Honduras,HND,2011,20.51226
Honduras,HND,2014,30.04366
Hong Kong,HKG,2011,88.68604
Hong Kong,HKG,2014,96.14764
Hungary,HUN,2011,72.67432
Hungary,HUN,2014,72.25683
India,IND,2011,35.23184
India,IND,2014,52.75381
Indonesia,IDN,2011,19.58199
Indonesia,IDN,2014,35.94736
Iran,IRN,2011,73.68385
Iran,IRN,2014,92.17522
Iraq,IRQ,2011,10.55375
Iraq,IRQ,2014,10.97235
Ireland,IRL,2011,93.88835
Ireland,IRL,2014,94.71014
Israel,ISR,2011,90.46864
Israel,ISR,2014,89.95277
Italy,ITA,2011,71.00853
Italy,ITA,2014,87.33458
Jamaica,JAM,2011,70.9915
Jamaica,JAM,2014,78.34596
Japan,JPN,2011,96.42204
Japan,JPN,2014,96.64558
Jordan,JOR,2011,25.4711
Jordan,JOR,2014,24.61591
Kazakhstan,KAZ,2011,42.10509
Kazakhstan,KAZ,2014,53.90742
Kenya,KEN,2011,42.34346
Kenya,KEN,2014,55.20554
Kosovo,OWID_KOS,2011,44.30996
Kosovo,OWID_KOS,2014,47.80315
Kuwait,KWT,2011,86.77325
Kuwait,KWT,2014,72.90818
Kyrgyzstan,KGZ,2011,3.757264
Kyrgyzstan,KGZ,2014,18.4706
Laos,LAO,2011,26.77346
Latin America & Caribbean (excluding high income),,2011,39.25599
Latin America & Caribbean (excluding high income),,2014,51.14305
Latvia,LVA,2011,89.65883
Latvia,LVA,2014,90.21825
Lebanon,LBN,2011,37.02732
Lebanon,LBN,2014,46.92714
Lesotho,LSO,2011,18.49702
Liberia,LBR,2011,18.80147
Lithuania,LTU,2011,73.7552
Lithuania,LTU,2014,77.90629
Low & middle income,,2011,41.30416
Low & middle income,,2014,53.11644
Low income,,2011,21.13378
Low income,,2014,22.29922
Lower middle income,,2011,28.65396
Lower middle income,,2014,41.78963
Luxembourg,LUX,2011,94.58679
Luxembourg,LUX,2014,96.16869
Macedonia,MKD,2011,73.69894
Macedonia,MKD,2014,71.7985
Madagascar,MDG,2011,5.523223
Madagascar,MDG,2014,5.727489
Malawi,MWI,2011,16.54061
Malawi,MWI,2014,16.13567
Malaysia,MYS,2011,66.17381
Malaysia,MYS,2014,80.67462
Mali,MLI,2011,8.213853
Mali,MLI,2014,13.25341
Malta,MLT,2011,95.27007
Malta,MLT,2014,96.328
Mauritania,MRT,2011,17.46181
Mauritania,MRT,2014,20.44538
Mauritius,MUS,2011,80.12321
Mauritius,MUS,2014,82.20827
Mexico,MEX,2011,27.42938
Mexico,MEX,2014,38.69535
Middle income,,2011,43.32369
Middle income,,2014,57.09655
Moldova,MDA,2011,18.06632
Moldova,MDA,2014,17.75575
Mongolia,MNG,2011,77.71709
Mongolia,MNG,2014,91.82178
Montenegro,MNE,2011,50.43801
Montenegro,MNE,2014,59.82601
Morocco,MAR,2011,39.07011
Myanmar,MMR,2014,22.6204
Namibia,NAM,2014,58.06324
Nepal,NPL,2011,25.30856
Nepal,NPL,2014,33.80135
Netherlands,NLD,2011,98.65853
Netherlands,NLD,2014,99.2956
New Zealand,NZL,2011,99.43673
New Zealand,NZL,2014,99.52554
Nicaragua,NIC,2011,14.21833
Nicaragua,NIC,2014,18.8548
Niger,NER,2011,1.521699
Niger,NER,2014,3.490045
Nigeria,NGA,2011,29.66754
Nigeria,NGA,2014,44.1732
Norway,NOR,2014,100
Oman,OMN,2011,73.60242
Pakistan,PAK,2011,10.3063
Pakistan,PAK,2014,8.706139
Palestine,PSE,2011,19.42803
Palestine,PSE,2014,24.24381
Panama,PAN,2011,24.92649
Panama,PAN,2014,43.40355
Paraguay,PRY,2011,21.72015
Peru,PER,2011,20.45868
Peru,PER,2014,28.97523
Philippines,PHL,2011,26.55593
Philippines,PHL,2014,28.06573
Poland,POL,2011,70.19429
Poland,POL,2014,77.86217
Portugal,PRT,2011,81.22942
Portugal,PRT,2014,87.38635
Puerto Rico,PRI,2014,69.73527
Qatar,QAT,2011,65.87539
Romania,ROU,2011,44.59163
Romania,ROU,2014,60.79454
Russia,RUS,2011,48.17849
Russia,RUS,2014,67.38309
Rwanda,RWA,2011,32.76382
Rwanda,RWA,2014,38.14489
Saudi Arabia,SAU,2011,46.42066
Saudi Arabia,SAU,2014,69.40958
Senegal,SEN,2011,5.821141
Senegal,SEN,2014,11.92181
Serbia,SRB,2011,62.21622
Serbia,SRB,2014,83.09234
Sierra Leone,SLE,2011,15.34176
Sierra Leone,SLE,2014,14.14885
Singapore,SGP,2011,98.22189
Singapore,SGP,2014,96.3526
Slovakia,SVK,2011,79.58302
Slovakia,SVK,2014,77.24139
Slovenia,SVN,2011,97.14371
Slovenia,SVN,2014,97.24451
Somalia,SOM,2014,7.855717
South Africa,ZAF,2011,53.64507
South Africa,ZAF,2014,68.76723
South Asia,,2011,32.32233
South Asia,,2014,45.4865
South Korea,KOR,2011,93.04687
South Korea,KOR,2014,94.36082
Spain,ESP,2011,93.2776
Spain,ESP,2014,97.57531
Sri Lanka,LKA,2011,68.52617
Sri Lanka,LKA,2014,82.69138
Sub-Saharan Africa (excluding high income),,2011,23.87438
Sub-Saharan Africa (excluding high income),,2014,28.90136
Sudan,SDN,2011,6.899798
Sudan,SDN,2014,15.26843
Swaziland,SWZ,2011,28.56944
Sweden,SWE,2011,98.99195
Sweden,SWE,2014,99.71992
Switzerland,CHE,2014,97.98564
Syria,SYR,2011,23.25309
Tajikistan,TJK,2011,2.534857
Tajikistan,TJK,2014,11.45923
Tanzania,TZA,2011,17.25777
Tanzania,TZA,2014,19.04123
Thailand,THA,2011,72.66644
Thailand,THA,2014,78.13655
Togo,TGO,2011,10.18524
Togo,TGO,2014,17.61492
Trinidad and Tobago,TTO,2011,75.92206
Tunisia,TUN,2014,27.26323
Turkey,TUR,2011,57.60143
Turkey,TUR,2014,56.51257
Turkmenistan,TKM,2011,0.4049115
Turkmenistan,TKM,2014,1.790751
Uganda,UGA,2011,20.46142
Uganda,UGA,2014,27.78342
Ukraine,UKR,2011,41.26857
Ukraine,UKR,2014,52.71481
United Arab Emirates,ARE,2011,59.73237
United Arab Emirates,ARE,2014,83.20432
United Kingdom,GBR,2011,97.20129
United Kingdom,GBR,2014,98.93105
United States,USA,2011,87.95786
United States,USA,2014,93.5838
Upper middle income,,2011,57.35698
Upper middle income,,2014,70.39571
Uruguay,URY,2011,23.5426
Uruguay,URY,2014,45.35541
Uzbekistan,UZB,2011,22.50392
Uzbekistan,UZB,2014,40.71001
Venezuela,VEN,2011,44.11666
Venezuela,VEN,2014,56.85735
Vietnam,VNM,2011,21.36949
Vietnam,VNM,2014,30.86436
World,OWID_WRL,2011,50.59584
World,OWID_WRL,2014,60.69839
Yemen,YEM,2011,3.659954
Yemen,YEM,2014,6.448482
Zambia,ZMB,2011,21.36491
Zambia,ZMB,2014,31.29242
Zimbabwe,ZWE,2011,39.65121
Zimbabwe,ZWE,2014,17.18949
