Entity,Code,Year,Share without any formal education,Share that has at least some formal basic education (%)
World,OWID_WRL,1820,82.8,17.2
World,OWID_WRL,1870,76.1,23.9
World,OWID_WRL,1880,73.3,26.7
World,OWID_WRL,1890,70.4,29.6
World,OWID_WRL,1900,66.8,33.2
World,OWID_WRL,1910,64.4,35.6
World,OWID_WRL,1920,61.4,38.6
World,OWID_WRL,1930,59.1,40.9
World,OWID_WRL,1940,54.1,45.9
World,OWID_WRL,1950,51,49
World,OWID_WRL,1960,46.3,53.7
World,OWID_WRL,1970,37,63
World,OWID_WRL,1975,34,66
World,OWID_WRL,1980,30,70
World,OWID_WRL,1985,27,73
World,OWID_WRL,1990,25,75
World,OWID_WRL,1995,22,78
World,OWID_WRL,2000,20,80
World,OWID_WRL,2005,18,82
World,OWID_WRL,2010,16,84
World,OWID_WRL,2015,14,86
